,Index Name,ind_close_all_07062024.csv,ind_close_all_06062024.csv,ind_close_all_05062024.csv,ind_close_all_04062024.csv,ind_close_all_03062024.csv
91,NIFTY100 ESG,2.04,.99,3.87,-5.14,2.81
92,NIFTY100 Enhanced ESG,2.04,1,3.87,-5.14,2.81
93,NIFTY50 Equal Weight,2.06,.77,3.62,-5.5,2.9
94,Nifty 50 Futures Index,1.86,1.13,3.35,-6.41,3.12
95,Nifty 50 Arbitrage,.13,-.15,.01,.38,.1
96,Nifty Aditya Birla Group,,,,,
97,Nifty 8-13 yr G-Sec,.01,.13,.15,-.6,.27
98,Nifty 4-8 yr G-Sec Index,.08,.15,.14,-.31,.14
99,Nifty 11-15 yr G-Sec Index,.02,.25,.1,-.67,.38
100,Nifty 15 yr and above G-Sec Index,.04,.31,.11,-.84,.53
101,Nifty Composite G-sec Index,.03,.17,.14,-.59,.31
102,Nifty 10 yr Benchmark G-Sec,0,.08,.05,-.6,.26
103,Nifty 10 yr Benchmark G-Sec (Clean Price),-.02,.08,.05,-.6,.26
104,Nifty 1D Rate Index,.02,.02,.02,.02,.05
105,Nifty50 USD,,.76,3.55,-6.36,3.66
