,Index Name,ind_close_all_30012026.csv,ind_close_all_29012026.csv,ind_close_all_28012026.csv,ind_close_all_27012026.csv,ind_close_all_23012026.csv,ind_close_all_22012026.csv,ind_close_all_21012026.csv,ind_close_all_20012026.csv,ind_close_all_19012026.csv,ind_close_all_16012026.csv,ind_close_all_14012026.csv,ind_close_all_13012026.csv,ind_close_all_12012026.csv,ind_close_all_09012026.csv,ind_close_all_08012026.csv,ind_close_all_07012026.csv,ind_close_all_06012026.csv,ind_close_all_05012026.csv,ind_close_all_02012026.csv,ind_close_all_01012026.csv
33,Nifty100 Liquid 15,-.27,.23,1.26,-.17,-1.81,.85,.2,-1.67,.01,-.33,.07,-.33,.57,-.62,-.92,-.73,-1.12,.05,.66,.43
34,Nifty CPSE,-1.06,1.21,5.08,1.22,-1.3,1.79,-.18,-1.7,-.51,-.88,1.28,.25,.73,-.54,-1.56,-.42,-.05,.19,3.07,.46
35,Nifty50 Value 20,-.8,.5,.7,.76,-.65,.79,-.47,-1.24,-.28,.54,-.15,.38,.42,-.69,-1.04,.18,.6,-.08,.64,-.42
36,Nifty Midcap Liquid 15,-.23,.45,1.44,.54,-2.1,1.33,-.95,-2.51,-.42,.11,.48,-.53,.06,-.71,-1.36,.66,-.12,-.51,.99,.38
37,Nifty Shariah 25,-.03,-.66,.82,.13,-.63,1.1,-.53,-1.9,.39,.44,-.73,-.02,.52,-.16,-1.4,.23,.62,-.04,.45,.12
38,India VIX,1.96,-1.15,-6.42,1.83,6.31,-3.12,8.25,7.63,4,.46,1.09,-1.5,4.05,3.07,6.53,-.67,-.05,6.06,2.89,-3.06
39,Nifty Growth Sectors 15,.18,-1.27,.2,-.68,-.45,.41,-.24,-2.03,-.22,.55,-1.09,-.1,.13,-.65,-1.28,.32,.98,-.27,.78,.63
40,Nifty50 TR 1x Inverse,.39,-.27,-.65,-.47,.97,-.5,.29,1.4,.45,-.12,.27,.24,-.39,.79,1.01,.15,.31,.34,-.67,-.06
41,Nifty50 TR 2x Leverage,-.79,.59,1.32,.96,-1.92,1.04,-.61,-2.77,-.89,.32,-.53,-.46,.79,-1.51,-2.03,-.3,-.56,-.64,1.38,.11
42,Nifty50 PR 1x Inverse,.39,-.29,-.65,-.43,.97,-.53,.31,1.39,.47,-.07,.27,.25,-.37,.74,1.02,.18,.28,.35,-.68,-.05
43,Nifty50 PR 2x Leverage,-.79,.59,1.32,.96,-1.92,1.04,-.61,-2.77,-.89,.19,-.53,-.46,.79,-1.51,-2.03,-.3,-.56,-.64,1.38,.11
44,NIFTY100 Quality 30,-.01,-.56,.99,.37,-.46,1.22,-.55,-2,.25,.06,-.42,-.27,.4,-.37,-1.37,.4,.73,.37,.66,-.3
45,Nifty Mahindra Group,,,,,,,,,,,,,,,,,,,,
46,Nifty 50 Futures TR Index,-.45,.35,.28,.68,-1.03,.67,-.31,-1.3,-.55,.16,-.26,-.31,.39,-.74,-.94,-.17,-.16,-.42,.64,-.01
47,Nifty Tata Group,,,,,,,,,,,,,,,,,,,,
48,Nifty Tata Group 25% Cap,,,,,,,,,,,,,,,,,,,,
