,Index Name,ind_close_all_29092023.csv,ind_close_all_28092023.csv,ind_close_all_27092023.csv,ind_close_all_26092023.csv,ind_close_all_25092023.csv,ind_close_all_22092023.csv,ind_close_all_21092023.csv,ind_close_all_20092023.csv,ind_close_all_18092023.csv,ind_close_all_15092023.csv,ind_close_all_14092023.csv,ind_close_all_13092023.csv,ind_close_all_12092023.csv,ind_close_all_11092023.csv,ind_close_all_08092023.csv,ind_close_all_07092023.csv,ind_close_all_06092023.csv,ind_close_all_05092023.csv,ind_close_all_04092023.csv,ind_close_all_01092023.csv
35,Nifty50 Value 20,.72,-1.53,.36,.02,-.38,-.31,-.44,-.36,.11,.36,.32,.34,.04,.93,.21,.31,0,.51,1.25,1.37
36,Nifty Midcap Liquid 15,1.49,-1.79,.45,-.75,1.27,-.28,-.87,-.33,-.57,.82,1.06,.29,-2.72,.65,.93,.1,.61,1.27,.13,.55
37,Nifty Shariah 25,.54,-1.82,.23,-.03,-.02,-.11,-.26,-.53,-.06,.3,.3,.28,-.38,.84,.37,.4,.26,.31,.98,.83
38,India VIX,-10.68,10.68,3.58,2.61,2.25,-1.46,-2.79,2.7,-.62,-3.67,-4.31,1.18,3.02,5.26,-.85,1.83,-1.27,-1.35,-3.54,-5.78
39,Nifty Growth Sectors 15,.29,-1.68,.52,-.08,-.18,-.11,-.5,-.56,.5,.3,-.03,.22,.19,.98,-.08,.1,.51,.4,.62,.8
40,Nifty50 TR 1x Inverse,-.57,1,-.25,.07,.05,.38,.81,1.2,.36,-.43,-.15,-.35,.03,-.83,-.45,-.57,-.17,-.22,-.42,-.93
41,Nifty50 TR 2x Leverage,1.16,-1.98,.51,-.12,-.05,-.71,-1.62,-2.34,-.64,.87,.31,.75,-.05,1.72,.92,1.17,.35,.45,.91,1.87
42,Nifty50 PR 1x Inverse,-.56,.98,-.23,.06,.04,.38,.8,1.2,.34,-.43,-.13,-.38,.04,-.82,-.46,-.56,-.17,-.23,-.44,-.92
43,Nifty50 PR 2x Leverage,1.16,-1.98,.51,-.12,-.05,-.71,-1.62,-2.34,-.64,.87,.31,.75,-.05,1.72,.92,1.17,.35,.45,.91,1.87
44,NIFTY100 Quality 30,.51,-2.02,.34,.19,-.29,0,-.44,-.62,.03,.74,.13,.01,-.35,.73,.4,.81,.39,.43,.78,.63
45,Nifty Mahindra Group,.15,-2.58,-.11,-.35,-.75,1.01,-1.51,-.45,.79,1.72,1.58,-.62,-1.38,.71,.09,.23,.08,-.39,.16,1.19
46,Nifty 50 Futures TR Index,.39,-.96,.21,-.11,.03,-.34,-.95,-.99,-.29,.4,.25,.41,.07,.88,.54,.58,.05,.25,.55,.52
47,Nifty Tata Group,.36,-1.31,-.15,.16,-.09,.08,-.73,-.37,.43,.6,.08,.38,.64,1.03,.12,.53,.25,.38,.8,1.13
48,Nifty Tata Group 25% Cap,.71,-1.4,-.42,.12,.4,-.25,-.72,-.59,.55,.3,.2,.69,-.46,.87,.36,.32,.41,.47,.61,1.33
49,Nifty Private Bank,.73,-.86,.23,-.32,.45,-.09,-1.53,-1.2,-.83,.64,.18,.77,-.55,.79,.56,1,-.43,.06,.27,.96
50,Nifty Smallcap 250,.66,-.31,.72,.43,.09,.01,-1.11,-.57,-.49,.26,1.22,.98,-3.88,.97,.61,.56,.06,.63,1.02,.72
