,Index Name,ind_close_all_16072024.csv,ind_close_all_15072024.csv,ind_close_all_12072024.csv,ind_close_all_11072024.csv,ind_close_all_10072024.csv,ind_close_all_09072024.csv,ind_close_all_08072024.csv,ind_close_all_05072024.csv,ind_close_all_04072024.csv,ind_close_all_03072024.csv,ind_close_all_02072024.csv,ind_close_all_01072024.csv
57,Nifty Oil & Gas,-.16,1.99,.59,1.1,.05,-.17,.88,1.89,.07,.03,.26,.38
58,Nifty Financial Services 25/50,-.31,.53,-.09,.1,.2,.33,-.05,-.32,.16,1.82,-.85,1.05
59,Nifty Healthcare Index,-.4,1.28,.01,-.65,.38,1.14,-.35,1.27,1.28,.76,-.32,.15
60,Nifty500 Multicap 50:25:25,.02,.5,.25,.22,-.44,.37,-.14,.43,.38,.79,-.25,.91
61,Nifty Microcap 250,.24,.03,-.42,1.01,-.92,.27,-.36,.86,.26,.77,.19,2.35
62,Nifty Total Market,-.01,.48,.36,.15,-.41,.41,-.08,.34,.28,.77,-.2,.8
63,Nifty India Digital,-.21,.3,2.53,.4,-.73,.23,.25,.07,.09,.22,.05,1.88
64,Nifty Mobility,-.31,1.04,-.11,.18,-.75,1.41,-.43,.37,.4,.32,-.17,.41
65,Nifty India Defence,-1.31,-.79,-1.35,2.13,-.92,-1.06,.09,1.95,4.31,3.7,1.11,2.01
66,Nifty Financial Services Ex-Bank,-.76,.87,.01,.18,.32,.01,.04,.32,-.09,1.41,-1.2,1.45
67,Nifty Housing,-.02,.47,-.12,-.1,-.18,.54,-.55,-.02,-.29,.78,.07,.41
68,Nifty Transportation & Logistics,-.19,.99,-.19,.01,-1.45,1.7,-.47,.06,.53,.38,-.35,.54
69,Nifty MidSmall Financial Services,-.22,.43,-.13,1.2,-.87,-.01,-.98,.79,-.17,.62,-1.29,1.54
70,Nifty MidSmall Healthcare,.22,1.52,-.15,-.34,.03,.76,.06,.69,1.25,.8,-.85,.83
71,Nifty MidSmall IT & Telecom,.34,.5,3.2,.07,-.88,.01,-1.33,-.51,1.26,1.55,-.13,2.04
72,Nifty MidSmall India Consumption,.23,1.17,-.32,-.46,-.11,.8,-.04,.18,.35,.3,-.68,.59
73,Nifty REITs & InvITs,-.01,.04,.33,.31,.36,.33,.2,-.51,.65,.01,.09,.6
74,Nifty Consumer Durables,.15,.21,-.58,.6,-.21,1.74,-1.28,-.23,-.01,.13,-.38,.8
75,Nifty Non-Cyclical Consumer,.34,.5,.37,.37,.3,.7,.39,.62,-.06,.4,-.56,.69
76,Nifty India Manufacturing,-.25,.52,-.34,-.1,-.7,.9,-.52,.61,.77,.62,-.28,.58
77,NIFTY100 Alpha 30,-1.14,.88,-.16,.59,.35,.32,.76,.96,.65,1.33,-.18,.82
78,NIFTY500 Value 50,-.12,1.14,-.03,.86,-.45,.23,-.01,.99,.23,1.19,-.47,.44
79,Nifty100 Low Volatility 30,.17,.5,.61,-.12,.26,.81,.05,.52,.23,.37,-.25,.52
80,NIFTY Alpha Low-Volatility 30,.03,.73,.03,-.18,.28,1.11,-.17,.95,.77,.48,-.37,.29
81,NIFTY Quality Low-Volatility 30,.4,.22,.85,.06,.12,1.03,.13,.37,.16,.49,-.34,.72
82,NIFTY Alpha Quality Low-Volatility 30,.09,.5,.19,.12,.25,.88,.18,.68,.6,.9,-.39,.75
83,NIFTY Alpha Quality Value Low-Volatility 30,-.02,.58,.6,.38,.12,.46,.64,.71,.66,1.07,-.17,1.21
84,NIFTY200 Quality 30,.42,.29,1.06,.22,.01,.43,.35,.75,.49,.64,-.22,1.2
85,NIFTY Midcap150 Quality 50,-.04,.29,.3,-.27,-.32,.14,-.57,.02,1,.57,0,1.15
86,Nifty200 Momentum 30,-.42,.8,-.73,.24,-.33,.41,-.08,.48,1.01,1.3,-.6,1.04
87,Nifty100 ESG Sector Leaders,.03,.23,.78,-.14,-.35,.48,-.08,.03,.13,.56,-.01,.64
88,Nifty200 Alpha 30,-.54,1,-.85,.73,-.09,.34,.14,.53,1.18,1.77,-.64,1.33
89,Nifty Midcap150 Momentum 50,-.2,.85,-.35,.81,-.2,.19,.05,.91,1.12,1.22,-.42,.6
90,Nifty Smallcap250 Quality 50,-.01,.78,.74,.59,-.59,.17,-.33,.13,.27,.86,-.45,2.27
91,NIFTY100 ESG,.15,.4,.79,.01,-.13,.45,.01,.11,.13,.78,-.19,.76
92,NIFTY100 Enhanced ESG,.15,.4,.8,.01,-.13,.45,.01,.11,.13,.78,-.18,.76
93,NIFTY50 Equal Weight,.23,.58,.7,.01,-.15,.6,-.21,.58,.02,.66,-.29,.44
94,Nifty 50 Futures Index,.09,.41,.57,.11,-.53,.45,-.02,.08,.04,.61,-.01,.31
95,Nifty 50 Arbitrage,.02,-.02,.14,-.09,.06,.02,.02,.02,.02,.05,-.03,.17
96,Nifty Aditya Birla Group,,,,,,,,,,,,
97,Nifty 8-13 yr G-Sec,.12,.06,-.01,-.02,.1,.02,.06,.03,.02,.08,.05,-.02
98,Nifty 4-8 yr G-Sec Index,.12,.09,.03,.02,.05,.03,.04,.03,.03,.09,.03,.02
99,Nifty 11-15 yr G-Sec Index,.13,.05,-.03,.01,.09,.03,.07,-.03,-.01,.09,.06,-.01
100,Nifty 15 yr and above G-Sec Index,.15,.09,-.05,-.06,.12,.04,.07,-.14,-.04,.1,.09,0
101,Nifty Composite G-sec Index,.12,.07,-.01,-.01,.1,.03,.05,0,.01,.08,.05,-.01
102,Nifty 10 yr Benchmark G-Sec,.11,.06,-.01,-.02,.11,.02,.05,.05,.04,.08,.05,-.02
103,Nifty 10 yr Benchmark G-Sec (Clean Price),.09,.04,-.03,-.04,.09,0,.03,.03,.02,.06,.03,-.04
104,Nifty 1D Rate Index,.02,.05,.02,.02,.02,.02,.05,.02,.02,.02,.02,.05
105,Nifty50 USD,,.26,.81,-.08,-.49,.47,-.03,.1,.1,.64,-.15,.48
