,SYMBOL,NAME OF COMPANY,cm01JUN2023bhav.csv
92,AMDIND,AMD Industries Limited,-0.9537784299339774
93,AMIORG,Ami Organics Limited,-0.6041675229131486
94,AMJLAND,Amj Land Holdings Limited,9.450549450549445
95,AMRUTANJAN,Amrutanjan Health Care Limited,0.4032921810699664
96,ANANDRATHI,Anand Rathi Wealth Limited,-1.017264430622566
97,ANANTRAJ,Anant Raj Limited,-0.13153567905295432
98,ANDHRAPAP,ANDHRA PAPER LIMITED,0.4948824654144615
99,ANDHRSUGAR,The Andhra Sugars Limited,0.4895416110369483
100,ANDREWYU,Andrew Yule & Company Limited,0.22172949002217607
101,ANGELONE,Angel One Limited,-0.3790412486064592
102,ANIKINDS,Anik Industries Limited,-1.2618296529968411
103,ANKITMETAL,Ankit Metal & Power Limited,
104,ANMOL,Anmol India Limited,0.506380392951185
105,ANSALAPI,Ansal Properties & Infrastructure Limited,
106,ANTGRAPHIC,Antarctica Limited,7.692307692307682
107,ANUP,The Anup Engineering Limited,-0.30346074380165583
108,ANURAS,Anupam Rasayan India Limited,-4.3481989708404845
109,APARINDS,Apar Industries Limited,-2.1713710040117262
110,APCL,Anjani Portland Cement Limited,1.6594960049170357
111,APCOTEXIND,Apcotex Industries Limited,-0.25037556334501754
112,APEX,Apex Frozen Foods Limited,0.9178990311065841
113,APLAPOLLO,APL Apollo Tubes Limited,0.665022461023514
114,APLLTD,Alembic Pharmaceuticals Limited,0.4208215167871317
115,APOLLO,Apollo Micro Systems Limited,0.4424778761061905
116,APOLLOHOSP,Apollo Hospitals Enterprise Limited,4.16058157271282
117,APOLLOPIPE,Apollo Pipes Limited,-0.04030632809351068
118,APOLLOTYRE,Apollo Tyres Limited,0.051177072671440275
119,APOLSINHOT,Apollo Sindoori Hotels Limited,-0.5710544502237032
120,APTECHT,Aptech Limited,-0.9680542110358181
121,APTUS,Aptus Value Housing Finance India Limited,1.1832061068702378
122,ARCHIDPLY,Archidply Industries Limited,4.250559284116344
123,ARCHIES,Archies Limited,-6.097560975609756
124,ARENTERP,Rajdarshan Industries Limited,1.5624999999999918
125,ARIES,Aries Agro Limited,0.031685678073499965
126,ARIHANTCAP,Arihant Capital Markets Limited,0.0
127,ARIHANTSUP,Arihant Superstructures Limited,0.38377192982455516
128,ARMANFIN,Arman Financial Services Limited,1.2693302369768278
129,AROGRANITE,Aro Granite Industries Limited,0.3764115432873239
130,ARROWGREEN,Arrow Greentech Limited,-3.7921727395411637
131,ARSHIYA,Arshiya Limited,0.0
132,ARSSINFRA,ARSS Infrastructure Projects Limited,
133,ARTEMISMED,Artemis Medicare Services Limited,0.4672897196261749
134,ARTNIRMAN,Art Nirman Limited,-1.7751479289940828
135,ARVEE,Arvee Laboratories (India) Limited,-0.9995456610631479
136,ARVIND,Arvind Limited,-1.6034415330465366
137,ARVINDFASN,Arvind Fashions Limited,-0.4195804195804156
138,ARVSMART,Arvind SmartSpaces Limited,10.95310136157337
139,ASAHIINDIA,Asahi India Glass Limited,0.9078830823737746
140,ASAHISONG,Asahi Songwon Colors Limited,0.4125838060856023
141,ASAL,Automotive Stampings and Assemblies Limited,0.8209662140827353
142,ASALCBR,Associated Alcohols & Breweries Ltd.,-0.1922583952832607
143,ASHAPURMIN,Ashapura Minechem Limited,0.11764705882353386
144,ASHIANA,Ashiana Housing Limited,5.542725173210175
145,ASHIMASYN,Ashima Limited,2.5641025641025617
146,ASHOKA,Ashoka Buildcon Limited,3.373015873015888
147,ASHOKLEY,Ashok Leyland Limited,0.5809979494189982
148,ASIANENE,Asian Energy Services Limited,1.5085158150851552
149,ASIANHOTNR,Asian Hotels (North) Limited,2.994908655286014
150,ASIANPAINT,Asian Paints Limited,1.4954822342974365
151,ASIANTILES,Asian Granito India Limited,0.8565310492505323
152,ASMS,Bartronics India Limited,
153,ASPINWALL,Aspinwall and Company Limited,-0.047092064987047
154,ASTEC,Astec LifeSciences Limited,-0.26190219926094
155,ASTERDM,Aster DM Healthcare Limited,0.42695377761276304
156,ASTRAL,Astral Limited,-0.6725780327778845
157,ASTRAMICRO,Astra Microwave Products Limited,0.4814706740589537
158,ASTRAZEN,AstraZeneca Pharma India Limited,-1.6828306362194507
159,ASTRON,Astron Paper & Board Mill Limited,1.0460251046025106
160,ATALREAL,Atal Realtech Limited,-0.08833922261484853
161,ATAM,Atam Valves Limited,
162,ATFL,Agro Tech Foods Limited,-0.45825486503452323
163,ATGL,Adani Total Gas Limited,4.547165549951073
164,ATLANTA,Atlanta  Limited,0.7518796992481176
165,ATUL,Atul Limited,0.12177193008510265
166,ATULAUTO,Atul Auto Limited,-5.570291777188326
167,AUBANK,AU Small Finance Bank Limited,-0.9203243660702765
168,AURIONPRO,Aurionpro Solutions Limited,
169,AUROPHARMA,Aurobindo Pharma Limited,0.01518372304889504
170,AURUM,Aurum PropTech Limited,0.9883970777825576
171,AUSOMENT,Ausom Enterprise Limited,-0.7317073170731754
172,AUTOAXLES,Automotive Axles Limited,0.7632534829187507
173,AUTOIND,Autoline Industries Limited,-0.6923076923076966
174,AVADHSUGAR,Avadh Sugar & Energy Limited,1.1426774294999453
175,AVALON,Avalon Technologies Limited,2.5339997675229653
176,AVANTIFEED,Avanti Feeds Limited,-1.6766926916677218
177,AVG,AVG Logistics Limited,-2.6607538802660753
