,SYMBOL,NAME OF COMPANY,cm01NOV2023bhav.csv
94,AMJLAND,Amj Land Holdings Limited,1.639344262295082
95,AMRUTANJAN,Amrutanjan Health Care Limited,0.9052808046940449
96,ANANDRATHI,Anand Rathi Wealth Limited,6.03687601487612
97,ANANTRAJ,Anant Raj Limited,-1.6467682173734046
98,ANDHRAPAP,ANDHRA PAPER LIMITED,-2.4481252275209195
99,ANDHRSUGAR,The Andhra Sugars Limited,0.18823529411764972
100,ANDREWYU,Andrew Yule & Company Limited,
101,ANGELONE,Angel One Limited,1.8435678460078764
102,ANIKINDS,Anik Industries Limited,
103,ANKITMETAL,Ankit Metal & Power Limited,
104,ANMOL,Anmol India Limited,5.994005994005994
105,ANSALAPI,Ansal Properties & Infrastructure Limited,
106,ANTGRAPHIC,Antarctica Limited,
107,ANUP,The Anup Engineering Limited,-2.7759727073349003
108,ANURAS,Anupam Rasayan India Limited,0.5206270160149423
109,APARINDS,Apar Industries Limited,-2.4201411346764514
110,APCL,Anjani Portland Cement Limited,-1.0101010101010188
111,APCOTEXIND,Apcotex Industries Limited,-0.5061460592913932
112,APEX,Apex Frozen Foods Limited,-0.9745661991918151
113,APLAPOLLO,APL Apollo Tubes Limited,-2.4723695138312176
114,APLLTD,Alembic Pharmaceuticals Limited,-0.07012130986606831
115,APOLLO,Apollo Micro Systems Limited,7.549234135667386
116,APOLLOHOSP,Apollo Hospitals Enterprise Limited,-0.48444988485237156
117,APOLLOPIPE,Apollo Pipes Limited,-1.522496591425552
118,APOLLOTYRE,Apollo Tyres Limited,-0.15735641227380612
119,APOLSINHOT,Apollo Sindoori Hotels Limited,-2.276960716172262
120,APTECHT,Aptech Limited,-3.62888140665918
121,APTUS,Aptus Value Housing Finance India Limited,-0.9004329004329082
122,ARCHIDPLY,Archidply Industries Limited,-3.1671554252199448
123,ARCHIES,Archies Limited,-2.474226804123717
124,ARENTERP,Rajdarshan Industries Limited,
125,ARIES,Aries Agro Limited,-2.6941817139581477
126,ARIHANTCAP,Arihant Capital Markets Limited,1.4684287812041117
127,ARIHANTSUP,Arihant Superstructures Limited,-1.9596541786743547
128,ARMANFIN,Arman Financial Services Limited,-0.7604483083691249
129,AROGRANITE,Aro Granite Industries Limited,
130,ARROWGREEN,Arrow Greentech Limited,-2.5836820083682053
131,ARSHIYA,Arshiya Limited,
132,ARSSINFRA,ARSS Infrastructure Projects Limited,
133,ARTEMISMED,Artemis Medicare Services Limited,-3.7386215864759422
134,ARTNIRMAN,Art Nirman Limited,1.3513513513513482
135,ARVEE,Arvee Laboratories (India) Limited,2.2952295229523054
136,ARVIND,Arvind Limited,-3.243105209397356
137,ARVINDFASN,Arvind Fashions Limited,-0.2640981823831048
138,ARVSMART,Arvind SmartSpaces Limited,5.358807082945014
139,ASAHIINDIA,Asahi India Glass Limited,-0.6528349132534389
140,ASAHISONG,Asahi Songwon Colors Limited,-2.1297192642787994
141,ASAL,Automotive Stampings and Assemblies Limited,-0.11584502509975252
142,ASALCBR,Associated Alcohols & Breweries Ltd.,0.14296711756296804
143,ASHAPURMIN,Ashapura Minechem Limited,
144,ASHIANA,Ashiana Housing Limited,2.1246789633434426
145,ASHIMASYN,Ashima Limited,-0.9404388714733455
146,ASHOKA,Ashoka Buildcon Limited,-1.8083878414774872
147,ASHOKLEY,Ashok Leyland Limited,-1.5503875968992216
148,ASIANENE,Asian Energy Services Limited,-2.4497660335810716
149,ASIANHOTNR,Asian Hotels (North) Limited,5.000000000000006
150,ASIANPAINT,Asian Paints Limited,-2.0412591380979284
151,ASIANTILES,Asian Granito India Limited,-0.7878787878787947
152,ASMS,Bartronics India Limited,
153,ASPINWALL,Aspinwall and Company Limited,-0.9601335838029686
154,ASTEC,Astec LifeSciences Limited,0.4383628989307148
155,ASTERDM,Aster DM Healthcare Limited,0.09100561201274424
156,ASTRAL,Astral Limited,-1.4453599891935702
157,ASTRAMICRO,Astra Microwave Products Limited,-0.7196562835660628
158,ASTRAZEN,AstraZeneca Pharma India Limited,-0.11124184404748781
159,ASTRON,Astron Paper & Board Mill Limited,
160,ATALREAL,Atal Realtech Limited,
161,ATAM,Atam Valves Limited,-2.0910209102091057
162,ATFL,Agro Tech Foods Limited,4.835677707914689
163,ATGL,Adani Total Gas Limited,-2.215133794081163
164,ATLANTA,Atlanta  Limited,-2.2950819672131124
165,ATUL,Atul Limited,-1.686239325824695
166,ATULAUTO,Atul Auto Limited,0.4413206930369476
167,AUBANK,AU Small Finance Bank Limited,-0.0672545209983628
168,AURIONPRO,Aurionpro Solutions Limited,
169,AUROPHARMA,Aurobindo Pharma Limited,1.141848145968222
170,AURUM,Aurum PropTech Limited,1.3033175355450284
171,AUSOMENT,Ausom Enterprise Limited,
172,AUTOAXLES,Automotive Axles Limited,-0.8113013623739739
173,AUTOIND,Autoline Industries Limited,
174,AVADHSUGAR,Avadh Sugar & Energy Limited,-1.1456412957598014
175,AVALON,Avalon Technologies Limited,-0.7052896725440806
176,AVANTIFEED,Avanti Feeds Limited,-0.9789343246592289
177,AVG,AVG Logistics Limited,-0.7577124300919956
178,AVONMORE,Avonmore Capital & Management Services Limited,
179,AVROIND,AVRO INDIA LIMITED,-0.6591337099811703
180,AVTNPL,AVT Natural Products Limited,0.9014423076923076
181,AWHCL,Antony Waste Handling Cell Limited,-1.9926199261992676
182,AWL,Adani Wilmar Limited,-3.4292712798530447
183,AXISBANK,Axis Bank Limited,-1.023577939603816
184,AXISCADES,AXISCADES Technologies Limited,-0.38488108161452456
185,AXITA,Axita Cotton Limited,0.7233273056057969
186,AYMSYNTEX,AYM Syntex Limited,0.8289374529012983
187,BAFNAPH,Bafna Pharmaceuticals Limited,
188,BAGFILMS,B.A.G Films and Media Limited,
189,BAIDFIN,Baid Finserv Limited,
190,BAJAJ-AUTO,Bajaj Auto Limited,0.5701865808564123
191,BAJAJCON,Bajaj Consumer Care Limited,-0.5811450710288517
192,BAJAJELEC,Bajaj Electricals Limited,0.3576853349012557
193,BAJAJFINSV,Bajaj Finserv Limited,0.21025134592717368
194,BAJAJHCARE,Bajaj Healthcare Limited,-2.7915407854984924
195,BAJAJHIND,Bajaj Hindusthan Sugar Limited,5.816135084427771
196,BAJAJHLDNG,Bajaj Holdings & Investment Limited,-2.6774177248085214
197,BAJFINANCE,Bajaj Finance Limited,-0.2769380659713186
198,BALAJITELE,Balaji Telefilms Limited,7.846153846153838
199,BALAMINES,Balaji Amines Limited,-0.5279495514873112
200,BALAXI,BALAXI PHARMACEUTICALS LIMITED,8.687546607009692
201,BALKRISHNA,Balkrishna Paper Mills Limited,-0.16835016835017075
202,BALKRISIND,Balkrishna Industries Limited,0.2036181376771798
203,BALLARPUR,Ballarpur Industries Limited,
204,BALMLAWRIE,Balmer Lawrie & Company Limited,7.116244411326387
205,BALPHARMA,Bal Pharma Limited,2.090592334494787
206,BALRAMCHIN,Balrampur Chini Mills Limited,0.3993706886118926
207,BANARBEADS,Banaras Beads Limited,0.32768978700163537
208,BANARISUG,Bannari Amman Sugars Limited,-1.326584046081351
209,BANCOINDIA,Banco Products (I) Limited,1.1835640911121061
210,BANDHANBNK,Bandhan Bank Limited,-0.30352556619192417
211,BANG,Bang Overseas Limited,-2.5136612021857894
212,BANKA,Banka BioLoo Limited,-1.0137581462708223
213,BANKBARODA,Bank of Baroda,-0.3567787971457638
214,BANKINDIA,Bank of India,2.295252999478355
215,BANSWRAS,Banswara Syntex Limited,0.5561348627042136
216,BARBEQUE,Barbeque Nation Hospitality Limited,-0.7252592996958556
217,BASF,BASF India Limited,-0.2456418383518153
218,BASML,Bannari Amman Spinning Mills Limited,-0.5740528128587831
219,BATAINDIA,Bata India Limited,-1.7113118993646408
220,BAYERCROP,Bayer Cropscience Limited,-0.08738505309150398
221,BBL,Bharat Bijlee Limited,0.43486960581605233
222,BBOX,Black Box Limited,4.3791118421052655
223,BBTC,Bombay Burmah Trading Corporation Limited,4.39487387819921
224,BBTCL,B&B Triplewall Containers Limited,-0.5338809034907644
225,BCG,Brightcom Group Limited,-2.0895522388059784
226,BCLIND,Bcl Industries Limited,-0.4115226337448618
227,BCONCEPTS,Brand Concepts Limited,
228,BDL,Bharat Dynamics Limited,1.1240568700918796
229,BEARDSELL,Beardsell Limited,
230,BECTORFOOD,Mrs. Bectors Food Specialities Limited,1.8382188908222825
231,BEDMUTHA,Bedmutha Industries Limited,
232,BEL,Bharat Electronics Limited,-0.6378986866791703
233,BEML,BEML Limited,-0.5121860695286359
234,BEPL,Bhansali Engineering Polymers Limited,-0.9758897818599246
235,BERGEPAINT,Berger Paints (I) Limited,-1.5306122448979713
236,BESTAGRO,Best Agrolife Limited,
237,BFINVEST,BF Investment Limited,-2.533714752758475
238,BFUTILITIE,BF Utilities Limited,-2.9026067487605918
239,BGLOBAL,Bharatiya Global Infomedia Limited,
240,BGRENERGY,BGR Energy Systems Limited,-1.8433179723502378
241,BHAGCHEM,Bhagiradha Chemicals & Industries Limited,-3.160966652457607
242,BHAGERIA,Bhageria Industries Limited,1.601908657123397
243,BHAGYANGR,Bhagyanagar India Limited,
244,BHANDARI,Bhandari Hosiery Exports Limited,
245,BHARATFORG,Bharat Forge Limited,0.7750036788149288
246,BHARATGEAR,Bharat Gears Limited,0.4729148753224395
247,BHARATRAS,Bharat Rasayan Limited,-0.9068187099370328
248,BHARATWIRE,Bharat Wire Ropes Limited,-0.2533619177548258
249,BHARTIARTL,Bharti Airtel Limited,-0.10389326334207477
250,BHEL,Bharat Heavy Electricals Limited,0.579230450972282
251,BIGBLOC,Bigbloc Construction Limited,-5.081047381546138
252,BIKAJI,Bikaji Foods International Limited,-0.8877615726062238
253,BIL,Bhartiya International Limited,-1.5592942141977773
254,BINANIIND,Binani Industries Limited,
255,BINDALAGRO,Oswal Chemicals & Fertilizers Limited,
256,BIOCON,Biocon Limited,-0.4325062599590335
257,BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,3.0851063829787297
