,Index Name,ind_close_all_29092025.csv,ind_close_all_26092025.csv,ind_close_all_25092025.csv,ind_close_all_24092025.csv,ind_close_all_23092025.csv,ind_close_all_22092025.csv,ind_close_all_19092025.csv,ind_close_all_18092025.csv,ind_close_all_17092025.csv,ind_close_all_16092025.csv,ind_close_all_15092025.csv,ind_close_all_12092025.csv,ind_close_all_11092025.csv,ind_close_all_10092025.csv,ind_close_all_09092025.csv,ind_close_all_08092025.csv,ind_close_all_05092025.csv,ind_close_all_04092025.csv,ind_close_all_03092025.csv,ind_close_all_02092025.csv,ind_close_all_01092025.csv
34,Nifty CPSE,.44,-1.17,-.49,.2,.07,.13,.07,-.28,.74,.99,0,1.04,.87,1.18,-.14,-.49,0,-1.27,.26,1.27,1.47
35,Nifty50 Value 20,-.07,-.96,-.87,-.37,.03,-1.06,-.28,.28,.48,.62,-.37,.51,-.03,.64,1.01,.01,-.52,-.38,.28,-.11,1.11
36,Nifty Midcap Liquid 15,.28,-2.01,-.77,-1.51,-.09,-1.44,.04,.4,.17,.65,.03,.5,-.36,.77,.4,.73,.32,-.01,.78,-.09,2.14
37,Nifty Shariah 25,-.29,-1.64,-.88,-.22,-1.03,-1.08,-.48,.18,.45,.55,-.24,-.06,.06,1,.86,-.55,-.74,-.33,.11,.13,1.41
38,India VIX,-.53,5.96,2.47,-.96,.64,5.92,.83,-3.54,-.24,-1.2,2.72,-2.29,-1.68,-1.38,-1.41,.53,-.67,-.71,-4.12,.95,-3.91
39,Nifty Growth Sectors 15,-.26,-2.08,-.65,-.45,-.58,-1.07,-.32,.76,.32,.79,-.76,.02,-.37,.19,1.16,.64,-.17,.74,.23,-.05,1.35
40,Nifty50 TR 1x Inverse,.12,.97,.68,.45,.15,.54,.39,-.33,-.36,-.65,.21,-.41,-.12,-.41,-.35,-.09,-.03,-.09,-.52,.2,-.78
41,Nifty50 TR 2x Leverage,-.21,-1.91,-1.34,-.91,-.28,-1.03,-.77,.72,.71,1.34,-.4,.85,.24,.83,.76,.22,.04,.18,1.09,-.38,1.58
42,Nifty50 PR 1x Inverse,.14,.96,.68,.46,.15,.52,.39,-.34,-.34,-.66,.22,-.41,-.12,-.41,-.36,-.1,-.02,-.05,-.55,.22,-.78
43,Nifty50 PR 2x Leverage,-.21,-1.91,-1.34,-.91,-.28,-1.03,-.77,.72,.71,1.34,-.4,.85,.24,.83,.76,.22,.04,.14,1.09,-.38,1.58
44,NIFTY100 Quality 30,-.04,-1.28,-.51,-.38,-.7,-.95,-.22,.27,.28,.38,-.22,.18,-.08,.71,.88,.04,-.48,-.15,.27,.48,1.24
45,Nifty Mahindra Group,,,,,,,,,,,,,,,,,,,,,
46,Nifty 50 Futures TR Index,.03,-1.1,-.56,-.55,-.07,-.48,-.37,.36,.38,.68,-.11,.42,.14,.51,.25,.23,.1,.07,.51,-.21,.78
47,Nifty Tata Group,,,,,,,,,,,,,,,,,,,,,
48,Nifty Tata Group 25% Cap,,,,,,,,,,,,,,,,,,,,,
49,Nifty Private Bank,-.29,-1.12,-.14,-.86,.53,-.21,-.65,.44,.37,.78,0,.41,.29,.62,.13,-.01,.2,.02,.74,-.7,.82
50,Nifty Smallcap 250,-.1,-2.14,-.66,-.55,-.52,-.91,.14,.06,.51,.74,.64,.32,-.01,.66,.26,.18,.23,-.67,.84,.59,1.41
51,Nifty Smallcap 50,-.29,-2.64,-.32,-.73,-.47,-1.27,.17,.52,.81,.85,.65,.47,.16,.77,.32,.25,-.03,-.71,.98,.52,1.85
52,Nifty MidSmallcap 400,.13,-2.01,-.66,-.76,-.37,-.69,.05,.22,.3,.66,.5,.29,.02,.85,.22,.31,.13,-.65,.73,.33,1.62
53,Nifty Midcap 150,.25,-1.94,-.66,-.88,-.29,-.56,.01,.31,.18,.62,.42,.28,.04,.95,.2,.38,.07,-.63,.67,.18,1.74
54,Nifty Midcap Select,.4,-2.02,-.64,-1.3,-.15,-1.1,.05,.63,.04,.34,.15,.35,-.03,1.22,.33,.49,.31,-.27,.51,-.05,2.13
55,NIFTY LargeMidcap 250,.18,-1.5,-.67,-.73,-.24,-.46,-.1,.33,.26,.64,.19,.35,.1,.69,.27,.28,.04,-.32,.62,.06,1.33
56,NIFTY SME EMERGE,.35,-1.33,-.67,-.11,.01,-.48,.27,.4,.37,.38,-.27,.29,.05,.14,.22,.55,.55,.03,.59,.16,-.26
57,Nifty Oil & Gas,1.35,-.72,-.31,-.62,-.09,-.06,.42,-.04,.63,.86,.3,.04,1.1,.35,-.3,.24,.1,-.96,.24,.62,1.35
58,Nifty Financial Services 25/50,.09,-1.11,-.72,-.64,.09,.15,-.44,.56,.08,.4,.18,.82,.18,.85,.13,.21,.24,.25,.5,-.56,.98
59,Nifty Healthcare Index,-.08,-2.06,-.77,-.64,-.42,-1.07,.17,1.33,-.1,.06,-.55,.43,.28,.7,.77,-.4,-.02,-.04,1.08,-.33,.28
60,Nifty500 Multicap 50:25:25,.09,-1.56,-.67,-.64,-.3,-.54,-.07,.27,.34,.67,.24,.36,.09,.61,.29,.23,.08,-.33,.66,.16,1.24
61,Nifty Microcap 250,-.84,-2.13,-1.04,-.36,-.29,-.74,.36,-.24,.64,.55,.76,-.08,-.1,.44,.17,.44,-.01,-.65,.99,.85,1.28
