,SYMBOL,NAME OF COMPANY,cm04DEC2023bhav.csv,cm01DEC2023bhav.csv
74,ALBERTDAVD,Albert David Limited,-1.976416670644944,-1.0814129202871219
75,ALEMBICLTD,Alembic Limited,2.0190023752969153,-1.8648018648018583
76,ALICON,Alicon Castalloy Limited,0.39947531600286457,-0.9391057822928275
77,ALKALI,Alkali Metals Limited,9.97869318181817,-0.035498757543473876
78,ALKEM,Alkem Laboratories Limited,-0.7476494761074894,-1.6015496819129795
79,ALKYLAMINE,Alkyl Amines Chemicals Limited,-0.9941277107319555,0.06477582936194125
80,ALLCARGO,Allcargo Logistics Limited,0.3774297037176826,0.9333333333333291
81,ALLSEC,Allsec Technologies Limited,-1.8431001890359062,-0.9981285090455536
82,ALMONDZ,Almondz Global Securities Limited,-2.2604951560818174,5.149971703452192
83,ALOKINDS,Alok Industries Limited,2.2842639593908594,0.254452926208655
84,ALPA,Alpa Laboratories Limited,0.7216494845360854,0.7268951194184868
85,ALPHAGEO,Alphageo (India) Limited,-0.6331403762662808,-0.6112909025530547
86,ALPSINDUS,Alps Industries Limited,2.499999999999991,-4.761904761904765
87,AMARAJABAT,Amara Raja Batteries Limited,,
88,AMBER,Amber Enterprises India Limited,-0.6432253842593361,2.7553179276073014
89,AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,,
90,AMBIKCO,Ambika Cotton Mills Limited,1.2241025797961869,-1.2809280686384124
91,AMBUJACEM,Ambuja Cements Limited,7.3642533936651615,0.6260671599317018
92,AMDIND,AMD Industries Limited,3.303108808290152,-2.9541169076052727
93,AMIORG,Ami Organics Limited,0.1498909883721013,-1.073915973938445
94,AMJLAND,Amj Land Holdings Limited,1.3089005235602091,-0.7792207792207718
95,AMRUTANJAN,Amrutanjan Health Care Limited,0.5246939285416802,-0.31548360315483226
96,ANANDRATHI,Anand Rathi Wealth Limited,2.7185213708124727,0.05779233288383741
97,ANANTRAJ,Anant Raj Limited,1.3991302703724668,-1.4533258803801132
98,ANDHRAPAP,ANDHRA PAPER LIMITED,-0.6397896581945622,1.134550611593685
99,ANDHRSUGAR,The Andhra Sugars Limited,-0.22727272727272727,-0.7220216606498169
100,ANDREWYU,Andrew Yule & Company Limited,,
101,ANGELONE,Angel One Limited,-2.718004941827173,-0.38144918086233004
102,ANIKINDS,Anik Industries Limited,,
103,ANKITMETAL,Ankit Metal & Power Limited,,
104,ANMOL,Anmol India Limited,1.4975041597337746,1.0084033613445402
105,ANSALAPI,Ansal Properties & Infrastructure Limited,,
106,ANTGRAPHIC,Antarctica Limited,,
107,ANUP,The Anup Engineering Limited,1.897382117610499,1.0618044788129664
108,ANURAS,Anupam Rasayan India Limited,3.3487867429473317,2.7569430366916614
109,APARINDS,Apar Industries Limited,0.1102874706201476,-0.9029992475006207
110,APCL,Anjani Portland Cement Limited,-0.8827523766410217,-1.008290387631638
111,APCOTEXIND,Apcotex Industries Limited,0.9398139358268334,-0.2934216753431054
112,APEX,Apex Frozen Foods Limited,0.2330459100442787,-0.5331478905887702
113,APLAPOLLO,APL Apollo Tubes Limited,-1.5957931852031977,-2.530145468550946
114,APLLTD,Alembic Pharmaceuticals Limited,0.0,0.7173504961115611
115,APOLLO,Apollo Micro Systems Limited,,
116,APOLLOHOSP,Apollo Hospitals Enterprise Limited,0.5616018171574819,1.1249875654509414
117,APOLLOPIPE,Apollo Pipes Limited,-0.49963262307126777,-1.1188607962801576
118,APOLLOTYRE,Apollo Tyres Limited,1.6951067917278788,3.521291530182501
119,APOLSINHOT,Apollo Sindoori Hotels Limited,1.47606014945109,3.931093994694621
120,APTECHT,Aptech Limited,-0.23538642604942892,0.5324393610727645
121,APTUS,Aptus Value Housing Finance India Limited,1.4355683161628103,2.17428817946506
122,ARCHIDPLY,Archidply Industries Limited,,
123,ARCHIES,Archies Limited,-0.20080321285139419,-1.968503937007874
124,ARENTERP,Rajdarshan Industries Limited,,
125,ARIES,Aries Agro Limited,3.0447911424257734,-2.2626660108214574
126,ARIHANTCAP,Arihant Capital Markets Limited,-0.7885304659498167,-2.173913043478257
127,ARIHANTSUP,Arihant Superstructures Limited,1.7079579579579625,2.245250431778916
128,ARMANFIN,Arman Financial Services Limited,0.39422426462013455,0.4310647768536871
129,AROGRANITE,Aro Granite Industries Limited,,
130,ARROWGREEN,Arrow Greentech Limited,0.7431233362910306,-1.1728598048887353
131,ARSHIYA,Arshiya Limited,3.8461538461538445,3.9999999999999973
132,ARSSINFRA,ARSS Infrastructure Projects Limited,,
133,ARTEMISMED,Artemis Medicare Services Limited,0.8271787296898113,-1.3981939994174224
134,ARTNIRMAN,Art Nirman Limited,-1.254826254826252,1.0731707317073116
135,ARVEE,Arvee Laboratories (India) Limited,-3.482771396813627,-3.296309566463649
136,ARVIND,Arvind Limited,0.7815989280928985,-0.9511170095111725
137,ARVINDFASN,Arvind Fashions Limited,-1.491008422490328,-0.05687635081333181
138,ARVSMART,Arvind SmartSpaces Limited,4.512808235575778,8.46533367956374
139,ASAHIINDIA,Asahi India Glass Limited,1.9989479221462552,0.2549002373208986
140,ASAHISONG,Asahi Songwon Colors Limited,-1.4576747453459704,-0.6282722513089045
141,ASAL,Automotive Stampings and Assemblies Limited,-0.8516098926738297,0.10510335162911258
142,ASALCBR,Associated Alcohols & Breweries Ltd.,0.6654097815237884,-0.857614073666845
143,ASHAPURMIN,Ashapura Minechem Limited,,
144,ASHIANA,Ashiana Housing Limited,1.4007782101167403,1.5208374481532665
145,ASHIMASYN,Ashima Limited,0.9493670886075859,-0.9404388714733455
146,ASHOKA,Ashoka Buildcon Limited,2.211747643219712,-1.7806267806267806
147,ASHOKLEY,Ashok Leyland Limited,-1.0493477027793663,-3.740103740103737
148,ASIANENE,Asian Energy Services Limited,4.993128721942271,4.9771579706660365
149,ASIANHOTNR,Asian Hotels (North) Limited,,
150,ASIANPAINT,Asian Paints Limited,0.6664775950085111,1.7147985512356165
151,ASIANTILES,Asian Granito India Limited,-0.678886625933469,-1.0080645161290323
152,ASMS,Bartronics India Limited,,
153,ASPINWALL,Aspinwall and Company Limited,1.7773019271948631,-0.17101325352715077
154,ASTEC,Astec LifeSciences Limited,-1.226810293237594,-1.7141416687673192
155,ASTERDM,Aster DM Healthcare Limited,-0.12461059190031153,4.929393305439337
156,ASTRAL,Astral Limited,0.6343349591852184,1.4745858337180078
157,ASTRAMICRO,Astra Microwave Products Limited,5.76989619377163,0.22542049592508312
158,ASTRAZEN,AstraZeneca Pharma India Limited,0.7809629777362531,-0.051407948298288174
159,ASTRON,Astron Paper & Board Mill Limited,,
160,ATALREAL,Atal Realtech Limited,,
161,ATAM,Atam Valves Limited,2.283590015932014,1.8663781444414482
162,ATFL,Agro Tech Foods Limited,-0.7580507267027617,8.40954028670291
163,ATGL,Adani Total Gas Limited,4.39090455485066,-1.0369638826184973
164,ATLANTA,Atlanta  Limited,,3.4000000000000057
165,ATUL,Atul Limited,1.4342306044365014,0.8001394182319537
166,ATULAUTO,Atul Auto Limited,1.177625122669291,-0.5853658536585403
167,AUBANK,AU Small Finance Bank Limited,1.521988012660779,0.1416239546803437
168,AURIONPRO,Aurionpro Solutions Limited,,
