,SYMBOL,NAME OF COMPANY,cm01APR2024bhav.csv
97,ANANTRAJ,Anant Raj Limited,4.079010759595307
98,ANDHRAPAP,ANDHRA PAPER LIMITED,2.851260936695836
99,ANDHRSUGAR,The Andhra Sugars Limited,7.223719676549869
100,ANDREWYU,Andrew Yule & Company Limited,
101,ANGELONE,Angel One Limited,-0.6403940886699507
102,ANIKINDS,Anik Industries Limited,4.946996466431082
103,ANKITMETAL,Ankit Metal & Power Limited,4.225352112676067
104,ANMOL,Anmol India Limited,9.449760765550247
105,ANSALAPI,Ansal Properties & Infrastructure Limited,
106,ANTGRAPHIC,Antarctica Limited,
107,ANUP,The Anup Engineering Limited,0.049073150654563864
108,ANURAS,Anupam Rasayan India Limited,1.0971336664943367
109,APARINDS,Apar Industries Limited,-0.412672484202371
110,APCL,Anjani Portland Cement Limited,6.678646301287815
111,APCOTEXIND,Apcotex Industries Limited,2.008444596599341
112,APEX,Apex Frozen Foods Limited,2.734177215189876
113,APLAPOLLO,APL Apollo Tubes Limited,0.49132658177077504
114,APLLTD,Alembic Pharmaceuticals Limited,2.452274573517475
115,APOLLO,Apollo Micro Systems Limited,4.984260230849948
116,APOLLOHOSP,Apollo Hospitals Enterprise Limited,1.5801975836899038
117,APOLLOPIPE,Apollo Pipes Limited,2.445353042931289
118,APOLLOTYRE,Apollo Tyres Limited,-0.2465430378389918
119,APOLSINHOT,Apollo Sindoori Hotels Limited,6.6864650827933785
120,APTECHT,Aptech Limited,4.468911917098444
121,APTUS,Aptus Value Housing Finance India Limited,7.116286592269125
122,ARCHIDPLY,Archidply Industries Limited,3.98310199155101
123,ARCHIES,Archies Limited,
124,ARENTERP,Rajdarshan Industries Limited,4.9999999999999964
125,ARIES,Aries Agro Limited,7.803468208092499
126,ARIHANTCAP,Arihant Capital Markets Limited,7.923497267759566
127,ARIHANTSUP,Arihant Superstructures Limited,8.00425273390037
128,ARMANFIN,Arman Financial Services Limited,6.317109064152169
129,AROGRANITE,Aro Granite Industries Limited,4.342984409799562
130,ARROWGREEN,Arrow Greentech Limited,3.7257438551099553
131,ARSHIYA,Arshiya Limited,
132,ARSSINFRA,ARSS Infrastructure Projects Limited,
133,ARTEMISMED,Artemis Medicare Services Limited,2.7671474830733103
134,ARTNIRMAN,Art Nirman Limited,
135,ARVEE,Arvee Laboratories (India) Limited,-2.126917712691779
136,ARVIND,Arvind Limited,1.4975041597337813
137,ARVINDFASN,Arvind Fashions Limited,-0.0993048659384285
138,ARVSMART,Arvind SmartSpaces Limited,1.28260246488966
139,ASAHIINDIA,Asahi India Glass Limited,3.1322830241446735
140,ASAHISONG,Asahi Songwon Colors Limited,-0.462178400862733
141,ASAL,Automotive Stampings and Assemblies Limited,3.5891628190608773
142,ASALCBR,Associated Alcohols & Breweries Ltd.,5.433170938360512
143,ASHAPURMIN,Ashapura Minechem Limited,1.542758345524674
144,ASHIANA,Ashiana Housing Limited,4.033582770578577
145,ASHIMASYN,Ashima Limited,6.944444444444445
146,ASHOKA,Ashoka Buildcon Limited,2.203065134099628
147,ASHOKLEY,Ashok Leyland Limited,1.985401459854018
148,ASIANENE,Asian Energy Services Limited,4.848820058997063
149,ASIANHOTNR,Asian Hotels (North) Limited,
150,ASIANPAINT,Asian Paints Limited,0.8518485992798805
151,ASIANTILES,Asian Granito India Limited,8.31146106736658
152,ASMS,Bartronics India Limited,1.9553072625698404
153,ASPINWALL,Aspinwall and Company Limited,4.8688394276629685
154,ASTEC,Astec LifeSciences Limited,4.0329757834090545
155,ASTERDM,Aster DM Healthcare Limited,-0.305399462496946
156,ASTRAL,Astral Limited,1.9309478970495941
157,ASTRAMICRO,Astra Microwave Products Limited,5.264481515634165
158,ASTRAZEN,AstraZeneca Pharma India Limited,-2.3993844363745453
159,ASTRON,Astron Paper & Board Mill Limited,
160,ATALREAL,Atal Realtech Limited,0.0
161,ATAM,Atam Valves Limited,9.419856459330145
162,ATFL,Agro Tech Foods Limited,2.082111436950153
163,ATGL,Adani Total Gas Limited,4.6408720522367926
164,ATLANTA,Atlanta  Limited,
165,ATUL,Atul Limited,0.987718839822312
166,ATULAUTO,Atul Auto Limited,5.05570737859996
167,AUBANK,AU Small Finance Bank Limited,4.30973451327434
168,AURIONPRO,Aurionpro Solutions Limited,
169,AUROPHARMA,Aurobindo Pharma Limited,2.2594718714121615
170,AURUM,Aurum PropTech Limited,
171,AUSOMENT,Ausom Enterprise Limited,2.2801302931596186
172,AUTOAXLES,Automotive Axles Limited,2.4467267916583686
173,AUTOIND,Autoline Industries Limited,2.2309711286089215
174,AVADHSUGAR,Avadh Sugar & Energy Limited,4.651162790697684
175,AVALON,Avalon Technologies Limited,2.5000000000000044
176,AVANTIFEED,Avanti Feeds Limited,3.6448115642746473
177,AVG,AVG Logistics Limited,-0.7844827586206817
178,AVONMORE,Avonmore Capital & Management Services Limited,6.6971951917573085
179,AVROIND,AVRO INDIA LIMITED,7.299618320610693
180,AVTNPL,AVT Natural Products Limited,2.7380952380952346
181,AWHCL,Antony Waste Handling Cell Limited,6.3352826510721245
182,AWL,Adani Wilmar Limited,5.849408836341012
183,AXISBANK,Axis Bank Limited,0.5634071810542268
184,AXISCADES,AXISCADES Technologies Limited,12.600560426647393
185,AXITA,Axita Cotton Limited,4.066985645933022
186,AYMSYNTEX,AYM Syntex Limited,8.98617511520737
187,BAFNAPH,Bafna Pharmaceuticals Limited,
188,BAGFILMS,B.A.G Films and Media Limited,
189,BAIDFIN,Baid Finserv Limited,10.026385224274419
190,BAJAJ-AUTO,Bajaj Auto Limited,-1.1587042188857857
191,BAJAJCON,Bajaj Consumer Care Limited,3.560481018627674
192,BAJAJELEC,Bajaj Electricals Limited,2.225527461025731
193,BAJAJFINSV,Bajaj Finserv Limited,0.13079052224960253
194,BAJAJHCARE,Bajaj Healthcare Limited,3.9685254875128173
195,BAJAJHIND,Bajaj Hindusthan Sugar Limited,9.81067125645438
196,BAJAJHLDNG,Bajaj Holdings & Investment Limited,1.6294460729503402
197,BAJFINANCE,Bajaj Finance Limited,0.07867223353231177
198,BALAJITELE,Balaji Telefilms Limited,4.942450914014903
199,BALAMINES,Balaji Amines Limited,2.601149003789259
200,BALAXI,BALAXI PHARMACEUTICALS LIMITED,9.486843431797563
201,BALKRISHNA,Balkrishna Paper Mills Limited,
202,BALKRISIND,Balkrishna Industries Limited,-1.4067792953157663
203,BALLARPUR,Ballarpur Industries Limited,
204,BALMLAWRIE,Balmer Lawrie & Company Limited,4.593120805369122
205,BALPHARMA,Bal Pharma Limited,6.140350877192976
206,BALRAMCHIN,Balrampur Chini Mills Limited,4.268545379196018
207,BANARBEADS,Banaras Beads Limited,8.752117447769622
208,BANARISUG,Bannari Amman Sugars Limited,2.7380900681808393
209,BANCOINDIA,Banco Products (I) Limited,1.2396348102856147
210,BANDHANBNK,Bandhan Bank Limited,4.361111111111108
211,BANG,Bang Overseas Limited,
212,BANKA,Banka BioLoo Limited,
213,BANKBARODA,Bank of Baroda,1.0225336110585073
214,BANKINDIA,Bank of India,2.7727106895293563
215,BANSWRAS,Banswara Syntex Limited,4.127644814429406
216,BARBEQUE,Barbeque Nation Hospitality Limited,4.840815506678723
217,BASF,BASF India Limited,6.424836307517107
218,BASML,Bannari Amman Spinning Mills Limited,17.460317460317466
219,BATAINDIA,Bata India Limited,0.3665151737281923
220,BAYERCROP,Bayer Cropscience Limited,5.493543444955125
221,BBL,Bharat Bijlee Limited,-1.045798492865651
222,BBOX,Black Box Limited,4.44247001332741
223,BBTC,Bombay Burmah Trading Corporation Limited,2.621591452718859
224,BBTCL,B&B Triplewall Containers Limited,1.8561040949100518
225,BCG,Brightcom Group Limited,10.144927536231874
