,Index Name,ind_close_all_22102024.csv,ind_close_all_21102024.csv,ind_close_all_18102024.csv,ind_close_all_17102024.csv,ind_close_all_16102024.csv,ind_close_all_15102024.csv,ind_close_all_14102024.csv,ind_close_all_11102024.csv,ind_close_all_10102024.csv,ind_close_all_09102024.csv,ind_close_all_08102024.csv,ind_close_all_07102024.csv,ind_close_all_04102024.csv,ind_close_all_03102024.csv,ind_close_all_01102024.csv
42,Nifty50 PR 1x Inverse,1.27,.35,-.42,.91,.35,.3,-.6,.15,-.05,.15,-.85,.91,.94,2.16,.08
43,Nifty50 PR 2x Leverage,-2.51,-.64,.82,-1.79,-.7,-.58,1.26,-.29,.11,-.27,1.74,-1.8,-1.88,-4.27,-.13
44,NIFTY100 Quality 30,-1.33,-.44,-.43,-1.64,-.25,-.17,.45,.25,-.37,0,1.16,-.76,-1.08,-1.86,.11
45,Nifty Mahindra Group,,,,,,,,,,,,,,,
46,Nifty 50 Futures TR Index,-.99,-.58,.44,-.8,-.26,-.39,.74,-.25,.15,-.17,.6,-.69,-1.17,-1.86,-.06
47,Nifty Tata Group,,,,,,,,,,,,,,,
48,Nifty Tata Group 25% Cap,,,,,,,,,,,,,,,
49,Nifty Private Bank,-.97,-1.08,1.9,-1.12,-.43,-.06,1.07,-.48,1.59,-.02,.99,-1.82,-.76,-2.61,-.12
50,Nifty Smallcap 250,-3.68,-1.65,-.04,-1.41,.21,1.11,.29,.47,.13,1.24,2.1,-2.81,-.87,-1.9,.66
51,Nifty Smallcap 50,-3.7,-1.72,.08,-1.46,-.06,.95,.65,.77,.3,1.28,1.68,-2.58,-.8,-1.92,.88
52,Nifty MidSmallcap 400,-2.97,-1.55,.09,-1.57,-.05,.6,.34,.44,-.05,1.13,2.02,-2.33,-.88,-2.04,.43
53,Nifty Midcap 150,-2.57,-1.5,.17,-1.66,-.2,.32,.36,.43,-.15,1.07,1.98,-2.05,-.89,-2.12,.3
54,Nifty Midcap Select,-1.98,-2.61,.32,-1.24,.02,.41,.91,.49,-.44,.77,1.74,-1.23,-1.26,-2.4,.55
55,NIFTY LargeMidcap 250,-2.05,-.98,.26,-1.4,-.27,.07,.46,.17,-.07,.58,1.59,-1.62,-.92,-2.14,.14
56,NIFTY SME EMERGE,-2.98,-.9,.61,-.64,-.07,.35,.44,.18,.3,1.63,1.66,-3.98,-.38,-1.13,.77
57,Nifty Oil & Gas,-2.36,-1.24,-.2,-1.26,.23,-.27,-.14,.49,-.04,-.67,1.27,-2.27,-1.06,-2.72,-.67
58,Nifty Financial Services 25/50,-1.41,-.38,1.48,-1.41,.16,-.02,.87,-.53,.61,.75,.92,-1.67,-1.02,-2.59,-.13
59,Nifty Healthcare Index,-1.28,-.83,.44,-1.03,-.5,-.26,.63,.88,-1.95,1.85,1.72,-.5,-.61,-.88,-.07
60,Nifty500 Multicap 50:25:25,-2.32,-1.01,.2,-1.33,-.17,.27,.44,.18,0,.62,1.62,-1.81,-.91,-2.08,.23
61,Nifty Microcap 250,-4.14,-1.94,-.27,-1.45,.76,.95,.12,.76,.51,1.29,2.87,-3.84,-.96,-1.8,.57
62,Nifty Total Market,-2.01,-.8,.25,-1.26,-.23,.07,.48,.08,.01,.4,1.48,-1.59,-.93,-2.11,.12
63,Nifty India Digital,-1.92,-1.3,-.55,-.56,-.62,.07,.61,.62,-.94,.56,1.59,-.98,-.29,-1.76,1.35
64,Nifty Mobility,-2.04,-.11,.05,-2.75,-.74,-.36,.19,.04,-.03,.62,2.03,-1.55,-1.1,-3.06,.16
65,Nifty India Defence,-5.24,-1.05,.86,-2.13,-.36,1.58,-.49,-.53,2.81,.73,4.57,-2.96,-1.02,-1.92,-.57
66,Nifty Financial Services Ex-Bank,-2.61,-1.1,.59,-1.85,-.14,-.6,.5,.09,-.02,.93,1.09,-1.48,-1.1,-2.46,.26
67,Nifty Housing,-1.93,-.49,.88,-1.53,-.17,.16,.56,-.19,.32,-.07,1.29,-2,-1.03,-2.02,-.13
68,Nifty Transportation & Logistics,-2.24,.09,-.01,-2.87,-.99,-.37,.2,-.13,.01,.8,2.08,-1.34,-.99,-2.86,.3
69,Nifty MidSmall Financial Services,-3.27,-1.27,.78,-1.68,-.12,.23,1.41,.77,-.17,.35,2.05,-2.29,-.56,-1.62,1.08
70,Nifty MidSmall Healthcare,-2.17,-.36,.29,-1.51,-.66,.9,.2,.84,-1.28,1.57,2.32,-1.07,-.34,-1.33,.18
71,Nifty MidSmall IT & Telecom,-2.35,-2.56,-.26,-.34,-.76,-.11,.94,1.17,-.34,.69,1.68,-1.32,-.91,-2.38,.15
72,Nifty MidSmall India Consumption,-2.03,-.77,.51,-2.07,-.39,.94,.11,.33,-.42,1.78,2.34,-1.41,-1.25,-1.83,.1
73,Nifty REITs & InvITs,-.34,.37,.46,-.33,.04,.08,.41,-.64,.33,-.27,.11,.25,.46,.32,-.37
