,SYMBOL,NAME OF COMPANY,cm22AUG2023bhav.csv,cm21AUG2023bhav.csv,cm18AUG2023bhav.csv,cm17AUG2023bhav.csv,cm16AUG2023bhav.csv,cm14AUG2023bhav.csv,cm11AUG2023bhav.csv,cm10AUG2023bhav.csv,cm09AUG2023bhav.csv,cm08AUG2023bhav.csv,cm07AUG2023bhav.csv,cm04AUG2023bhav.csv,cm03AUG2023bhav.csv,cm02AUG2023bhav.csv,cm01AUG2023bhav.csv
0,20MICRONS,20 Microns Limited,,,,,,,,,,,,,,,
1,21STCENMGM,21st Century Management Services Limited,-0.2525252525252561,1.278772378516624,0.7731958762886708,-1.5228426395939123,0.0,-1.5000000000000036,-1.9607843137254832,-1.2106537530266346,1.2254901960784315,-0.7299270072992805,0.2439024390243937,0.24449877750611593,-1.445783132530124,1.715686274509811,-1.9230769230769333
2,360ONE,360 ONE WAM LIMITED,-0.886853133222874,1.0239243871221682,-1.3212863110851947,-0.11644832605531737,0.3505696757230411,-0.3686814786067677,1.019308046652954,0.740521327014218,-0.958341482495606,1.680421596897681,-0.9747932256793992,2.296535052377122,-1.4981645004464752,-2.7780457220025143,-0.6326080705453762
3,3IINFOLTD,3i Infotech Limited,1.5527950310559004,-0.15503875968991368,0.15527950310558122,-0.15503875968991368,-0.616332819722659,-0.4601226993864987,-1.2121212121212077,-1.0494752623688197,-1.4771048744460855,-0.2945508100147317,-0.2936857562408057,-0.2928257686676469,-0.582241630276573,-1.7167381974248965,0.4310344827586371
4,3MINDIA,3M India Limited,1.8817463542994073,-0.317578029780236,-0.1643550136848282,1.489222184923068,0.23082005624059931,-2.677192875297346,4.800413948352469,4.813227896817333,-2.4203814705967828,0.3139645827518303,-2.691058209511639,-1.2064420744700468,0.8571787392786301,-1.1307971717828829,-1.148239003822272
5,3PLAND,3P Land Holdings Limited,,,,,,,,,,,,,,,
6,4THDIM,Fourth Dimension Solutions Limited,,,,,,,,,,,,,,,
7,5PAISA,5Paisa Capital Limited,6.50555491925323,1.2289855072463793,-2.6084010840108425,-1.468624833110807,0.011127183709792928,-1.501534414730374,-0.6857516055295599,0.13079019073569978,0.8463398549131729,0.9430822145789416,0.5242025429399879,-0.17813404586951934,0.8533572872221,-3.0481166993250595,0.22913256955810396
8,63MOONS,63 moons technologies limited,9.984235417761429,-2.808988764044944,-1.9038076152304573,3.5448729033373683,9.9847850893876,-3.238866396761138,-0.6399707441945511,-1.9716795124574298,9.996056782334382,9.997831273042717,-0.259571706683969,1.0270979020978996,0.3508771929824611,-2.5224454895254405,-2.5619662570297876
9,A2ZINFRA,A2Z Infra Engineering Limited,4.022988505747143,4.819277108433717,1.8404907975460165,4.487179487179494,4.6979865771812035,,,,,,,,,,
10,AAATECH,AAA Technologies Limited,-1.0406811731315124,-0.3770028275211984,-0.09416195856874626,0.8547008547008602,-1.2195121951219487,-1.113172541743973,0.9363295880149813,-2.73224043715847,0.4574565416285453,-0.9963768115942107,0.0,1.8450184501845017,0.7434944237918322,0.6548175865294561,-1.2014787430683893
11,AAKASH,Aakash Exploration Services Limited,,,,,,,,,,,,,,,
12,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,,,,,,,-4.536679536679526,5.498981670061091,19.9023199023199,0.9864364981504457,-3.4523809523809588,4.738154613466331,5.5263157894736885,-3.0612244897959253,-0.3811944091486622
13,AARON,Aaron Industries Limited,,,,,,,,,,,,,,,
14,AARTIDRUGS,Aarti Drugs Limited,2.686246418338109,-0.5963506898086378,-0.7070260715863897,0.6046056726238067,0.08899172376968942,-2.2019147084421196,-1.3479866059929635,1.4193660745384842,-0.41623309053069324,3.010272443054939,-2.4060674745009076,-3.9922999665215975,-0.25878620919944373,0.32663316582915336,0.4036326942482303
15,AARTIIND,Aarti Industries Limited,-0.5718684702518346,1.1682242990654208,-1.9098548510313218,-0.6613183000867328,-0.582021987497303,1.5876491842767984,-0.9758213162745312,-2.546491969568895,-0.10555203715431709,-0.2421817416026185,0.4548339327268953,-0.21110407430863418,0.4665959703075267,-1.1426774294999453,2.0213903743315482
16,AARTIPHARM,Aarti Pharmalabs Limited,3.1540141998907734,1.7080960977641932,0.981629504978264,2.251218812733015,1.1310904872389724,0.510129718699898,2.8635682158920575,-0.8030933967876231,-0.9428403064230962,-0.1030169242089839,-3.3977822007392633,0.4283266704740149,0.042851021282667406,-0.05710206995003244,0.14295925661186562
17,AARTISURF,Aarti Surfactants Limited,0.3205128205128359,-0.7035175879397062,0.10899639473463188,-1.0946181275396007,0.5251750583527994,0.5026809651474532,1.2125837361146405,-1.5855795710590002,-0.6302346794925066,1.2680550890157993,-1.4483158156087064,0.08282945415389713,-0.09102946044357302,-0.7800312012480498,0.5033833966001102
18,AARVEEDEN,Aarvee Denims & Exports Limited,0.208768267223385,1.2684989429175506,5.816554809843388,-1.1061946902654867,-2.7956989247311768,-2.5157232704402572,4.60526315789474,0.4405286343612398,-0.6564551422319568,-0.652173913043472,0.0,0.6564551422319412,-1.5086206896551633,4.97737556561085,0.0
19,AARVI,Aarvi Encon Limited,1.0408326661329041,-0.8336641524414428,-1.1769321302471558,0.8306962025316432,-3.289977046671755,-1.3584905660377444,1.2609858616736767,0.114766641162973,-0.9097801364670333,-0.6403013182674157,0.6825938566552945,2.209302325581391,1.6949152542372927,0.47524752475247073,-1.789187086736687
