,Index Name,ind_close_all_20122024.csv,ind_close_all_19122024.csv,ind_close_all_18122024.csv,ind_close_all_17122024.csv,ind_close_all_16122024.csv,ind_close_all_13122024.csv,ind_close_all_12122024.csv,ind_close_all_11122024.csv,ind_close_all_10122024.csv,ind_close_all_09122024.csv,ind_close_all_06122024.csv,ind_close_all_05122024.csv,ind_close_all_04122024.csv,ind_close_all_03122024.csv,ind_close_all_02122024.csv
43,Nifty50 PR 2x Leverage,-3.06,-2.06,-1.15,-2.71,-.86,1.77,-.77,.24,-.09,-.53,-.27,1.95,.07,1.47,1.15
44,NIFTY100 Quality 30,-1.73,-1.1,-.43,-1.24,-.29,.71,-.45,.56,.28,-.94,-.07,.68,-.07,.25,.5
45,Nifty Mahindra Group,,,,,,,,,,,,,,,
46,Nifty 50 Futures TR Index,-1.63,-.96,-.64,-1.28,-.31,.76,-.33,.23,-.03,-.3,.1,.84,.08,.5,.57
47,Nifty Tata Group,,,,,,,,,,,,,,,
48,Nifty Tata Group 25% Cap,,,,,,,,,,,,,,,
49,Nifty Private Bank,-1.75,-1.07,-1.11,-1.38,.07,.8,-.43,-.25,.14,-.28,-.01,.69,.86,.86,.05
50,Nifty Smallcap 250,-2.01,-.34,-.68,-.56,.44,-.36,-.93,.28,.29,.37,.54,.48,.76,.94,.7
51,Nifty Smallcap 50,-2.75,-.42,-.89,-.84,.39,-.18,-1.14,.15,.16,.1,.84,1.32,.58,.92,1.18
52,Nifty MidSmallcap 400,-2.27,-.28,-.63,-.62,.6,-.2,-.66,.31,.28,.38,.46,.45,.85,.9,.86
53,Nifty Midcap 150,-2.41,-.24,-.6,-.66,.69,-.1,-.5,.32,.28,.38,.41,.43,.91,.88,.95
54,Nifty Midcap Select,-2.64,-.03,-.45,-.88,.56,.48,-.48,.37,.74,.23,.19,.06,.89,.68,.85
55,NIFTY LargeMidcap 250,-2.09,-.61,-.66,-.97,.21,.29,-.42,.23,.15,.06,.22,.66,.53,.83,.77
56,NIFTY SME EMERGE,-1.64,.11,-.95,1.04,.47,-.14,.04,.21,-.22,.31,1.28,.68,.99,1.87,.33
57,Nifty Oil & Gas,-1.65,-.36,-.84,-1.61,-.58,.34,-.91,.02,-.26,-.63,.03,.74,-.29,1.16,.31
58,Nifty Financial Services 25/50,-1.52,-1.09,-1.23,-1.55,-.07,.27,-.36,.18,.41,.11,.1,.54,1.1,.86,.21
59,Nifty Healthcare Index,-.82,1.26,.62,-.54,.35,-.08,-.32,.37,.05,-.5,-.06,.48,.22,.13,1.3
60,Nifty500 Multicap 50:25:25,-1.99,-.64,-.68,-.95,.15,.23,-.53,.22,.16,.05,.25,.68,.49,.84,.7
61,Nifty Microcap 250,-2.27,-.17,-.98,-.39,.77,-.33,-1.18,.42,.66,.47,.63,.18,.64,1.23,.82
62,Nifty Total Market,-1.92,-.77,-.71,-1.07,0,.41,-.46,.19,.12,-.06,.17,.75,.35,.83,.66
63,Nifty India Digital,-2.78,-1,-.21,-.34,.22,.75,.04,.13,.68,-.15,.54,1.42,.78,.29,1.13
64,Nifty Mobility,-1.99,-.51,-.86,-1.28,.12,.43,-.89,.06,-.25,-.6,.59,.92,-.34,.83,.85
65,Nifty India Defence,-2.81,-1.23,-2.49,.02,1.36,-.37,-.11,.43,-.29,.76,-.01,.46,1.47,.72,.2
66,Nifty Financial Services Ex-Bank,-2.35,-.68,-1.3,-1.24,.16,-.42,-.52,1,.58,.57,.74,.83,1.27,.93,.28
67,Nifty Housing,-2.08,-1.13,-1.15,-1.35,-.04,.36,-.28,.09,-.05,.32,.15,.34,.4,1.15,.96
68,Nifty Transportation & Logistics,-2.13,-.64,-.87,-1.22,.21,.4,-.91,.1,-.19,-.59,.71,.93,-.23,.76,.84
69,Nifty MidSmall Financial Services,-3.41,.11,-.97,-.97,.74,-.46,-.5,.12,.37,.63,1.09,1.59,1.91,.77,.35
70,Nifty MidSmall Healthcare,-1.36,.57,.45,-.12,.27,-.6,-.17,.14,.1,-.08,.03,.46,.84,.24,1.41
71,Nifty MidSmall IT & Telecom,-3.71,.33,-.45,-.62,.33,.51,-.26,.29,.49,.36,.6,.83,.48,1.35,1.05
72,Nifty MidSmall India Consumption,-2.28,-.36,-.25,-.31,1.29,.41,-.22,.47,.65,.19,.45,.2,.88,.47,2.07
73,Nifty REITs & InvITs,-1.67,-.13,.41,-.46,-.21,.04,.27,-.79,.12,.37,-.12,.43,-.22,-.03,-.33
74,Nifty Consumer Durables,-1.58,-1.1,-.49,-1.12,.52,.97,-.59,.57,.27,.47,1.09,.52,.77,.47,2.08
75,Nifty Non-Cyclical Consumer,-1.55,-.69,-.25,-.75,.03,1.31,-.7,.42,-.05,-1.23,.24,1.13,-.25,-.09,.69
76,Nifty India Manufacturing,-2.13,-.46,-.64,-1.29,.19,.07,-.55,.23,.04,-.12,.46,.37,-.14,.6,1.1
77,NIFTY100 Alpha 30,-2.55,-.42,-.97,-1.31,.09,.39,-.74,.59,-.16,-.39,.98,.99,-.18,.32,.55
78,NIFTY500 Value 50,-2.37,-.55,-1.69,-1.62,-.29,-.17,-.79,.15,.16,-.18,.75,.2,.42,1.48,.47
79,Nifty100 Low Volatility 30,-1.08,-.42,-.05,-1.23,-.35,.96,-.57,.39,.06,-.4,-.14,.9,-.08,.38,.68
80,NIFTY Alpha Low-Volatility 30,-1.56,-.32,-.28,-1.59,-.25,.82,-.62,.39,-.11,-.56,.26,.63,-.17,.83,.65
81,NIFTY Quality Low-Volatility 30,-1.33,-.66,-.13,-1.29,-.27,.83,-.51,.54,.39,-.86,-.05,.76,-.1,.22,.53
82,NIFTY Alpha Quality Low-Volatility 30,-1.91,-.29,-.35,-1.4,.05,.75,-.54,.57,.07,-.7,.11,.57,-.24,.48,.68
83,NIFTY Alpha Quality Value Low-Volatility 30,-1.84,-.48,-.51,-1.33,-.16,.46,-.52,.56,.08,-.39,.16,.67,-.04,.48,.62
84,NIFTY200 Quality 30,-1.97,-.85,-.38,-1.14,-.24,.77,-.36,.66,.3,-.78,-.01,.7,-.17,.39,.72
85,NIFTY Midcap150 Quality 50,-2.26,-.04,-.37,-.88,.4,-.07,-.42,.42,.43,.34,.07,.28,.09,.89,.49
86,Nifty200 Momentum 30,-3.04,-.88,-1.13,-1.51,.36,.34,-.63,.39,-.05,-.15,.66,.48,-.02,1.19,.73
87,Nifty100 ESG Sector Leaders,-1.67,-1.09,-.56,-1.36,-.37,.74,-.25,.14,0,-.33,-.11,1.05,.14,.73,.7
88,Nifty200 Alpha 30,-2.65,.02,-.53,-1.28,.63,.45,-.84,.57,.14,-.16,.7,.3,-.02,.85,1
89,Nifty Midcap150 Momentum 50,-2.93,-.25,-.76,-.68,1.24,-.48,-.4,.67,.06,.68,1.05,.66,1.17,.88,1.08
90,Nifty Smallcap250 Quality 50,-2.54,-.6,-.87,-.65,.45,-.48,-.96,.79,.92,.62,.69,1.29,.39,.95,1.09
91,NIFTY100 ESG,-1.81,-.94,-.62,-1.28,-.34,.53,-.17,.3,.22,-.38,.02,.92,.22,.71,.62
92,NIFTY100 Enhanced ESG,-1.81,-.95,-.62,-1.28,-.34,.53,-.17,.3,.21,-.38,.02,.92,.22,.71,.62
93,NIFTY50 Equal Weight,-1.62,-.62,-.49,-1.4,-.4,.63,-.46,.31,-.09,-.29,.02,.79,-.15,.75,.67
94,Nifty 50 Futures Index,-1.65,-.98,-.66,-1.3,-.37,.74,-.35,.21,-.05,-.36,.08,.83,.06,.49,.51
95,Nifty 50 Arbitrage,.08,-.02,.07,-.03,0,.11,-.01,-.05,.01,.1,-.12,.11,-.01,.17,.08
96,Nifty Aditya Birla Group,,,,,,,,,,,,,,,
97,Nifty 8-13 yr G-Sec,.01,-.19,.07,-.09,-.04,.09,-.1,-.06,.06,.18,-.33,.03,.18,0,.25
98,Nifty 4-8 yr G-Sec Index,-.01,-.16,.04,-.05,0,.03,-.05,-.04,.1,.11,-.26,.02,.06,.04,.34
99,Nifty 11-15 yr G-Sec Index,-.02,-.26,.11,-.14,.06,.11,-.03,-.04,.04,.25,-.41,0,.2,.01,.31
100,Nifty 15 yr and above G-Sec Index,-.13,-.45,.09,-.17,-.09,.28,.02,-.14,.04,.29,-.43,.07,.32,-.04,.37
101,Nifty Composite G-sec Index,-.01,-.23,.08,-.1,-.02,.1,-.07,-.06,.06,.18,-.33,.03,.18,0,.28
102,Nifty 10 yr Benchmark G-Sec,-.01,-.23,.08,-.11,-.06,.06,-.1,-.07,.1,.18,-.4,.06,.22,-.01,.33
103,Nifty 10 yr Benchmark G-Sec (Clean Price),-.03,-.26,.06,-.13,-.08,.04,-.12,-.09,.08,.16,-.42,.04,.2,-.03,.31
104,Nifty 1D Rate Index,.02,.02,.02,.02,.05,.02,.02,.02,.02,.05,.02,.02,.02,.02,.05
105,Nifty50 USD,,-1.17,-.63,-1.38,-.49,.98,-.41,.14,-.18,-.28,-.08,1,-.01,.76,.35
