,SYMBOL,NAME OF COMPANY,cm02JUL2024bhav.csv,cm01JUL2024bhav.csv
84,ALPA,Alpa Laboratories Limited,3.153900877400992,-0.28375502482855863
85,ALPHAGEO,Alphageo (India) Limited,1.8058690744920964,5.350772889417361
86,ALPSINDUS,Alps Industries Limited,,
87,AMARAJABAT,Amara Raja Batteries Limited,,
88,AMBER,Amber Enterprises India Limited,0.1860351127350585,-0.7375463039752389
89,AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,-0.03828483920368132,1.5157403808783543
90,AMBIKCO,Ambika Cotton Mills Limited,0.0,5.210439838220412
91,AMBUJACEM,Ambuja Cements Limited,-0.3812949640287737,3.692651995524058
92,AMDIND,AMD Industries Limited,-0.06942515967786331,2.973977695167284
93,AMIORG,Ami Organics Limited,0.504590636618853,1.9691283995512434
94,AMJLAND,Amj Land Holdings Limited,-2.0454545454545423,4.7868540128602
95,AMRUTANJAN,Amrutanjan Health Care Limited,-0.5468302918547807,4.916611074049369
96,ANANDRATHI,Anand Rathi Wealth Limited,-0.8914224500726865,0.3288253131517307
97,ANANTRAJ,Anant Raj Limited,8.554040347120488,3.246451012334184
98,ANDHRAPAP,ANDHRA PAPER LIMITED,5.587833219412155,3.0735358872743364
99,ANDHRSUGAR,The Andhra Sugars Limited,3.747841105354062,-0.8816228708379706
100,ANDREWYU,Andrew Yule & Company Limited,,
101,ANGELONE,Angel One Limited,-8.739238346389511,-0.8993082244427398
102,ANIKINDS,Anik Industries Limited,-0.3707317073170687,1.9900497512437811
103,ANKITMETAL,Ankit Metal & Power Limited,,
104,ANMOL,Anmol India Limited,,
105,ANSALAPI,Ansal Properties & Infrastructure Limited,,
106,ANTGRAPHIC,Antarctica Limited,1.3333333333333344,0.0
107,ANUP,The Anup Engineering Limited,-0.2830914687774896,-0.019235525267231407
108,ANURAS,Anupam Rasayan India Limited,-0.6241872561768471,0.5557371690094802
109,APARINDS,Apar Industries Limited,-0.08725694812929893,0.08556137110622
110,APCL,Anjani Portland Cement Limited,0.75944468630582,2.799602187966184
111,APCOTEXIND,Apcotex Industries Limited,-1.101521689756989,1.11379033184063
112,APEX,Apex Frozen Foods Limited,-0.714764351127985,0.7380405922325666
113,APLAPOLLO,APL Apollo Tubes Limited,-1.257744733581162,3.77419147431364
114,APLLTD,Alembic Pharmaceuticals Limited,5.446670276123439,5.350216746520645
115,APOLLO,Apollo Micro Systems Limited,-0.03806623524932627,-1.7484805984104765
116,APOLLOHOSP,Apollo Hospitals Enterprise Limited,-0.698640175881437,-0.730717622904438
117,APOLLOPIPE,Apollo Pipes Limited,0.5388272583201231,-0.08708732483571444
118,APOLLOTYRE,Apollo Tyres Limited,-1.905110826158633,0.7381435689241558
119,APOLSINHOT,Apollo Sindoori Hotels Limited,0.03003403857705703,0.8209407173137774
120,APTECHT,Aptech Limited,1.8823207693359445,0.9477800782148618
121,APTUS,Aptus Value Housing Finance India Limited,-2.4691358024691357,4.333989998484623
122,ARCHIDPLY,Archidply Industries Limited,,
123,ARCHIES,Archies Limited,-3.918555512869764,-2.5458629726694113
124,ARENTERP,Rajdarshan Industries Limited,-2.423603793466819,-1.8004966887417164
125,ARIES,Aries Agro Limited,-0.3480951460065883,-0.4658145980905372
126,ARIHANTCAP,Arihant Capital Markets Limited,2.3472222222222188,2.30179028132993
127,ARIHANTSUP,Arihant Superstructures Limited,0.2829486224869661,-0.7977544689023456
128,ARMANFIN,Arman Financial Services Limited,0.08207485226526592,2.0753045934365755
129,AROGRANITE,Aro Granite Industries Limited,-0.9152937260775574,5.384075762890214
130,ARROWGREEN,Arrow Greentech Limited,-1.4098158428055334,0.8083140877598274
131,ARSHIYA,Arshiya Limited,,
132,ARSSINFRA,ARSS Infrastructure Projects Limited,,
133,ARTEMISMED,Artemis Medicare Services Limited,0.9611035730438813,-0.304362529590797
134,ARTNIRMAN,Art Nirman Limited,-3.343750000000001,0.4709576138147522
135,ARVEE,Arvee Laboratories (India) Limited,,
136,ARVIND,Arvind Limited,0.19820295983086683,2.256451830833662
137,ARVINDFASN,Arvind Fashions Limited,0.31113271754983424,-0.24248302618816686
138,ARVSMART,Arvind SmartSpaces Limited,-0.8469148103337744,-0.007116424708236295
139,ASAHIINDIA,Asahi India Glass Limited,-0.7709090909090842,2.459016393442623
140,ASAHISONG,Asahi Songwon Colors Limited,-3.622965919557873,7.539071098393133
141,ASAL,Automotive Stampings and Assemblies Limited,0.34634146341462974,-0.0925971051220864
142,ASALCBR,Associated Alcohols & Breweries Ltd.,-0.6016936562175113,1.0584790931611843
143,ASHAPURMIN,Ashapura Minechem Limited,-0.8367200573750896,3.0041861610440748
144,ASHIANA,Ashiana Housing Limited,3.985765124555163,0.34519700035709766
145,ASHIMASYN,Ashima Limited,4.883227176220801,4.993312527864472
146,ASHOKA,Ashoka Buildcon Limited,2.3171106332558042,1.4739935874599226
147,ASHOKLEY,Ashok Leyland Limited,-1.78406901750565,-1.285708379842071
148,ASIANENE,Asian Energy Services Limited,-0.07717240314863405,4.991087344028513
149,ASIANHOTNR,Asian Hotels (North) Limited,,
150,ASIANPAINT,Asian Paints Limited,-0.07514174465469883,0.36852299412077266
151,ASIANTILES,Asian Granito India Limited,5.796902836782245,1.290949472515259
152,ASMS,Bartronics India Limited,1.9656019656019585,1.9539078156312653
153,ASPINWALL,Aspinwall and Company Limited,1.7392863546709578,1.5846994535519208
