,Index Name,ind_close_all_30052024.csv,ind_close_all_29052024.csv,ind_close_all_28052024.csv,ind_close_all_27052024.csv,ind_close_all_24052024.csv,ind_close_all_23052024.csv,ind_close_all_22052024.csv,ind_close_all_21052024.csv,ind_close_all_18052024.csv,ind_close_all_17052024.csv,ind_close_all_16052024.csv,ind_close_all_15052024.csv,ind_close_all_14052024.csv,ind_close_all_13052024.csv,ind_close_all_10052024.csv,ind_close_all_09052024.csv,ind_close_all_08052024.csv,ind_close_all_07052024.csv,ind_close_all_06052024.csv,ind_close_all_03052024.csv,ind_close_all_02052024.csv
32,Nifty100 Equal Weight,-1.18,-.63,-.45,-.08,-.11,1.08,.19,.79,.45,.71,.77,.27,1.16,.38,.83,-1.84,.7,-1.1,-.72,-.36,.9
33,Nifty100 Liquid 15,-1.24,-.62,-.63,-.02,.01,2.23,0,.53,.18,.46,.46,.32,.7,-.66,.93,-1.21,.53,-1.05,-1.15,-.86,-.14
34,Nifty CPSE,-1.71,.37,-1.61,-.95,.48,.22,.87,3.2,.99,1.19,.51,1.49,2.07,-.81,1.76,-3.28,1.86,-2.54,-1.59,.5,1.32
35,Nifty50 Value 20,-1.29,-.64,-.26,-.2,-.47,1.03,.15,.37,.25,-.07,.65,.2,.24,.14,.31,-1.07,.09,-.55,-.11,-.02,.36
36,Nifty Midcap Liquid 15,-1.19,-.35,-.68,2.11,-.27,.2,.38,.53,.46,.53,.91,.31,-.3,2.12,1.8,-1.63,.22,-2.1,.53,-.87,.37
37,Nifty Shariah 25,-1.46,-.54,0,-.25,-.25,1.24,.88,.51,.51,.01,.84,.24,.37,.87,.51,-1.53,-.18,.17,0,-.17,.23
38,India VIX,0,-.08,4.32,6.83,1.54,-.41,-1.57,6.26,3.67,-.99,-1.37,.38,-1.97,11.52,1.5,6.56,.43,2.45,13.56,8.72,4.47
39,Nifty Growth Sectors 15,-1.53,-.5,-.03,-.28,-.69,.97,.88,-.25,.16,-.35,1,-.42,.03,.38,.34,-.94,-.09,.77,.28,-.52,.24
40,Nifty50 TR 1x Inverse,.97,.81,.23,.14,.08,-1.64,-.33,-.06,-.17,-.25,-.93,.11,-.52,-.16,-.57,1.56,.03,.61,.19,.78,-.14
41,Nifty50 TR 2x Leverage,-1.92,-1.62,-.4,-.27,-.1,3.25,.7,.18,.3,.54,1.87,-.17,1.01,.39,1.17,-3.11,-.02,-1.23,-.35,-1.54,.35
42,Nifty50 PR 1x Inverse,.98,.82,.21,.16,.07,-1.62,-.28,-.07,-.14,-.28,-.89,.09,-.5,-.16,-.43,1.56,.02,.65,.21,.77,-.16
43,Nifty50 PR 2x Leverage,-1.92,-1.62,-.4,-.27,-.11,3.25,.59,.18,.3,.54,1.81,-.17,1.01,.39,.87,-3.11,-.02,-1.27,-.35,-1.54,.35
