,Index Name,ind_close_all_10092026.csv,ind_close_all_09092026.csv,ind_close_all_08092026.csv,ind_close_all_07092026.csv,ind_close_all_04092026.csv,ind_close_all_03092026.csv,ind_close_all_02092026.csv,ind_close_all_01092026.csv
72,Nifty MidSmall India Consumption,-.3,-.72,.03,-.61,-.37,.26,-.52,-.64
73,Nifty REITs & InvITs,-.33,-.17,.07,.14,-.12,.53,-.18,-.09
74,Nifty Consumer Durables,.06,-.58,-.24,-.42,-.43,-.22,-.31,-1.4
75,Nifty Non-Cyclical Consumer,-.06,-.55,.04,-.53,-.34,-.52,-.43,-.14
76,Nifty India Manufacturing,-.58,-.23,.38,-.21,-.31,.02,-.81,-1.09
77,NIFTY100 Alpha 30,-.5,.92,.5,-.59,.05,-.03,-.18,-.94
78,NIFTY500 Value 50,.08,.15,-.09,-.62,-.07,.39,.34,-.7
79,Nifty100 Low Volatility 30,.01,-.97,-.37,-.74,-.14,-.46,-.59,-.34
80,NIFTY Alpha Low-Volatility 30,-.16,-.12,-.05,-.4,-.31,-.36,-.44,-.89
81,NIFTY Quality Low-Volatility 30,-.23,-1.07,.09,-.4,-.68,-.42,-.76,-.49
82,NIFTY Alpha Quality Low-Volatility 30,-.28,-.52,.41,-.14,-.85,-.51,-.78,-1.03
83,NIFTY Alpha Quality Value Low-Volatility 30,-.26,-.36,.3,-.25,-.26,-.6,-.56,-.44
84,NIFTY200 Quality 30,-.36,-1.06,.49,-.97,-.57,-.31,-.7,-.17
85,NIFTY Midcap150 Quality 50,-.16,-1.27,-.38,-.37,-.49,.3,-1.13,-.67
86,Nifty200 Momentum 30,-.75,.55,.89,-.07,-.05,.08,-.15,-1.9
87,Nifty100 ESG Sector Leaders,.06,-.65,-.59,-.59,.18,-.11,-.46,-.14
88,Nifty200 Alpha 30,-.88,.45,.83,-.14,.01,.03,-.07,-2.01
89,Nifty Midcap150 Momentum 50,-.72,-.02,.81,-.13,-.36,.26,-.42,-2.08
90,Nifty Smallcap250 Quality 50,-.18,-.6,.07,-.35,.15,.62,-.89,-.16
91,NIFTY100 ESG,.03,-.7,-.26,-.68,-.03,-.24,-.54,-.54
92,NIFTY100 Enhanced ESG,.03,-.7,-.26,-.68,-.03,-.24,-.54,-.53
93,NIFTY50 Equal Weight,.1,-.45,-.26,-.65,.06,-.3,-.52,-.45
94,Nifty 50 Futures Index,-.29,-.83,-.49,-.75,.2,0,-.37,-.66
95,Nifty 50 Arbitrage,.32,-.02,-.07,.18,-.05,-.11,-.12,.37
96,Nifty Aditya Birla Group,,,,,,,,
97,Nifty 8-13 yr G-Sec,-.09,0,.03,.05,.03,.12,-.12,0
98,Nifty 4-8 yr G-Sec Index,-.08,-.05,.06,.04,.06,.22,0,-.03
99,Nifty 11-15 yr G-Sec Index,-.11,-.05,.09,-.01,.04,.11,-.17,-.03
100,Nifty 15 yr and above G-Sec Index,-.07,0,.01,.04,.05,.06,-.33,.05
101,Nifty Composite G-sec Index,-.07,-.04,.07,.03,.06,.09,-.17,.01
102,Nifty 10 yr Benchmark G-Sec,-.09,-.03,.1,.06,.04,.08,-.12,-.03
103,Nifty 10 yr Benchmark G-Sec (Clean Price),-.11,-.05,.08,.04,.02,.06,-.14,-.05
104,Nifty 1D Rate Index,.01,.01,.01,.04,.01,.01,.01,.01
105,Nifty50 USD,-.17,-1.14,-.96,-.49,.1,.34,-.62,.14
