,Index Name,ind_close_all_25092024.csv,ind_close_all_24092024.csv,ind_close_all_23092024.csv,ind_close_all_20092024.csv,ind_close_all_19092024.csv,ind_close_all_18092024.csv,ind_close_all_17092024.csv,ind_close_all_16092024.csv,ind_close_all_13092024.csv,ind_close_all_12092024.csv,ind_close_all_11092024.csv,ind_close_all_10092024.csv,ind_close_all_09092024.csv,ind_close_all_06092024.csv,ind_close_all_05092024.csv,ind_close_all_04092024.csv,ind_close_all_03092024.csv,ind_close_all_02092024.csv
38,India VIX,-4.85,-2.85,7.78,2.57,-6.75,6.22,1.04,-.72,-4.8,-3.27,2,-6.16,-6.44,7.11,-1.18,3.86,-1.55,4.98
39,Nifty Growth Sectors 15,-.04,-.24,.18,.91,.14,-1.64,.05,-.3,-.27,1.54,-.17,.74,.47,-.98,.32,-.29,-.24,.57
40,Nifty50 TR 1x Inverse,-.25,.03,-.53,-1.46,-.12,.19,-.12,-.06,.16,-1.86,.49,-.4,-.27,1.17,.22,.34,.03,-.12
41,Nifty50 TR 2x Leverage,.47,-.01,1.09,2.93,.28,-.34,.26,.16,-.27,3.76,-1,.82,.63,-2.35,-.44,-.66,-.01,.29
42,Nifty50 PR 1x Inverse,-.24,.03,-.52,-1.47,-.13,.18,-.1,-.05,.13,-1.87,.51,-.4,-.28,1.17,.23,.33,.03,-.13
43,Nifty50 PR 2x Leverage,.47,-.01,1.09,2.93,.28,-.34,.26,.16,-.27,3.76,-1,.82,.63,-2.35,-.44,-.66,-.01,.29
44,NIFTY100 Quality 30,-.32,.01,.57,1.38,-.22,-.94,-.07,-.15,-.12,1.42,.07,.8,.42,-.66,-.19,-.03,.04,.33
45,Nifty Mahindra Group,,,,,,,,,,,,,,,,,,
46,Nifty 50 Futures TR Index,.21,.14,.65,1.11,.39,-.19,.05,.33,.08,1.7,-.56,.41,.38,-1.29,-.02,-.4,.08,-.09
47,Nifty Tata Group,,,,,,,,,,,,,,,,,,
48,Nifty Tata Group 25% Cap,,,,,,,,,,,,,,,,,,
49,Nifty Private Bank,.31,-.28,.22,1.54,.56,.96,.17,.5,.48,1.4,-.5,.42,1.12,-1.54,.09,-.65,.46,.25
50,Nifty Smallcap 250,-.35,-.21,.86,1.06,-1.11,-.34,-.19,.16,.88,.78,-.78,1.25,-.83,-1.01,.95,.31,.59,-.07
51,Nifty Smallcap 50,-.44,-.8,1.18,.73,-1.15,-.38,-.32,.35,.86,1.09,-.5,1.02,-.83,-1.03,1.39,-.01,.53,-.24
52,Nifty MidSmallcap 400,-.52,.12,.79,1.23,-.73,-.57,-.15,.27,.73,1.01,-.44,1.14,-.46,-1.24,.58,.06,.36,-.21
53,Nifty Midcap 150,-.61,.31,.75,1.32,-.52,-.7,-.13,.34,.65,1.14,-.25,1.07,-.25,-1.37,.37,-.08,.23,-.29
54,Nifty Midcap Select,-.19,.63,.67,.19,-.34,-1.13,.06,-.53,.54,1.21,-.51,1.36,-.45,-1.59,.45,.05,.45,-.07
55,NIFTY LargeMidcap 250,-.26,.16,.76,1.41,-.25,-.45,-.03,.23,.24,1.48,-.37,.74,.03,-1.28,.12,-.17,.13,-.03
56,NIFTY SME EMERGE,.42,.93,1.35,.55,-1.5,-.67,-.93,-.96,.36,1.02,-.44,.12,-.59,-.08,.96,.9,-.11,.72
