,Index Name,ind_close_all_15052026.csv,ind_close_all_14052026.csv,ind_close_all_13052026.csv,ind_close_all_12052026.csv,ind_close_all_11052026.csv,ind_close_all_08052026.csv,ind_close_all_07052026.csv,ind_close_all_06052026.csv,ind_close_all_05052026.csv,ind_close_all_04052026.csv
61,Nifty Microcap 250,-.37,.25,.69,-3.07,-1.42,-.09,1.49,1.67,-.07,1.45
62,Nifty Total Market,-.36,1.02,.36,-2.21,-1.39,-.41,.39,1.44,-.1,.68
63,Nifty India Digital,.27,.37,-.1,-3.12,-.96,.41,.11,1.49,-.24,.08
64,Nifty Mobility,-.1,.68,-.16,-2.64,-2.27,-.06,1.06,2.57,-.21,1.06
65,Nifty India Defence,-1.84,.83,2.1,-4.03,-1.17,-.31,3.04,.54,1.28,.06
66,Nifty Financial Services Ex-Bank,-.49,1.68,.17,-3.05,-1.35,-.6,.79,2.31,.65,1.18
67,Nifty Housing,-.97,1.23,1,-2.24,-1.29,-.91,.44,1.25,-.46,1.18
68,Nifty Transportation & Logistics,-.07,.88,-.41,-2.68,-2.21,-.1,1.28,2.67,-.03,.92
69,Nifty MidSmall Financial Services,-.68,1.83,.22,-2.63,-.9,-.06,1.63,2.35,.54,.41
70,Nifty MidSmall Healthcare,.11,1.57,.01,-1.62,.78,.16,.75,2.46,.48,1.96
71,Nifty MidSmall IT & Telecom,.56,-.51,.71,-3.03,1.07,1.49,-.17,3.06,.53,-.12
72,Nifty MidSmall India Consumption,-.22,1.1,.5,-3.01,-1.2,.09,.21,1.35,-.17,1.23
73,Nifty REITs & InvITs,-.97,.09,.34,-.23,.02,.39,-.04,-.1,-.25,.07
74,Nifty Consumer Durables,-.08,1.06,1.67,-3.59,-3.73,.69,-.85,.87,-.96,.37
75,Nifty Non-Cyclical Consumer,.16,1.32,.82,-2.07,-1.89,.46,-.49,1.13,-.1,.11
76,Nifty India Manufacturing,-.7,1.19,.72,-1.84,-1.43,-.4,.85,1.73,.1,.92
77,NIFTY100 Alpha 30,-1.03,1.27,1.05,-1.83,-1.96,-.87,.18,1.95,.14,.98
78,NIFTY500 Value 50,-.82,.74,1.33,-.84,-1.41,-1.08,.03,1.23,-.07,.45
79,Nifty100 Low Volatility 30,.07,1.25,.12,-1.88,-1.22,-.1,.13,1.21,-.06,.35
