,Index Name,ind_close_all_12102023.csv,ind_close_all_11102023.csv,ind_close_all_10102023.csv,ind_close_all_09102023.csv,ind_close_all_06102023.csv,ind_close_all_05102023.csv,ind_close_all_04102023.csv,ind_close_all_03102023.csv
72,Nifty MidSmall India Consumption,.6,.72,.78,-.72,.88,-.14,-1.48,.42
73,Nifty REITs & InvITs,.31,.06,-.23,-.03,.16,.07,.17,.04
74,Nifty Consumer Durables,.21,.4,.44,-1.47,.77,.56,-.6,.63
75,Nifty Non-Cyclical Consumer,.06,.79,.62,-.57,.38,.57,-.15,.06
76,Nifty India Manufacturing,.42,.72,1.02,-.93,.46,.21,-1.2,-.75
77,NIFTY100 Alpha 30,.2,.51,1.16,-.74,.62,.43,-2.17,.26
78,NIFTY500 Value 50,.83,.38,1.93,-1.57,.62,-.37,-1.85,-.15
79,Nifty100 Low Volatility 30,.05,.91,.56,-.51,.34,.21,-.4,-.65
80,NIFTY Alpha Low-Volatility 30,.13,.74,.93,-.62,.58,.27,-1.02,-.66
81,NIFTY Quality Low-Volatility 30,-.11,.56,.82,-.46,.34,.06,-.24,-.48
82,NIFTY Alpha Quality Low-Volatility 30,.05,.42,.99,-.57,.47,-.02,-.4,-.51
83,NIFTY Alpha Quality Value Low-Volatility 30,-.24,.48,1.32,-.72,.54,-.03,-.54,-.23
84,NIFTY200 Quality 30,-.24,.31,.92,-.3,.35,.3,-.14,-.31
85,NIFTY Midcap150 Quality 50,.46,.28,.79,-.92,.36,.13,-.69,.17
86,Nifty200 Momentum 30,.19,.41,1.35,-.94,.93,.1,-1.97,.14
87,Nifty100 ESG Sector Leaders,-.38,.49,.94,-.63,.62,.74,-.73,-.2
88,Nifty200 Alpha 30,.06,.25,1.7,-1.39,.97,-.05,-2.12,.27
89,Nifty Midcap150 Momentum 50,.26,.73,1.13,-1.05,.56,-.37,-1.91,.52
90,Nifty Smallcap250 Quality 50,.95,.42,1.34,-1.32,.49,.89,-1.15,.52
91,NIFTY100 ESG,-.29,.56,.98,-.77,.75,.5,-.6,-.22
92,NIFTY100 Enhanced ESG,-.31,.55,.96,-.77,.76,.51,-.59,-.21
93,NIFTY50 Equal Weight,-.05,.65,1.02,-.73,.7,.37,-.77,-.65
94,Nifty 50 Futures Index,-.03,.57,1.02,-.71,.56,.51,-.52,-.7
95,Nifty 50 Arbitrage,-.03,.04,-.06,.01,0,.04,.04,.11
96,Nifty Aditya Birla Group,.49,2.41,1.29,-1.06,.34,-.02,-2.06,-.1
97,Nifty 8-13 yr G-Sec,.03,.31,.23,-.29,-.81,.18,-.03,-.15
98,Nifty 4-8 yr G-Sec Index,.06,.23,.14,-.19,-.57,.11,-.03,-.08
99,Nifty 11-15 yr G-Sec Index,0,.38,.2,-.31,-.99,.28,-.04,-.16
100,Nifty 15 yr and above G-Sec Index,.02,.38,.18,-.13,-1.38,.22,-.1,-.21
101,Nifty Composite G-sec Index,.05,.29,.21,-.26,-.76,.17,-.03,-.13
102,Nifty 10 yr Benchmark G-Sec,.05,.33,.26,-.31,-.83,.19,-.01,-.15
103,Nifty 10 yr Benchmark G-Sec (Clean Price),.03,.31,.24,-.33,-.86,.17,-.03,-.18
104,Nifty 1D Rate Index,.02,.02,.02,.06,.02,.02,.02,.07
105,Nifty50 USD,,.7,.93,-.74,.57,.54,-.52,-.76
