,Index Name,ind_close_all_25022026.csv,ind_close_all_24022026.csv,ind_close_all_23022026.csv,ind_close_all_20022026.csv,ind_close_all_19022026.csv,ind_close_all_18022026.csv,ind_close_all_17022026.csv,ind_close_all_16022026.csv,ind_close_all_13022026.csv,ind_close_all_12022026.csv,ind_close_all_11022026.csv,ind_close_all_10022026.csv,ind_close_all_09022026.csv,ind_close_all_06022026.csv,ind_close_all_05022026.csv,ind_close_all_04022026.csv,ind_close_all_03022026.csv,ind_close_all_02022026.csv,ind_close_all_01022026.csv
35,Nifty50 Value 20,.61,-1.25,.18,.53,-1.13,.13,.48,.63,-1.18,-1.24,-.07,.46,.71,.32,-.52,-1.18,2.19,.52,-1.86
36,Nifty Midcap Liquid 15,.62,-.65,-1.54,-.09,-2.21,.55,.1,-.15,-1.65,-.84,-.18,.77,1.51,-.82,.13,.25,2.92,1.45,-2.43
37,Nifty Shariah 25,1,-1.48,.12,.37,-1.33,-.01,.38,.67,-1.61,-1.75,-.49,.09,.79,-.31,-.23,-.92,1.68,.66,-1.4
38,India VIX,-4.68,-.12,-1.36,6.71,10.12,-3.55,-4.93,.28,13.37,1.54,-1.01,-4.31,2.09,-1.87,-.69,-4.98,-7,-8.15,10.73
39,Nifty Growth Sectors 15,1.51,-1.26,.08,.08,-1.41,0,.62,-.12,-1.56,-2.39,-.17,.7,.49,-.14,-.32,-1.86,2.04,.28,-.1
40,Nifty50 TR 1x Inverse,-.21,1.14,-.51,-.44,1.41,-.36,-.15,-.8,1.32,.57,-.06,-.24,-.66,-.21,.51,-.15,-2.54,-1.04,1.98
41,Nifty50 TR 2x Leverage,.44,-2.26,1.07,.91,-2.84,.74,.32,1.62,-2.62,-1.14,.13,.51,1.34,.42,-1.03,.36,5.08,2.11,-3.94
42,Nifty50 PR 1x Inverse,-.22,1.15,-.51,-.46,1.43,-.34,-.15,-.8,1.33,.57,-.05,-.27,-.64,-.17,.52,-.17,-2.54,-1.04,1.98
43,Nifty50 PR 2x Leverage,.44,-2.26,1.07,.9,-2.84,.72,.32,1.62,-2.62,-1.14,.13,.51,1.32,.38,-1.05,.36,5.08,2.11,-3.94
44,NIFTY100 Quality 30,1.07,-1.12,.1,.43,-1.46,.12,.7,.46,-1.46,-1.16,.23,.17,.7,-.1,-.66,-1.26,1.38,.76,-2.15
45,Nifty Mahindra Group,,,,,,,,,,,,,,,,,,,
46,Nifty 50 Futures TR Index,.13,-1.01,.51,.57,-1.46,.36,.1,.83,-1.3,-.51,.05,.29,.75,.06,-.46,.14,2.7,1.18,-2.18
47,Nifty Tata Group,,,,,,,,,,,,,,,,,,,
