,Index Name,ind_close_all_15122023.csv,ind_close_all_14122023.csv,ind_close_all_13122023.csv,ind_close_all_12122023.csv,ind_close_all_11122023.csv,ind_close_all_08122023.csv,ind_close_all_07122023.csv,ind_close_all_06122023.csv,ind_close_all_05122023.csv,ind_close_all_04122023.csv,ind_close_all_01122023.csv
58,Nifty Financial Services 25/50,-.13,1.33,.43,.14,.07,.81,-.04,-.08,.63,2.78,1.03
59,Nifty Healthcare Index,-.02,-.07,1.2,-.49,-.65,-.49,.71,-.69,-.18,.33,.32
60,Nifty500 Multicap 50:25:25,.77,1.1,.47,-.38,.44,-.19,.22,.4,.59,1.63,.71
61,Nifty Microcap 250,.23,.3,1.42,-.36,1.08,-.22,-.06,.02,-.07,1.19,-.01
62,Nifty Total Market,.88,1.15,.38,-.44,.38,-.01,.12,.48,.73,1.82,.68
63,Nifty India Digital,1.93,3.27,-.01,-.4,.5,-.04,-.54,1.12,-.53,.3,-.1
64,Nifty Mobility,-.2,.95,1.17,-.46,.55,-.53,.98,.35,1.52,1.88,-.14
65,Nifty India Defence,.85,.79,.68,-.93,2.08,-.02,.09,4.07,-.3,1.55,.93
66,Nifty Financial Services Ex-Bank,-.72,1.43,.94,.35,-.05,-.29,-.25,.55,-.44,1.69,.9
67,Nifty Housing,1.02,1.27,.37,-.56,.72,-.06,.69,.88,1.84,2.62,1.36
68,Nifty Transportation & Logistics,-.13,.81,1.13,-.58,.37,-.62,.8,.15,1.36,1.51,-.21
69,Nifty MidSmall Financial Services,.07,.99,2.04,.06,.38,-.11,-.53,.2,.52,1.71,1.45
70,Nifty MidSmall Healthcare,-.29,-.08,1.15,.02,.01,-.88,.84,-.83,-.2,.49,.64
71,Nifty MidSmall IT & Telecom,2.77,3.71,.22,.68,.83,.19,.33,.55,-.84,.72,.48
72,Nifty MidSmall India Consumption,-.49,.78,.78,-.61,.71,-.44,1.08,-.23,-.22,.82,1.42
73,Nifty REITs & InvITs,-.65,0,.39,-.43,.44,1.63,3.03,-2.21,-.22,-.3,-.15
74,Nifty Consumer Durables,.17,-.11,.14,-1.04,.58,.24,1.03,-.13,.93,.27,.85
75,Nifty Non-Cyclical Consumer,-.12,.56,.62,-.41,.51,-.47,-.2,.69,.24,.58,.94
76,Nifty India Manufacturing,.54,.44,.8,-.62,.46,-.41,.33,.26,.39,1.1,.45
77,NIFTY100 Alpha 30,.19,1.19,1.37,-.53,.81,-.22,.18,.9,.35,1.79,1.32
78,NIFTY500 Value 50,1.17,.84,2.4,-.33,.61,-.09,.31,.6,1.02,2.64,1.98
79,Nifty100 Low Volatility 30,.79,.66,.66,-.01,.14,-.21,.22,.24,.48,1.29,.67
80,NIFTY Alpha Low-Volatility 30,.18,.34,1.43,-.26,.4,-.28,.08,.16,.73,1.43,1.43
81,NIFTY Quality Low-Volatility 30,.86,.75,.25,.05,.12,-.35,.21,.4,.08,.62,.35
82,NIFTY Alpha Quality Low-Volatility 30,.24,.38,1.23,-.26,.61,-.38,.22,.57,.08,.94,1.44
83,NIFTY Alpha Quality Value Low-Volatility 30,.41,.57,1.52,-.11,.52,.06,.02,.93,.3,1.23,1.47
84,NIFTY200 Quality 30,1.24,1.04,.09,0,.32,-.23,-.01,.56,-.15,.52,.7
