,SYMBOL,NAME OF COMPANY,cm26JUL2023bhav.csv,cm25JUL2023bhav.csv,cm24JUL2023bhav.csv,cm21JUL2023bhav.csv,cm20JUL2023bhav.csv,cm19JUL2023bhav.csv,cm18JUL2023bhav.csv,cm17JUL2023bhav.csv,cm14JUL2023bhav.csv,cm13JUL2023bhav.csv,cm12JUL2023bhav.csv,cm11JUL2023bhav.csv,cm10JUL2023bhav.csv,cm07JUL2023bhav.csv,cm06JUL2023bhav.csv,cm05JUL2023bhav.csv,cm04JUL2023bhav.csv,cm03JUL2023bhav.csv
0,20MICRONS,20 Microns Limited,,,,,,,,,,,,,,,,,,
1,21STCENMGM,21st Century Management Services Limited,1.8518518518518452,1.8867924528301987,1.9230769230769162,1.960784313725501,1.9999999999999927,1.781170483460567,1.8134715025906623,-1.025641025641022,-2.0100502512562746,-1.970443349753705,-1.9323671497584474,-0.24096385542169016,-1.8912529550827357,-1.8561484918793603,-1.8223234624145723,-2.0089285714285685,-1.9693654266958547,-1.9313304721030013
2,360ONE,360 ONE WAM LIMITED,-1.2702078521939997,-0.3452243958572986,1.0660980810234542,-0.6834151506401132,0.6686046511627995,0.1941747572815534,-1.6706443914081146,2.575401488444962,1.743548869184019,-0.11941486715095352,2.9821684771469585,0.5772005772005678,0.6535947712418372,0.458572173006772,1.0212676352916452,-1.503681426941823,1.3558965734706725,4.549450549450547
3,3IINFOLTD,3i Infotech Limited,1.1816838995568644,-1.311953352769667,0.5865102639296063,-1.8705035971222983,0.5788712011577507,0.5822416302765523,-1.5759312320916825,2.3460410557184668,4.761904761904775,-3.840472673559835,2.4205748865355656,0.15151515151514292,-1.1976047904191574,-1.4749262536873156,0.4444444444444402,-0.2954209748892213,-0.2945508100147317,0.592592592592601
4,3MINDIA,3M India Limited,-1.0000655142068493,-0.15098556090074058,0.9464336068704257,-0.5099558582777219,0.8841916703985644,-0.06086754148839041,-1.3557208878497196,-0.9934452197661056,-0.8511612023042024,1.3637370013600443,1.72491455863637,0.5463616626648071,3.046724090992442,-1.3288769418287487,0.12863065984052527,0.919030410913873,-0.5461660939941957,0.790183876472921
5,3PLAND,3P Land Holdings Limited,,,,,,,,,,,,,,,,,,
6,4THDIM,Fourth Dimension Solutions Limited,,,,,,,,,,,,,,,,,,
7,5PAISA,5Paisa Capital Limited,2.303537969800517,15.241966213641561,-1.7961831108893715,0.22502812851607304,1.394346558499176,1.2968669748330794,-0.675934192067347,-1.4454499748617395,-4.409467739997589,-0.39492580181906034,2.1391027991688056,3.6488027366020614,-0.9288314296473064,-1.0310559006211124,-2.199003766249547,11.54627998373764,0.6410256410256318,-1.1193526635198858
8,63MOONS,63 moons technologies limited,-3.7467955038453953,-0.7243539545810471,0.9286702232760301,-0.6673209028459229,1.4940239043824701,-1.6072128577028593,-2.8375547514759156,-2.106636838180454,-1.2336586264039855,9.717171717171722,0.8968609865470805,6.23646600259853,-4.40902504657421,-2.1470528661130173,-0.020251113811264224,0.9609486812512755,8.7855871886121,-7.736507285040013
9,A2ZINFRA,A2Z Infra Engineering Limited,,,,,,,,,,,,,,,,,,
10,AAATECH,AAA Technologies Limited,2.3923444976076556,-2.4276377217553637,-1.0166358595194163,-4.501323918799642,8.837656099903942,-1.2333965844402384,1.7374517374517486,-3.9851714550509834,1.5051740357478913,-1.1162790697674445,0.7497656982193038,-1.3863216266173752,0.0,-0.1845018450184528,-1.9004524886877778,-0.8078994614003642,1.4571948998178585,-0.1818181818181844
11,AAKASH,Aakash Exploration Services Limited,,,,,,,,,,,,,,,,,,
12,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,1.5673981191222572,-1.2383900928792526,-3.0030030030030033,-1.3333333333333417,1.656626506024088,-0.7473841554559043,2.6073619631901885,-0.4580152671755682,-0.15243902439023527,-1.796407185628747,2.1406727828746046,-0.4566210045662057,-0.9049773755656023,0.0,-1.0447761194029892,-0.5934718100890292,-0.5899705014749137,-1.4534883720930232
13,AARON,Aaron Industries Limited,,,,,,,,,,,,,-1.2452511608273604,-3.4046890927624847,5.167238421955409,6.144742831133364,-0.5882352941176522,0.9362868234756846
14,AARTIDRUGS,Aarti Drugs Limited,-4.445357436318809,0.495458298926507,18.59759083341494,-0.1271517996870065,-1.322266190522144,0.2418730650154799,2.2961203483768737,1.4457831325301183,2.0910209102091,-0.9844717344971006,5.32335649385355,0.5265420159037155,-1.1472275334607982,0.02124946876327367,0.7169609416800476,1.8750681347432734,-0.4773787566453391,-0.9137819823693829
15,AARTIIND,Aarti Industries Limited,0.672305356755577,-0.7960413080894985,-1.1904761904761834,0.9117236940898853,-0.12854847348688223,0.3763440860215054,0.18313045351718685,2.39355834987866,1.1153245594467989,-1.5806805708013147,1.4024933214603765,-1.0790574763268077,-3.8127515356915906,-2.8600823045267445,-0.07196463452246792,-0.8864886896270565,-2.687159147248391,0.1290706910246182
16,AARTIPHARM,Aarti Pharmalabs Limited,-0.9491822429906543,1.6929016929016896,-0.1926782273603184,-0.721012360211886,1.025717258807786,0.07438262421898245,2.407068860450955,-3.7254326782047493,1.6095380029806192,-1.8144571261340325,1.454869358669827,-5.499438832772157,-1.0824313072439729,-1.7318969044047368,-0.8249932377603494,-0.6182795698924761,1.3623978201634876,-1.064833535516913
17,AARTISURF,Aarti Surfactants Limited,-2.1559268098647504,2.170202389661062,1.7029015458378034,-0.3377821716921988,-0.4347469444672262,-0.03280032800328749,-0.30248528449967665,0.5672942530625743,-0.05751848808545978,-1.529249939315486,1.3365037717284505,-1.5816655907036907,0.47024485162963797,-0.8361472905611724,1.4684287812041117,-0.09779951100244869,0.2041649652919559,-1.0265114775299098
18,AARVEEDEN,Aarvee Denims & Exports Limited,0.4618937644341867,-1.8140589569161096,-3.5010940919037226,5.299539170506922,-4.405286343612335,-6.7761806981519594,19.95073891625616,0.4950495049505021,0.7481296758104666,-0.9876543209876508,0.49627791563276147,-1.7073170731707388,0.7371007371007301,0.7425742574257531,0.7481296758104666,0.0,-1.231527093596059,1.2468827930174562
19,AARVI,Aarvi Encon Limited,-0.4245465071401091,-0.03858024691356709,-0.6134969325153461,-0.6476190476190433,-0.11415525114155683,-0.26565464895635243,-4.32098765432098,-2.3750443105281973,0.3200568990042796,-0.9510390982740362,-0.10555946516538049,5.415430267062302,0.26031982149499644,-2.4664490388103055,0.5470459518599562,-1.0822510822510825,0.32573289902279307,-1.2861736334405023
20,AAVAS,Aavas Financiers Limited,-0.1883588080901624,0.9822263797942001,1.835386764892677,0.43693190878647165,1.6468376179207114,-0.6601829189746232,1.4075307795303849,-1.7707631604273015,2.186455123582255,-1.526840763097588,-0.24793920659453303,0.4723390488515014,-1.1765458149498107,1.7071505219003025,-0.17204440693370537,0.5581850824220633,-0.27669270833333337,-0.061810729041286025
21,ABAN,Aban Offshore Limited,-0.5037783375314933,0.2525252525252561,-0.6273525721455459,0.5044136191677248,-0.37688442211054923,0.25188916876572875,-0.3764115432873239,0.1256281407035283,0.12578616352200545,-0.9962640099626366,-1.4723926380368133,-0.12254901960783618,-1.5681544028950678,-0.9557945041815976,0.9650180940892606,2.4721878862793574,0.872817955112223,0.25000000000000355
22,ABB,ABB India Limited,1.5093120398790618,0.25566571418655915,2.277675233091959,0.5185537583254087,-6.442639367975965,0.059008873598531145,1.6270833569060648,0.8018157762671572,-0.5332062714133369,-2.6753083284567487,0.6489970550647289,2.9659126016957966,-0.6841297801011504,-0.009090599184110457,0.21751013528900995,0.6856697319237863,-1.1459336922641017,-0.2656567940312005
23,ABBOTINDIA,Abbott India Limited,-0.1781488184317715,-0.797755839672001,-0.05434817771853487,-2.033585321845249,0.8370741393305413,0.5268647478223994,0.8366465891641988,-0.6093870068988049,-0.42171546069153565,-0.7296993358653938,-0.5431938277649314,0.9490657401115019,-0.12319463475663518,-1.3697365245585074,2.2301124174032436,0.4170759871085572,-0.17419579607478805,-0.7235531605545066
24,ABCAPITAL,Aditya Birla Capital Limited,1.510333863275052,-0.07942811755361699,1.641550053821304,-0.1343724805159903,0.4318488529014906,1.1742217367558743,-2.450719232818324,-0.740349021681653,0.8802347292611393,-0.5306447333510215,2.5299238302502594,-0.6486486486486426,-2.2457067371202113,0.10579211848716669,0.10590415673816102,-2.529032258064519,-0.6664957703153096,-0.6367804381049413
25,ABFRL,Aditya Birla Fashion and Retail Limited,-0.8034894398530761,1.609517144856551,0.5865790708587517,-0.420560747663554,0.09354536950420422,1.0396975425330892,-1.7413512885999536,0.20939972080036695,-0.7848568790396993,1.3333333333333306,-1.9045433685176711,1.325273192280862,0.7024116132053383,-0.04680552305171744,1.448243114909787,-0.2132196162046989,-0.40113260972156406,-0.49307349142990514
26,ABMINTLLTD,ABM International Limited,,,,,,,,,,,,,,,,,,
