,Index Name,ind_close_all_15032024.csv,ind_close_all_14032024.csv,ind_close_all_13032024.csv,ind_close_all_12032024.csv,ind_close_all_11032024.csv,ind_close_all_07032024.csv,ind_close_all_06032024.csv,ind_close_all_05032024.csv,ind_close_all_04032024.csv,ind_close_all_02032024.csv,ind_close_all_01032024.csv
55,NIFTY LargeMidcap 250,-.44,1.56,-3.05,-.75,-.54,.23,-.13,-.22,.11,.45,1.14
56,NIFTY SME EMERGE,.48,3.6,-5.35,-4.98,-3.54,1.76,-2.47,-2.42,-.58,.11,-.04
57,Nifty Oil & Gas,-1.98,2.33,-4.87,-.47,-1.06,-1.2,-1.03,.52,1.87,.31,2.25
58,Nifty Financial Services 25/50,-.57,.22,-1.54,-.28,-.18,.4,.52,-.63,.43,.1,1.78
59,Nifty Healthcare Index,-.95,1.04,-1.84,-1.06,.44,.15,.84,.07,-.1,.77,-1.38
60,Nifty500 Multicap 50:25:25,-.32,1.79,-3.29,-.95,-.92,.37,-.47,-.32,-.07,.46,1.1
61,Nifty Microcap 250,.92,4.04,-6.17,-2.55,-2.43,.38,-2.53,-.66,-.9,.86,.57
62,Nifty Total Market,-.41,1.46,-2.73,-.65,-.78,.27,-.1,-.26,.02,.37,1.27
63,Nifty India Digital,.34,2.47,-2.64,.07,-.5,.47,.08,-1.14,-.19,.16,-.18
64,Nifty Mobility,-.62,1.53,-3.71,-.45,-.51,-.24,-.28,.57,.02,.46,1.71
65,Nifty India Defence,1.39,5.62,-7.04,-3,-.45,2.26,-2.03,.55,1.8,.64,1.65
66,Nifty Financial Services Ex-Bank,-.34,.88,-3.09,-.71,.28,1.09,-.23,-1.84,.27,.21,.59
67,Nifty Housing,-.53,1.3,-3.2,-1.1,-.77,.68,-.36,-.17,.16,.55,2.52
68,Nifty Transportation & Logistics,-.8,1.32,-3.45,-.48,-.57,-.15,-.27,.78,-.31,.43,1.71
69,Nifty MidSmall Financial Services,-.68,2.06,-4.74,-.99,-.22,.59,-1.22,-1.58,.41,.27,1.42
70,Nifty MidSmall Healthcare,-.7,1.5,-3.21,-1.06,.06,.15,-.01,-.69,-1.08,1.34,-1.3
71,Nifty MidSmall IT & Telecom,.32,2.68,-3.04,-.5,-1.56,.35,-.17,-1.55,-.58,.45,.21
72,Nifty MidSmall India Consumption,.05,1.54,-3.81,-1.31,-.37,.5,-.28,-.61,-.62,1.09,-.26
73,Nifty REITs & InvITs,1.34,.03,.06,-.88,.2,.43,-1.31,1.12,-.28,-.26,.69
74,Nifty Consumer Durables,-.24,1.19,-2.82,-1.11,-.74,.39,0,-.63,-.34,1.16,1.71
75,Nifty Non-Cyclical Consumer,.29,1.62,-1.88,-.35,-.38,.8,.35,-.47,-.21,.41,.62
76,Nifty India Manufacturing,-.92,1.42,-3.14,-.94,-.34,.38,.23,.49,.03,.59,1.53
77,NIFTY100 Alpha 30,-1.09,1.47,-3.48,-1.11,-.5,.73,.12,.17,.62,.53,1.68
78,NIFTY500 Value 50,-1.08,2.19,-5.68,-1.45,-1.45,.06,-.61,.84,1.13,.7,2.57
79,Nifty100 Low Volatility 30,-.78,1.39,-1.53,-.59,-.17,.18,.63,-.34,.18,.22,.67
80,NIFTY Alpha Low-Volatility 30,-.67,1.4,-2.15,-.79,-.25,.04,.54,.27,.48,.15,1.17
81,NIFTY Quality Low-Volatility 30,-.29,1.63,-1.3,-.63,-.15,.51,.58,-.4,-.02,.29,.43
82,NIFTY Alpha Quality Low-Volatility 30,-.71,1.89,-2.19,-.83,.06,.67,.7,-.11,.36,.19,.66
83,NIFTY Alpha Quality Value Low-Volatility 30,-1.03,1.9,-2.76,-.83,-.11,.71,.44,-.31,.77,.32,.72
84,NIFTY200 Quality 30,-.58,1.89,-1.96,-.8,-.14,.84,.38,-.52,.07,.32,.34
85,NIFTY Midcap150 Quality 50,.04,1.84,-2.71,-.79,-.57,.31,-.82,-.43,-.04,.32,.6
86,Nifty200 Momentum 30,-1.73,1.57,-4.23,-1.51,-.18,.79,-.09,.43,1.46,.62,1.66
87,Nifty100 ESG Sector Leaders,-.53,1.06,-1.94,-.04,-.56,.1,.44,-.34,.14,.16,1.52
