,Index Name,ind_close_all_22072026.csv,ind_close_all_21072026.csv,ind_close_all_20072026.csv,ind_close_all_17072026.csv,ind_close_all_16072026.csv,ind_close_all_15072026.csv,ind_close_all_14072026.csv,ind_close_all_13072026.csv,ind_close_all_10072026.csv,ind_close_all_09072026.csv,ind_close_all_08072026.csv,ind_close_all_07072026.csv,ind_close_all_06072026.csv,ind_close_all_03072026.csv,ind_close_all_02072026.csv,ind_close_all_01072026.csv
42,Nifty50 PR 1x Inverse,.8,.23,.41,-1.07,.05,-.09,.66,.02,-1,-.34,2.14,.14,-.62,-.37,-.7,-.56
43,Nifty50 PR 2x Leverage,-1.6,-.43,-.82,2.16,-.06,.21,-1.33,-.01,2.02,.66,-4.25,-.27,1.27,.77,1.4,1.16
44,NIFTY100 Quality 30,0,0,.28,.74,.25,.22,-.67,.35,.76,-.13,-1.78,.17,.29,.81,1.33,.53
45,Nifty Mahindra Group,,,,,,,,,,,,,,,,
46,Nifty 50 Futures TR Index,-.78,-.31,-.21,.95,.14,.2,-.89,.05,1.03,.38,-2.14,-.16,.58,.38,.73,.36
47,Nifty Tata Group,,,,,,,,,,,,,,,,
48,Nifty Tata Group 25% Cap,,,,,,,,,,,,,,,,
49,Nifty Private Bank,-1.39,.07,-2.27,2.12,-.31,.31,-.85,.25,1.16,.62,-2.52,-.15,.47,0,.13,.89
50,Nifty Smallcap 250,-1.31,.43,.11,-.58,.06,.68,-1.08,.29,1.36,1.58,-1.98,-.69,.46,.07,1.02,.46
51,Nifty Smallcap 50,-1.82,.5,.36,-.22,.1,.57,-1.08,.18,1.51,1.84,-2.36,-.48,1.14,.11,1.13,.23
52,Nifty MidSmallcap 400,-1.14,.39,.38,-.46,-.24,.52,-.7,.1,1.36,1.47,-1.75,-.41,.41,-.12,.67,.3
53,Nifty Midcap 150,-1.06,.37,.51,-.4,-.4,.43,-.49,0,1.36,1.41,-1.63,-.27,.39,-.22,.49,.22
54,Nifty Midcap Select,-1.27,.23,.44,-.53,.15,.4,-.86,.13,1.13,1.63,-1.5,.18,.46,-.19,.26,.76
55,NIFTY LargeMidcap 250,-.91,.14,.17,.23,-.24,.3,-.55,-.03,1.21,.92,-1.85,-.24,.52,.03,.57,.41
56,NIFTY SME EMERGE,-.49,-.11,-.29,-.42,.23,.29,.19,.44,.32,1.2,-1.69,-.24,-.31,.34,.52,0
57,Nifty Oil & Gas,-.61,-.5,.62,.99,.08,.69,-.66,-.01,1.31,.31,-2.23,-.11,1.12,.03,.44,.49
58,Nifty Financial Services 25/50,-1.32,-.16,-.82,1.14,-.71,.63,-1.08,-.05,1.41,.68,-2.47,-.06,.69,.18,.38,.75
59,Nifty Healthcare Index,-1.19,.35,1.27,-1.28,-.09,.4,.89,-.26,.19,1,-1.21,-.83,.24,1.8,.56,-.49
60,Nifty500 Multicap 50:25:25,-.98,.15,.07,.19,-.13,.36,-.7,.05,1.21,.96,-1.94,-.35,.53,.11,.71,.47
61,Nifty Microcap 250,-1.19,.34,.61,-1.07,-.47,.64,-.99,.13,1.37,1.92,-2.02,-.7,.21,-.33,.86,.16
62,Nifty Total Market,-.9,.07,.03,.38,-.15,.29,-.65,0,1.17,.81,-1.97,-.3,.55,.13,.67,.49
63,Nifty India Digital,-1.24,-.29,.02,.5,-.02,.17,-.82,1.48,1.37,1.1,-1.36,2.16,-.24,.72,2.29,.11
64,Nifty Mobility,-.54,.54,-.14,.73,-.02,.85,-1.11,-.18,.67,.54,-2.43,.14,.76,-.2,.97,1.49
65,Nifty India Defence,-.14,.76,.2,.64,-.48,.06,-.94,-.75,1.89,-.16,-1.67,-1.65,.7,-.32,.51,.38
66,Nifty Financial Services Ex-Bank,-1.1,.22,.37,.32,-1.17,.75,-1.34,.1,1.66,1.18,-2.54,.14,-.17,.17,.21,1.36
67,Nifty Housing,-1,.2,.32,.47,-.28,-.26,-.29,-.31,1.44,.59,-1.94,-.55,.72,.19,.49,.34
68,Nifty Transportation & Logistics,-.54,.64,-.22,.72,-.01,.75,-1.18,-.14,.62,.45,-2.34,.14,.86,-.26,1.11,1.73
69,Nifty MidSmall Financial Services,-1.43,.15,.46,.02,-1.53,.39,-.92,.04,1.97,1.57,-1.77,-.38,.24,-.17,-.28,1.47
