,Index Name,ind_close_all_14022025.csv,ind_close_all_13022025.csv,ind_close_all_12022025.csv,ind_close_all_11022025.csv,ind_close_all_10022025.csv,ind_close_all_07022025.csv,ind_close_all_06022025.csv,ind_close_all_05022025.csv,ind_close_all_04022025.csv,ind_close_all_03022025.csv,ind_close_all_01022025.csv
54,Nifty Midcap Select,-2.38,-.31,-.66,-2.7,-1.84,.32,-.99,.68,1.6,-.35,-.56
55,NIFTY LargeMidcap 250,-1.55,.07,-.23,-2.22,-1.5,-.01,-.73,.34,1.49,-.82,-.18
56,NIFTY SME EMERGE,-3.07,.75,-.15,-3.46,-2.92,-.44,.6,1.56,.7,-2.34,-.44
57,Nifty Oil & Gas,-1.45,-.39,-.8,-1.93,-1.73,-.9,-.38,1.46,2.7,-2.22,-1.42
58,Nifty Financial Services 25/50,-.69,.78,.65,-1.83,-.83,-.35,-.29,.18,2.18,-.11,-.53
59,Nifty Healthcare Index,-2.46,1.24,-.54,-2.49,-2.18,.32,.11,.72,1.84,.19,-.09
60,Nifty500 Multicap 50:25:25,-1.75,-.05,-.31,-2.32,-1.51,-.14,-.49,.53,1.44,-1,.07
61,Nifty Microcap 250,-3.42,-.55,.11,-3.64,-2.47,-.97,.32,1.49,1.53,-1.64,.25
62,Nifty Total Market,-1.37,-.04,-.19,-2.03,-1.31,-.15,-.48,.31,1.52,-.86,.01
63,Nifty India Digital,-1.16,-.03,-.07,-2.55,-1.34,.44,-.5,.64,.93,.09,-.13
64,Nifty Mobility,-1.78,-.14,-.43,-2.45,-1.36,.14,-.54,.17,1.02,-.82,1.4
65,Nifty India Defence,-3.62,.43,-1.19,-3.5,-.91,-.28,-1.96,.99,2.34,-5.05,-3.07
66,Nifty Financial Services Ex-Bank,-1.62,1.47,.94,-3.15,-1.7,.14,-.8,.74,2.07,.47,-.51
67,Nifty Housing,-1.53,.12,.25,-1.7,-1.37,.52,-.86,.14,2.07,-1.28,-.68
68,Nifty Transportation & Logistics,-1.73,-.11,-.66,-2.55,-1.51,.44,-.66,.04,.75,-.32,1.96
69,Nifty MidSmall Financial Services,-2.22,.48,.78,-3.76,-2.27,.66,-1.19,1.89,1.93,-1.11,-.56
70,Nifty MidSmall Healthcare,-2.71,.28,-1.14,-3.28,-2.98,.14,.03,1.78,1.67,.14,.52
71,Nifty MidSmall IT & Telecom,-2.05,-.43,-1.52,-3.08,-2.37,.56,-.31,1.33,.9,-.11,.1
72,Nifty MidSmall India Consumption,-1.86,.04,-.59,-2.86,-2.41,.38,-1.66,-.56,.43,.07,2.99
73,Nifty REITs & InvITs,-.21,-.19,-.4,-.54,-.43,-.6,.75,-.46,-.6,.02,.09
74,Nifty Consumer Durables,-2.31,-.53,-.48,-2.26,-2.36,.97,-1.84,-1.03,.77,.55,2.96
75,Nifty Non-Cyclical Consumer,-.96,-.22,.03,-1.83,-1.04,.27,-1.76,-1.07,-.35,-.67,3.18
76,Nifty India Manufacturing,-2.05,.34,-.39,-2.16,-1.58,.39,-.65,.47,1.68,-.98,-.24
77,NIFTY100 Alpha 30,-2.14,.43,-.33,-2.13,-1.75,.74,-1.25,.32,.8,-1.14,.57
78,NIFTY500 Value 50,-1.99,.3,.27,-2.41,-2.14,.28,-.74,1.33,2.22,-2.12,-1.79
79,Nifty100 Low Volatility 30,-.51,.12,.16,-1.61,-.54,-.01,-.28,-.7,.89,-.54,.32
80,NIFTY Alpha Low-Volatility 30,-1.35,.04,-.22,-1.71,-.8,-.23,-.19,-.02,.83,-.55,.29
