,Index Name,ind_close_all_27012025.csv,ind_close_all_24012025.csv,ind_close_all_23012025.csv,ind_close_all_22012025.csv,ind_close_all_21012025.csv,ind_close_all_20012025.csv,ind_close_all_17012025.csv,ind_close_all_16012025.csv,ind_close_all_15012025.csv,ind_close_all_14012025.csv,ind_close_all_13012025.csv,ind_close_all_10012025.csv,ind_close_all_09012025.csv,ind_close_all_08012025.csv,ind_close_all_07012025.csv,ind_close_all_06012025.csv,ind_close_all_03012025.csv,ind_close_all_02012025.csv,ind_close_all_01012025.csv
33,Nifty100 Liquid 15,-1.47,-.65,-.09,.04,-1.62,1.53,.24,1.25,.59,1.56,-1.77,-1.29,-.74,.07,.56,-2.14,.05,2.23,.6
34,Nifty CPSE,-2.24,-1.07,.3,-1.52,-1.98,1.37,1.62,1.42,1.21,2.75,-3.38,-2.19,-1.52,.25,1.09,-3.42,.88,1.82,.31
35,Nifty50 Value 20,-1.31,-.13,.15,.76,-1.31,.4,-.99,-.07,.41,.01,-1.35,.28,-.71,.3,.07,-1.26,-.86,1.89,.08
36,Nifty Midcap Liquid 15,-3.01,-1.05,2.29,-1.15,-3.32,.96,.3,.59,1.35,2.16,-3.43,-1.98,-1.26,-2.24,.58,-2.54,-.84,1.44,.14
37,Nifty Shariah 25,-1.84,-.84,1.49,.28,-.93,.1,.34,-.11,.17,-1.37,-1.92,.27,-.26,.18,.1,-1.07,-.28,1.73,0
38,India VIX,8.29,.3,-.46,-1.66,3.9,4.24,1.83,1.36,-1.37,-3.3,7.26,1.76,1.33,-1.33,-6.33,15.58,-1.44,-5.31,.42
39,Nifty Growth Sectors 15,-1.57,-.26,.58,1.19,-.77,-.23,-.89,-.57,-.12,-.89,-1.03,.85,-.33,.59,-.18,-1.01,-.56,2.42,.52
40,Nifty50 TR 1x Inverse,1.19,.5,-.2,-.55,1.38,-.56,.39,-.39,-.14,-.39,1.52,.43,.71,.09,-.37,1.68,.79,-1.86,-.4
41,Nifty50 TR 2x Leverage,-2.33,-.99,.41,1.12,-2.76,1.17,-.76,.83,.3,.76,-3.01,-.83,-1.39,-.18,.76,-3.29,-1.54,3.74,.81
42,Nifty50 PR 1x Inverse,1.2,.51,-.21,-.55,1.4,-.56,.49,-.42,-.14,-.37,1.52,.42,.71,.09,-.38,1.68,.77,-1.85,-.4
43,Nifty50 PR 2x Leverage,-2.33,-.99,.41,1.12,-2.76,1.17,-.95,.83,.3,.76,-3.01,-.83,-1.39,-.18,.76,-3.29,-1.54,3.74,.81
