,Index Name,ind_close_all_30122025.csv,ind_close_all_29122025.csv,ind_close_all_26122025.csv,ind_close_all_24122025.csv,ind_close_all_23122025.csv,ind_close_all_22122025.csv,ind_close_all_19122025.csv,ind_close_all_18122025.csv,ind_close_all_17122025.csv,ind_close_all_16122025.csv,ind_close_all_15122025.csv,ind_close_all_12122025.csv,ind_close_all_11122025.csv,ind_close_all_10122025.csv,ind_close_all_09122025.csv,ind_close_all_08122025.csv,ind_close_all_05122025.csv,ind_close_all_04122025.csv,ind_close_all_03122025.csv,ind_close_all_02122025.csv,ind_close_all_01122025.csv
33,Nifty100 Liquid 15,.16,-.49,-.49,-.06,-.08,.86,.82,-.18,.26,-.59,.03,.88,.71,-.51,-.08,-1.66,.74,-.02,-.88,-.34,-.09
34,Nifty CPSE,-.07,-.6,-.06,-.02,1.01,.85,1.35,-.6,-.08,-.93,-.15,.2,.04,.1,.32,-2.1,.06,.45,-1.22,-.43,.55
35,Nifty50 Value 20,-.01,-.42,-.38,-.12,-.07,.95,.24,.39,.13,-.9,.08,.37,.47,-.11,-.53,-.63,.79,.35,.24,-.46,.2
36,Nifty Midcap Liquid 15,-.54,-.68,-.81,-1.04,-.41,.76,.66,.68,-.68,-1.12,-.47,1.1,1.75,-2.01,-.44,-1.61,.93,.35,-1.2,-.17,.05
37,Nifty Shariah 25,-.36,-.31,-.52,-.54,-.05,.62,.39,.05,-.13,-.54,.23,.53,.71,-.64,-.85,-1.01,.02,.69,-.44,.1,.21
38,India VIX,-.44,6.23,-.44,-2,-3.07,1.6,-1.91,-1.32,-2.24,-1.83,1.41,-2.81,-4.7,-.37,-1.55,7.85,-4.65,-3.52,-.13,-3.42,.06
39,Nifty Growth Sectors 15,.12,-.6,-.37,-.2,-.36,1.21,.55,.17,.02,-.32,-.16,.3,.8,-.4,-.65,-.86,.29,.73,-.26,-.08,.06
40,Nifty50 TR 1x Inverse,.03,.43,.4,.15,0,-.76,-.54,0,.18,.67,.12,-.58,-.51,.3,.49,.92,-.58,-.18,.21,.55,.15
41,Nifty50 TR 2x Leverage,-.04,-.81,-.79,-.28,.02,1.54,1.15,-.04,-.34,-1.3,-.19,1.13,1.08,-.65,-.95,-1.77,1.16,.35,-.37,-1.11,-.25
42,Nifty50 PR 1x Inverse,.02,.42,.4,.15,0,-.75,-.57,.02,.17,.65,.12,-.57,-.52,.32,.47,.9,-.57,-.15,.17,.58,.13
43,Nifty50 PR 2x Leverage,-.04,-.81,-.79,-.28,.02,1.54,1.15,-.04,-.34,-1.3,-.19,1.13,1.08,-.65,-.95,-1.77,1.16,.35,-.37,-1.11,-.25
44,NIFTY100 Quality 30,-.14,-.32,-.4,-.21,.21,.94,.64,.01,-.29,-.38,.15,.17,.61,-.13,-.61,-1.23,.33,.68,-.35,.04,.26
45,Nifty Mahindra Group,,,,,,,,,,,,,,,,,,,,,
46,Nifty 50 Futures TR Index,-.01,-.37,-.4,-.12,.05,.69,.59,-.05,-.15,-.63,-.09,.54,.58,-.36,-.39,-.97,.58,.21,-.28,-.45,-.15
47,Nifty Tata Group,,,,,,,,,,,,,,,,,,,,,
48,Nifty Tata Group 25% Cap,,,,,,,,,,,,,,,,,,,,,
49,Nifty Private Bank,.29,-.18,-.2,-.14,-.03,.35,.28,-.02,-.44,-1.23,.06,.45,.7,-.43,-.09,-.83,.49,-.01,.57,-.69,-.11
50,Nifty Smallcap 250,-.2,-.53,-.18,.06,.42,.96,1.33,-.11,-.72,-.77,.36,.83,.58,-.71,1.02,-2.27,-.53,-.24,-.44,-.44,.23
51,Nifty Smallcap 50,-.35,-.87,-.15,.05,.2,1.06,1.4,.21,-.76,-.78,.12,.89,.9,-1.1,1.2,-2.7,-.37,-.34,-.75,-.37,.45
52,Nifty MidSmallcap 400,-.19,-.45,-.23,-.29,.21,.87,1.22,.1,-.61,-.77,.08,1.06,.76,-.85,.59,-1.9,.08,-.11,-.73,-.28,.01
53,Nifty Midcap 150,-.18,-.4,-.25,-.47,.11,.83,1.16,.21,-.55,-.77,-.07,1.18,.85,-.93,.37,-1.7,.39,-.04,-.89,-.2,-.1
54,Nifty Midcap Select,-.37,-.52,-.65,-.96,-.18,.79,.85,.68,-.7,-.83,-.33,1.31,1.43,-1.51,-.17,-1.67,.89,.23,-1.05,-.4,.02
55,NIFTY LargeMidcap 250,-.09,-.4,-.29,-.31,.09,.8,.89,.07,-.37,-.69,-.05,.9,.7,-.61,.04,-1.38,.46,.07,-.61,-.34,-.09
56,NIFTY SME EMERGE,-.07,-1.24,-.69,.06,.37,.88,.95,-.59,-.93,-.65,-.45,.43,-.17,.41,1.73,-3.05,-1.43,-.13,-.89,-1.31,-.37
57,Nifty Oil & Gas,-.31,-.06,-.01,-.76,.01,.75,.96,-.33,.23,-.77,.18,1.11,-.03,.11,-.17,-.83,.13,-.05,-.62,-.42,-.11
58,Nifty Financial Services 25/50,.08,-.35,-.51,-.1,.51,.5,.57,.23,-.43,-.85,-.27,.5,.6,-.54,-.46,-.93,1.2,.05,-.34,-.78,-.21
59,Nifty Healthcare Index,-.45,-.62,-.32,-.29,-.24,.77,1.09,-.1,-.4,-.58,-.29,.26,.94,0,-.47,-1.42,0,.19,-.32,-.06,-.97
60,Nifty500 Multicap 50:25:25,-.1,-.43,-.27,-.18,.17,.83,.92,-.01,-.41,-.69,.05,.81,.63,-.55,.18,-1.51,.24,.03,-.5,-.4,-.01
61,Nifty Microcap 250,-.06,-.78,-.52,-.54,.06,1.36,1.26,-.32,-.9,-.62,.49,.28,.42,-.63,1.97,-2.36,-1.12,-.54,-.48,-.58,-.18
62,Nifty Total Market,-.06,-.43,-.3,-.2,.11,.82,.81,-.03,-.34,-.65,.01,.73,.6,-.46,.03,-1.34,.34,.08,-.45,-.43,-.05
63,Nifty India Digital,-.76,-.51,-.73,-.44,-.1,1.05,1.02,.85,-.26,-1.38,-.1,.97,1.03,-1.32,-.09,-.96,.45,.77,.06,.19,.83
64,Nifty Mobility,.32,-.4,-.4,-.36,-.1,.63,1.08,-.09,-.18,-.72,-.28,1,.95,-.51,.04,-1.92,.12,-.11,-.99,-.15,.55
65,Nifty India Defence,-1.08,-.59,-.19,.32,.12,3.06,2.04,-.08,-1.11,-1.28,-.11,.07,.55,-.73,.85,-3.68,-.7,.58,-1.83,-.83,.15
66,Nifty Financial Services Ex-Bank,-.27,-.64,-.47,-.18,.8,.68,1.05,.83,-.61,-1.35,-.52,.85,.75,-.84,-.13,-1.49,1.48,.33,-1.33,-.4,-.08
67,Nifty Housing,.23,-.19,-.15,-.15,.32,.35,.66,-.39,-.43,-.92,.17,1.2,.84,-.45,-.22,-1.42,.45,0,-.64,-.38,-.15
68,Nifty Transportation & Logistics,.41,-.46,-.49,-.17,-.11,.7,1.01,-.15,-.25,-.79,-.5,.95,1.1,-.7,.08,-1.96,.18,-.06,-1.09,-.16,.52
69,Nifty MidSmall Financial Services,-.04,-.53,-.24,-.57,-.08,.9,.94,1.15,-.55,-1.36,-.38,.94,1.18,-1.29,.53,-1.64,1.1,.03,-1.58,-.38,.27
70,Nifty MidSmall Healthcare,-.53,-.73,-.08,-.36,-.09,.9,1.36,.09,-.1,-.55,-.33,.52,.37,-.35,.16,-1.98,0,-.2,-.2,.28,-.29
71,Nifty MidSmall IT & Telecom,-.92,-.32,-1.12,-.81,-.41,.54,1.75,.31,-.48,-.53,-.49,1.03,1.92,-1.63,-.54,-2.38,.43,1.29,.5,.28,.25
