,Index Name,ind_close_all_23072025.csv,ind_close_all_22072025.csv,ind_close_all_21072025.csv,ind_close_all_18072025.csv,ind_close_all_17072025.csv,ind_close_all_16072025.csv,ind_close_all_15072025.csv,ind_close_all_14072025.csv,ind_close_all_11072025.csv,ind_close_all_10072025.csv,ind_close_all_09072025.csv,ind_close_all_08072025.csv,ind_close_all_07072025.csv,ind_close_all_04072025.csv,ind_close_all_03072025.csv,ind_close_all_02072025.csv,ind_close_all_01072025.csv
40,Nifty50 TR 1x Inverse,-.63,.15,-.45,.54,.39,-.06,-.42,.3,.81,.49,.21,-.24,.03,-.21,.21,.33,-.06
41,Nifty50 TR 2x Leverage,1.25,-.25,.94,-1.05,-.81,.13,.89,-.58,-1.63,-.96,-.38,.48,-.03,.47,-.39,-.71,.18
42,Nifty50 PR 1x Inverse,-.64,.15,-.46,.59,.42,-.05,-.44,.32,.82,.5,.2,-.22,.02,-.2,.2,.38,-.1
43,Nifty50 PR 2x Leverage,1.25,-.25,.94,-1.15,-.81,.11,.89,-.58,-1.63,-.96,-.38,.47,-.04,.42,-.39,-.71,.18
44,NIFTY100 Quality 30,.22,-.36,-.02,-.62,-.31,.29,.6,-.39,-.8,-.57,.14,-.1,.23,.4,.32,0,-.21
45,Nifty Mahindra Group,,,,,,,,,,,,,,,,,
46,Nifty 50 Futures TR Index,.65,-.12,.43,-.55,-.27,-.06,.41,-.17,-.76,-.52,-.19,.3,.04,.14,-.13,-.36,.13
47,Nifty Tata Group,,,,,,,,,,,,,,,,,
48,Nifty Tata Group 25% Cap,,,,,,,,,,,,,,,,,
49,Nifty Private Bank,.69,-.13,1.26,-1.46,-.58,.03,.13,-.05,-.09,-.48,-.02,.66,-.04,.32,-.46,-.65,.12
50,Nifty Smallcap 250,.13,-.34,-.11,-.68,.27,.17,.81,.92,-.7,-.07,.55,-.23,-.2,.02,.37,-.39,-.2
51,Nifty Smallcap 50,.01,-.53,.2,-.87,-.08,-.01,.95,1.14,-1.04,-.39,.6,-.26,-.41,.01,.42,-.31,.02
52,Nifty MidSmallcap 400,.24,-.45,.37,-.67,.13,.12,.88,.74,-.79,-.2,.17,-.17,-.24,0,.24,-.17,-.18
53,Nifty Midcap 150,.3,-.51,.63,-.67,.05,.1,.92,.64,-.83,-.28,-.03,-.14,-.26,-.02,.17,-.05,-.17
54,Nifty Midcap Select,.53,-.71,.99,-.71,-.44,-.14,1.31,1.09,-1.39,-.61,-.31,-.48,-.13,-.35,.16,.18,-.13
55,NIFTY LargeMidcap 250,.42,-.34,.55,-.63,-.16,.09,.71,.25,-.82,-.35,-.1,.03,-.11,.11,-.04,-.19,-.05
56,NIFTY SME EMERGE,-.27,-.23,.02,-.01,.42,.72,.08,.27,-.1,.44,.68,-.41,.2,.74,.16,-.37,.2
57,Nifty Oil & Gas,.66,-.4,-1.09,-.37,-.2,.23,.48,-.03,-1.26,-.03,-1.25,.1,.41,1.05,.33,-.17,.49
58,Nifty Financial Services 25/50,.76,-.17,1.37,-.93,-.33,-.15,.48,-.2,-.47,-.2,.18,.6,-.09,.42,-.61,-1.09,-.32
59,Nifty Healthcare Index,.84,-.73,-.23,-.65,.18,-.34,1.23,1,.07,-.56,-.36,-.89,.02,.66,.52,.34,.21
60,Nifty500 Multicap 50:25:25,.38,-.3,.37,-.64,-.1,.11,.68,.32,-.79,-.3,.05,.01,-.1,.12,.01,-.28,-.06
61,Nifty Microcap 250,-.25,-.01,-.18,-.56,.32,.44,1.24,.14,-.51,.37,.49,-.13,-.47,.42,.05,-.16,.06
62,Nifty Total Market,.43,-.24,.42,-.61,-.2,.11,.63,.11,-.79,-.34,-.04,.08,-.06,.18,-.1,-.28,0
63,Nifty India Digital,.56,1.13,.82,-.48,-.95,0,.19,.56,-1.37,-.61,-.3,.52,-.55,.32,-.31,.18,-.4
64,Nifty Mobility,.65,0,.67,-.47,-.24,.13,.98,.42,-1.18,-.14,.17,.1,-.03,.13,0,.22,-.23
65,Nifty India Defence,-.52,.19,.78,-2.32,-.94,-.47,.44,-.85,-1.94,-2.03,.19,-.01,-1.07,.95,-.08,-.52,.45
66,Nifty Financial Services Ex-Bank,.69,-.21,.97,-.37,-.39,-.41,1,.11,-1.14,-.11,.58,-.13,.02,-.4,-.54,-1.36,-.03
67,Nifty Housing,.17,-.43,.81,-.49,-.02,.09,.22,.21,-.53,-.14,-.21,.61,-.14,.08,-.26,.22,.12
68,Nifty Transportation & Logistics,.64,.45,1.09,-.46,-.18,.23,.94,.55,-1.28,-.18,.46,.18,-.14,-.1,.06,.16,-.31
69,Nifty MidSmall Financial Services,.2,-.24,.51,-.42,-.45,.12,1.18,1.01,-1.46,-.42,.15,-.82,-.26,-1.08,.23,-1,.85
