,SYMBOL,NAME OF COMPANY,cm01JAN2024bhav.csv
94,AMJLAND,Amj Land Holdings Limited,-1.3513513513513618
95,AMRUTANJAN,Amrutanjan Health Care Limited,2.852614896988891
96,ANANDRATHI,Anand Rathi Wealth Limited,-1.0139954505146982
97,ANANTRAJ,Anant Raj Limited,1.1013215859030836
98,ANDHRAPAP,ANDHRA PAPER LIMITED,-1.6069525293104971
99,ANDHRSUGAR,The Andhra Sugars Limited,-0.3140421713773069
100,ANDREWYU,Andrew Yule & Company Limited,
101,ANGELONE,Angel One Limited,2.7381157176443605
102,ANIKINDS,Anik Industries Limited,
103,ANKITMETAL,Ankit Metal & Power Limited,
104,ANMOL,Anmol India Limited,-2.675840978593283
105,ANSALAPI,Ansal Properties & Infrastructure Limited,
106,ANTGRAPHIC,Antarctica Limited,
107,ANUP,The Anup Engineering Limited,-0.7665159369140807
108,ANURAS,Anupam Rasayan India Limited,1.9438239627394178
109,APARINDS,Apar Industries Limited,0.08012026299270433
110,APCL,Anjani Portland Cement Limited,-0.18823529411764972
111,APCOTEXIND,Apcotex Industries Limited,-0.9809691975671964
112,APEX,Apex Frozen Foods Limited,0.6480446927374252
113,APLAPOLLO,APL Apollo Tubes Limited,-0.5270692347735495
114,APLLTD,Alembic Pharmaceuticals Limited,0.8559388991308928
115,APOLLO,Apollo Micro Systems Limited,
116,APOLLOHOSP,Apollo Hospitals Enterprise Limited,0.8055609123262182
117,APOLLOPIPE,Apollo Pipes Limited,-0.3576381286037416
118,APOLLOTYRE,Apollo Tyres Limited,-0.1761920493337763
119,APOLSINHOT,Apollo Sindoori Hotels Limited,-0.6556291390728537
120,APTECHT,Aptech Limited,3.7058371735791225
121,APTUS,Aptus Value Housing Finance India Limited,3.236903831118068
122,ARCHIDPLY,Archidply Industries Limited,
123,ARCHIES,Archies Limited,1.7482517482517481
124,ARENTERP,Rajdarshan Industries Limited,0.5882352941176471
125,ARIES,Aries Agro Limited,3.8132485944756698
126,ARIHANTCAP,Arihant Capital Markets Limited,1.582733812949632
127,ARIHANTSUP,Arihant Superstructures Limited,1.0701107011070026
128,ARMANFIN,Arman Financial Services Limited,4.048898551913701
129,AROGRANITE,Aro Granite Industries Limited,
130,ARROWGREEN,Arrow Greentech Limited,-0.8303947218746524
131,ARSHIYA,Arshiya Limited,
132,ARSSINFRA,ARSS Infrastructure Projects Limited,
133,ARTEMISMED,Artemis Medicare Services Limited,-2.8032195392728347
134,ARTNIRMAN,Art Nirman Limited,3.8154392191659245
135,ARVEE,Arvee Laboratories (India) Limited,
136,ARVIND,Arvind Limited,-3.30847198317077
137,ARVINDFASN,Arvind Fashions Limited,0.3169572107765479
138,ARVSMART,Arvind SmartSpaces Limited,0.5468295520651595
139,ASAHIINDIA,Asahi India Glass Limited,-1.1879986125563688
140,ASAHISONG,Asahi Songwon Colors Limited,-1.0300850228907894
141,ASAL,Automotive Stampings and Assemblies Limited,-0.2264600715137041
