,Index Name,ind_close_all_19062026.csv,ind_close_all_18062026.csv,ind_close_all_17062026.csv,ind_close_all_16062026.csv,ind_close_all_15062026.csv,ind_close_all_12062026.csv,ind_close_all_11062026.csv,ind_close_all_10062026.csv,ind_close_all_09062026.csv,ind_close_all_08062026.csv,ind_close_all_05062026.csv,ind_close_all_04062026.csv,ind_close_all_03062026.csv,ind_close_all_02062026.csv,ind_close_all_01062026.csv
43,Nifty50 PR 2x Leverage,-1.3,.67,.79,1.12,1.91,3.97,-.47,-.25,1.02,-2.13,-.44,.08,-.68,.85,-1.44
44,NIFTY100 Quality 30,-.84,.08,.83,.6,.83,.63,-1.02,-.4,.75,-.84,-.32,-.07,-1.33,1.11,-.51
45,Nifty Mahindra Group,,,,,,,,,,,,,,,
46,Nifty 50 Futures TR Index,-.54,.43,.4,.37,1.02,2.11,-.16,-.37,.69,-1.13,-.24,0,-.35,.62,-1.16
47,Nifty Tata Group,,,,,,,,,,,,,,,
48,Nifty Tata Group 25% Cap,,,,,,,,,,,,,,,
49,Nifty Private Bank,-.5,.49,-.08,.38,.59,2.84,.55,.72,1.64,-.67,.23,.17,.7,-.22,-.98
50,Nifty Smallcap 250,.57,.67,.73,.44,1.25,2.62,-.84,-1.15,1.36,-1.79,.01,.58,.05,.53,-.79
51,Nifty Smallcap 50,.5,.62,.74,.45,1.09,2.62,-.37,-1.42,1.59,-1.61,-.05,.38,-.16,.14,-.77
52,Nifty MidSmallcap 400,.43,.54,.58,.4,1.4,2.49,-.85,-1.27,1.34,-1.57,-.19,.48,-.24,.3,-1.17
53,Nifty Midcap 150,.35,.47,.51,.38,1.47,2.41,-.85,-1.33,1.32,-1.46,-.29,.43,-.38,.18,-1.36
54,Nifty Midcap Select,.16,.14,.5,.54,1.27,2.73,-.89,-1.34,1.33,-.8,-.56,.26,-.64,-.17,-1.45
55,NIFTY LargeMidcap 250,-.1,.42,.48,.43,1.36,2.24,-.63,-.84,1.01,-1.32,-.21,.26,-.36,.29,-1.13
56,NIFTY SME EMERGE,.26,.05,.81,1,1.21,1.68,-1.22,-.83,.33,-1.1,.48,.47,.03,.55,-1.35
57,Nifty Oil & Gas,-1.18,0,.08,1.02,1.53,2.16,-.22,-1.48,.31,-1.57,-.48,.26,-.07,-.18,-.37
58,Nifty Financial Services 25/50,-.5,.73,-.01,.68,1.39,3.01,-.34,-.1,1.4,-1.16,.12,.37,.32,-.63,-1.42
59,Nifty Healthcare Index,.74,.98,-.19,-.36,-.41,.33,.33,-.38,.55,.09,.56,.34,.54,-.52,-.82
60,Nifty500 Multicap 50:25:25,-.06,.47,.53,.45,1.3,2.29,-.62,-.78,1.01,-1.4,-.13,.29,-.25,.38,-.98
61,Nifty Microcap 250,.8,.48,1.09,.56,1.76,3.02,-1.12,-1.44,1.86,-1.96,-.01,.86,.24,1.09,-1.11
62,Nifty Total Market,-.22,.42,.51,.47,1.31,2.23,-.56,-.64,.93,-1.33,-.14,.23,-.29,.4,-.97
63,Nifty India Digital,-.86,-.25,1.08,.99,1.27,1.66,-1.1,-.99,.16,-1.48,-.64,.17,-2.69,1.93,.6
64,Nifty Mobility,-.35,.33,-.12,.03,2.46,2.79,-.72,-.78,1.23,-1.89,-.02,.46,-.08,.55,-1.28
65,Nifty India Defence,.68,.38,3.91,.01,1.49,2.2,-2.09,-1.54,1.71,-1.05,.06,.47,.38,.74,-2.01
66,Nifty Financial Services Ex-Bank,.01,.37,0,.9,2.99,3.83,-1.35,-1.45,1.61,-1.73,.18,.22,-.72,-.92,-2.08
67,Nifty Housing,-.41,.76,.51,.32,1.1,2.33,-.53,-.54,.8,-1.45,-.09,.03,-.28,-.02,-1.15
68,Nifty Transportation & Logistics,-.26,.32,-.06,-.06,2.58,2.61,-.59,-.9,1.21,-1.95,.13,.49,-.08,.7,-1.45
69,Nifty MidSmall Financial Services,.2,.42,.06,.35,2.27,3.39,-.83,-1.87,2.1,-1.02,-.36,.29,-.35,-.5,-1.83
70,Nifty MidSmall Healthcare,1.13,.83,.01,-.34,-1.07,.55,.28,-.9,.83,-.2,.45,.69,.57,-.8,-.47
71,Nifty MidSmall IT & Telecom,-.49,.09,.23,1.25,.83,1.06,-.81,-1.59,-.25,-1.4,-.52,.36,-2.26,2.07,.88
72,Nifty MidSmall India Consumption,-.35,.7,.62,.31,1.52,2.08,-.76,-.77,.89,-.97,-.19,.68,-.24,.67,-1.51
73,Nifty REITs & InvITs,.02,.12,-.01,-.04,.24,-.24,.04,-.08,.32,-.11,.06,-.21,-.29,-.02,.68
74,Nifty Consumer Durables,-.39,.43,2.11,1.28,2.9,2.38,-1.15,-1.16,.12,-1.49,.12,2.18,-.81,1.3,-1.27
75,Nifty Non-Cyclical Consumer,.26,.47,.94,.85,1.41,1.8,-.88,-.2,.64,-1.01,-.09,.72,-.37,.84,-1.49
76,Nifty India Manufacturing,-.08,.27,.71,-.21,1.59,1.63,-.44,-.89,.9,-1.59,-.38,.2,.06,.22,-1.1
77,NIFTY100 Alpha 30,-.35,.51,.94,-.53,2.43,2.02,-.84,-1.22,1.19,-1.6,-.09,.29,-.08,.44,-1.44
78,NIFTY500 Value 50,-.11,.34,.13,-.17,1.28,1.54,-.66,-1.68,.95,-1.3,-.64,.2,.36,-.02,-.44
79,Nifty100 Low Volatility 30,-.5,.21,.28,.47,.85,1.48,-.28,.15,.58,-.99,-.03,-.06,-.5,.44,-.93
80,NIFTY Alpha Low-Volatility 30,-.16,.4,.28,.28,1.37,1.48,-.26,-.02,.9,-.81,.14,.07,.06,-.05,-1.26
81,NIFTY Quality Low-Volatility 30,-.77,.32,.07,.68,.41,1.1,-.53,.3,.88,-.71,-.14,.3,-.75,.77,-.99
