,Index Name,ind_close_all_18032026.csv,ind_close_all_17032026.csv,ind_close_all_16032026.csv,ind_close_all_13032026.csv,ind_close_all_12032026.csv,ind_close_all_11032026.csv,ind_close_all_10032026.csv,ind_close_all_09032026.csv,ind_close_all_06032026.csv,ind_close_all_05032026.csv,ind_close_all_04032026.csv,ind_close_all_02032026.csv
49,Nifty Private Bank,.88,.93,1.24,-2.1,-1.6,-2.41,1.79,-2.78,-2.27,.45,-1.51,-.91
50,Nifty Smallcap 250,1.77,.57,-.36,-2.68,-.39,-.39,2.14,-2.33,-.28,1.41,-2.12,-1.89
51,Nifty Smallcap 50,1.63,.67,-.39,-2.42,-.86,-.55,2.17,-2.05,-.58,1.85,-2.15,-1.63
52,Nifty MidSmallcap 400,1.83,.88,-.36,-2.68,-.29,-.89,1.78,-2.14,-.54,1.49,-2.17,-1.76
53,Nifty Midcap 150,1.87,1.03,-.37,-2.68,-.23,-1.14,1.59,-2.04,-.68,1.53,-2.19,-1.7
54,Nifty Midcap Select,1.92,.96,-.03,-2.64,-.01,-1.87,2.06,-1.71,-.71,1.74,-1.92,-1.49
55,NIFTY LargeMidcap 250,1.37,.9,.24,-2.42,-.52,-1.34,1.35,-1.92,-.9,1.37,-1.97,-1.5
56,NIFTY SME EMERGE,1.71,.35,-1.17,-1.79,-.38,-.45,.94,-2.1,.24,1.4,-1.19,-2.33
57,Nifty Oil & Gas,.63,.17,-1.58,-2.18,.48,.18,-.39,-2.37,-.21,1.56,-3.09,-2.15
58,Nifty Financial Services 25/50,.78,.98,1.36,-1.9,-.73,-1.96,2.07,-2.21,-2.13,.87,-2.01,-1.13
59,Nifty Healthcare Index,.21,.26,-1.37,-1.8,-.6,.14,1.13,-.13,-.42,1.39,-1.4,-.09
60,Nifty500 Multicap 50:25:25,1.34,.78,.25,-2.42,-.56,-1.15,1.48,-1.98,-.8,1.34,-1.95,-1.54
61,Nifty Microcap 250,2.68,.99,-.61,-2.91,-.31,-.11,2.39,-2.66,-.09,1.04,-2.65,-2.22
62,Nifty Total Market,1.2,.8,.46,-2.33,-.64,-1.3,1.34,-1.92,-.92,1.28,-1.89,-1.46
63,Nifty India Digital,2.86,.62,.38,-1.64,-.56,-1.46,.01,-.25,-.98,-.08,-.24,-1.61
64,Nifty Mobility,1.89,1.6,.93,-2.93,-2,-2.3,1.96,-3.32,-1.32,2.01,-2.42,-2.6
65,Nifty India Defence,1.01,1.86,-.78,-3.68,-.34,-1.74,.76,-2.15,2.77,2.55,-.96,.49
66,Nifty Financial Services Ex-Bank,1.63,1.08,.97,-1.86,-.65,-2.2,2.23,-1.32,-1.55,1.71,-2.8,-1.66
67,Nifty Housing,.9,1.34,.96,-3.25,-.26,-.98,1.55,-2.63,-1.38,1.73,-3.02,-1.67
68,Nifty Transportation & Logistics,2.09,2.08,1.42,-3.09,-2.45,-2.58,2.27,-3.48,-1.27,1.99,-2.23,-2.45
69,Nifty MidSmall Financial Services,1.97,1.42,.68,-2.08,-.78,-1.67,2,-1.77,-1.38,1.52,-2.14,-1.5
70,Nifty MidSmall Healthcare,.99,.44,-1.42,-2.29,-.63,.41,1.61,-.87,-.23,1.3,-1.65,-.86
71,Nifty MidSmall IT & Telecom,3.17,-.11,-.52,-2.36,-.52,-1.33,.68,-.91,.04,-.08,-.97,-1.69
72,Nifty MidSmall India Consumption,1.65,.53,-.28,-2.07,-1.32,-1.43,1.97,-1.64,-.88,1.48,-1.78,-1.81
73,Nifty REITs & InvITs,-.05,.08,-.32,-.31,-.04,.03,-.13,-.8,.74,.59,-2.05,-.88
74,Nifty Consumer Durables,1.72,.72,-.21,-2.85,-.48,-.63,2.67,-2.81,-.63,2.1,-2.13,-2.15
75,Nifty Non-Cyclical Consumer,1.15,.72,.83,-1.12,-1.24,-1.47,.93,-1.45,-.97,.72,-1.42,-1.67
76,Nifty India Manufacturing,.94,1.29,-.16,-3.14,-.6,-1.3,1.74,-2.36,-.14,1.92,-2.51,-1.05
77,NIFTY100 Alpha 30,1.01,1.21,.72,-2.34,-1.25,-2.36,1.7,-2.62,-1.05,1.89,-2.13,-1.45
78,NIFTY500 Value 50,.4,1.1,-.69,-3.04,.45,-.36,1.62,-3.01,-.7,1.75,-2.97,-1.39
79,Nifty100 Low Volatility 30,.67,.31,.67,-1.84,-1.06,-1.27,1.15,-1.79,-.93,.77,-1.71,-1.05
80,NIFTY Alpha Low-Volatility 30,.79,.69,.79,-1.81,-1.33,-1.79,1.44,-2.01,-1.11,.94,-1.86,-1.12
81,NIFTY Quality Low-Volatility 30,.63,.18,.47,-1.66,-1.05,-1.41,1.55,-1.82,-.63,.84,-1.47,-1.15
82,NIFTY Alpha Quality Low-Volatility 30,.82,.36,.16,-1.72,-1.17,-1.64,1.66,-1.93,-.53,1.04,-1.81,-1.17
83,NIFTY Alpha Quality Value Low-Volatility 30,.74,.3,.14,-1.66,-.81,-1.45,1.27,-1.85,-.73,1,-1.49,-1.12
84,NIFTY200 Quality 30,1.4,.19,-.16,-1.95,-.49,-1.7,1.39,-1.55,-.12,1.05,-1.47,-1.01
85,NIFTY Midcap150 Quality 50,1.88,.7,-.85,-2.38,-.25,-1.66,1.65,-1.96,-.37,.91,-2.27,-1.55
86,Nifty200 Momentum 30,1.5,1.24,.77,-2.63,-1.18,-2.25,2.42,-2.32,-1.47,1.7,-2.38,-1.64
87,Nifty100 ESG Sector Leaders,1.02,.77,.88,-1.76,-.72,-1.63,.98,-1.5,-1.18,1.1,-1.56,-1.29
88,Nifty200 Alpha 30,1.62,1.29,.58,-2.49,-1.26,-2.15,2.2,-2.18,-1.21,1.75,-2.67,-1.42
89,Nifty Midcap150 Momentum 50,1.89,1.28,-.05,-2.81,-.46,-1.74,1.77,-2.05,-.96,1.81,-2.34,-1.49
90,Nifty Smallcap250 Quality 50,1.83,.09,-.35,-2.54,-.51,-.19,2.14,-1.88,-.21,1.14,-1.89,-2.19
91,NIFTY100 ESG,1.25,.79,.63,-2.04,-.71,-1.66,1.28,-1.83,-1.18,.96,-1.86,-1.36
92,NIFTY100 Enhanced ESG,1.27,.78,.64,-2.01,-.72,-1.67,1.26,-1.83,-1.19,.96,-1.84,-1.37
93,NIFTY50 Equal Weight,.9,.76,.67,-2.23,-.77,-1.39,1.26,-1.94,-1.02,1.32,-2.08,-1.19
94,Nifty 50 Futures Index,.67,.8,.99,-2.23,-.88,-1.86,1.12,-1.72,-1.24,1.1,-1.59,-1.41
95,Nifty 50 Arbitrage,.11,-.04,.1,.12,-.04,.16,-.09,.01,-.01,.05,.04,.12
96,Nifty Aditya Birla Group,,,,,,,,,,,,
97,Nifty 8-13 yr G-Sec,-.13,-.09,-.13,-.07,-.03,.09,.42,-.19,-.22,.27,-.03,-.06
98,Nifty 4-8 yr G-Sec Index,-.07,-.09,-.15,-.02,-.01,-.01,.18,-.04,-.18,.08,-.02,-.05
99,Nifty 11-15 yr G-Sec Index,-.03,-.13,-.2,-.03,-.22,.15,.67,-.34,-.24,.29,-.12,-.18
100,Nifty 15 yr and above G-Sec Index,.12,.05,-.33,-.23,-.34,-.14,.91,-.45,-.39,-.01,-.58,-.17
101,Nifty Composite G-sec Index,-.07,-.05,-.17,-.07,-.09,.05,.44,-.21,-.25,.18,-.08,-.08
102,Nifty 10 yr Benchmark G-Sec,-.14,-.08,-.14,-.04,-.08,.12,.41,-.19,-.29,.26,-.02,-.06
103,Nifty 10 yr Benchmark G-Sec (Clean Price),-.16,-.1,-.16,-.06,-.1,.1,.4,-.22,-.32,.25,-.03,-.08
104,Nifty 1D Rate Index,.01,.01,.04,.01,.01,.01,.01,.04,.01,.01,.03,.04
105,Nifty50 USD,,.78,1.14,-2.35,-1.11,-1.86,1.54,-2.35,-1.44,1.78,-2.26,-1.79
