,SYMBOL,NAME OF COMPANY,cm01SEP2023bhav.csv
95,AMRUTANJAN,Amrutanjan Health Care Limited,-0.6996989667236115
96,ANANDRATHI,Anand Rathi Wealth Limited,-1.9418156326673708
97,ANANTRAJ,Anant Raj Limited,0.5922551252847432
98,ANDHRAPAP,ANDHRA PAPER LIMITED,2.6595744680851063
99,ANDHRSUGAR,The Andhra Sugars Limited,2.7086063783311443
100,ANDREWYU,Andrew Yule & Company Limited,0.5514705882353019
101,ANGELONE,Angel One Limited,2.4280022461694837
102,ANIKINDS,Anik Industries Limited,
103,ANKITMETAL,Ankit Metal & Power Limited,3.448275862068969
104,ANMOL,Anmol India Limited,
105,ANSALAPI,Ansal Properties & Infrastructure Limited,
106,ANTGRAPHIC,Antarctica Limited,
107,ANUP,The Anup Engineering Limited,-2.586342493764473
108,ANURAS,Anupam Rasayan India Limited,0.019901487636194017
109,APARINDS,Apar Industries Limited,-1.0192774211582463
110,APCL,Anjani Portland Cement Limited,-0.8521970705725669
111,APCOTEXIND,Apcotex Industries Limited,2.990970654627535
112,APEX,Apex Frozen Foods Limited,8.835904628330999
113,APLAPOLLO,APL Apollo Tubes Limited,3.2105985558274126
114,APLLTD,Alembic Pharmaceuticals Limited,-0.798249002188753
115,APOLLO,Apollo Micro Systems Limited,0.18315018315018575
116,APOLLOHOSP,Apollo Hospitals Enterprise Limited,0.5452732597993394
117,APOLLOPIPE,Apollo Pipes Limited,-0.6472968002942224
118,APOLLOTYRE,Apollo Tyres Limited,-0.939752832131817
119,APOLSINHOT,Apollo Sindoori Hotels Limited,
120,APTECHT,Aptech Limited,0.551232166018173
121,APTUS,Aptus Value Housing Finance India Limited,-0.2044989775051167
122,ARCHIDPLY,Archidply Industries Limited,
123,ARCHIES,Archies Limited,
124,ARENTERP,Rajdarshan Industries Limited,
125,ARIES,Aries Agro Limited,-0.6724045185583647
126,ARIHANTCAP,Arihant Capital Markets Limited,0.1813236627379899
127,ARIHANTSUP,Arihant Superstructures Limited,1.7660683265778874
128,ARMANFIN,Arman Financial Services Limited,-1.5514573662861357
129,AROGRANITE,Aro Granite Industries Limited,-0.19455252918288216
130,ARROWGREEN,Arrow Greentech Limited,
131,ARSHIYA,Arshiya Limited,
132,ARSSINFRA,ARSS Infrastructure Projects Limited,
133,ARTEMISMED,Artemis Medicare Services Limited,1.235552012754083
134,ARTNIRMAN,Art Nirman Limited,
135,ARVEE,Arvee Laboratories (India) Limited,
136,ARVIND,Arvind Limited,-0.2841716396703609
137,ARVINDFASN,Arvind Fashions Limited,0.49712599036817334
138,ARVSMART,Arvind SmartSpaces Limited,5.333136356921262
139,ASAHIINDIA,Asahi India Glass Limited,-1.0275414806704326
140,ASAHISONG,Asahi Songwon Colors Limited,-1.0984277406849068
141,ASAL,Automotive Stampings and Assemblies Limited,-1.9116757410768244
142,ASALCBR,Associated Alcohols & Breweries Ltd.,1.030808431781327
143,ASHAPURMIN,Ashapura Minechem Limited,0.5062733876293224
144,ASHIANA,Ashiana Housing Limited,2.1240646874245743
145,ASHIMASYN,Ashima Limited,0.0
146,ASHOKA,Ashoka Buildcon Limited,0.6893156080748428
147,ASHOKLEY,Ashok Leyland Limited,0.19037258634756288
148,ASIANENE,Asian Energy Services Limited,
149,ASIANHOTNR,Asian Hotels (North) Limited,
150,ASIANPAINT,Asian Paints Limited,0.10595497681275984
151,ASIANTILES,Asian Granito India Limited,-1.9652305366591252
152,ASMS,Bartronics India Limited,
153,ASPINWALL,Aspinwall and Company Limited,1.1711125569290777
154,ASTEC,Astec LifeSciences Limited,-2.396499027507641
155,ASTERDM,Aster DM Healthcare Limited,-0.5275851673198674
156,ASTRAL,Astral Limited,-2.1979990276605026
157,ASTRAMICRO,Astra Microwave Products Limited,-1.009845998485231
158,ASTRAZEN,AstraZeneca Pharma India Limited,1.5143333411593454
159,ASTRON,Astron Paper & Board Mill Limited,-0.1686340640809348
160,ATALREAL,Atal Realtech Limited,-19.992690058479536
161,ATAM,Atam Valves Limited,-0.23866348448688254
162,ATFL,Agro Tech Foods Limited,0.6615214994487433
163,ATGL,Adani Total Gas Limited,-0.3067002201950192
164,ATLANTA,Atlanta  Limited,
165,ATUL,Atul Limited,0.2761074978524972
166,ATULAUTO,Atul Auto Limited,0.9552793980894373
167,AUBANK,AU Small Finance Bank Limited,0.29023564370119864
168,AURIONPRO,Aurionpro Solutions Limited,4.958351816255109
169,AUROPHARMA,Aurobindo Pharma Limited,-0.5361445783132585
170,AURUM,Aurum PropTech Limited,0.1506591337099726
171,AUSOMENT,Ausom Enterprise Limited,1.994851994851991
172,AUTOAXLES,Automotive Axles Limited,1.3808139534883763
173,AUTOIND,Autoline Industries Limited,
174,AVADHSUGAR,Avadh Sugar & Energy Limited,0.0346200450060467
175,AVALON,Avalon Technologies Limited,-0.10944184658243188
176,AVANTIFEED,Avanti Feeds Limited,0.9097190234914759
177,AVG,AVG Logistics Limited,-0.8275862068965495
178,AVONMORE,Avonmore Capital & Management Services Limited,
179,AVROIND,AVRO INDIA LIMITED,1.1274934952298328
180,AVTNPL,AVT Natural Products Limited,-0.8531383302864142
181,AWHCL,Antony Waste Handling Cell Limited,0.21869077124945327
182,AWL,Adani Wilmar Limited,-2.0166898470097356
183,AXISBANK,Axis Bank Limited,1.8130457113507938
184,AXISCADES,AXISCADES Technologies Limited,
185,AXITA,Axita Cotton Limited,
186,AYMSYNTEX,AYM Syntex Limited,3.335750543872367
187,BAFNAPH,Bafna Pharmaceuticals Limited,
188,BAGFILMS,B.A.G Films and Media Limited,
189,BAIDFIN,Baid Finserv Limited,-1.3717421124828533
190,BAJAJ-AUTO,Bajaj Auto Limited,1.1844900082361531
191,BAJAJCON,Bajaj Consumer Care Limited,0.19462826002335543
192,BAJAJELEC,Bajaj Electricals Limited,1.4123320702721205
193,BAJAJFINSV,Bajaj Finserv Limited,1.7193901538048162
194,BAJAJHCARE,Bajaj Healthcare Limited,0.433134813210618
195,BAJAJHIND,Bajaj Hindusthan Sugar Limited,4.801670146137796
196,BAJAJHLDNG,Bajaj Holdings & Investment Limited,-1.3028221089852998
197,BAJFINANCE,Bajaj Finance Limited,2.2001954488342923
198,BALAJITELE,Balaji Telefilms Limited,1.349431818181802
199,BALAMINES,Balaji Amines Limited,-0.9430604982206325
200,BALAXI,BALAXI PHARMACEUTICALS LIMITED,0.043615745284045056
201,BALKRISHNA,Balkrishna Paper Mills Limited,0.7233273056057969
202,BALKRISIND,Balkrishna Industries Limited,1.6636893872543783
203,BALLARPUR,Ballarpur Industries Limited,
204,BALMLAWRIE,Balmer Lawrie & Company Limited,9.147135416666675
205,BALPHARMA,Bal Pharma Limited,-0.8704557091653954
206,BALRAMCHIN,Balrampur Chini Mills Limited,1.3972567619535927
207,BANARBEADS,Banaras Beads Limited,4.048807542983906
208,BANARISUG,Bannari Amman Sugars Limited,0.1678966789667964
209,BANCOINDIA,Banco Products (I) Limited,0.9601254041344132
210,BANDHANBNK,Bandhan Bank Limited,2.3954703832752613
211,BANG,Bang Overseas Limited,-1.1840688912809565
212,BANKA,Banka BioLoo Limited,0.9213323883770457
213,BANKBARODA,Bank of Baroda,1.8434410900347253
214,BANKINDIA,Bank of India,2.5641025641025674
215,BANSWRAS,Banswara Syntex Limited,-0.8125188083057443
216,BARBEQUE,Barbeque Nation Hospitality Limited,0.27140918505822315
217,BASF,BASF India Limited,-0.1367703208403742
218,BASML,Bannari Amman Spinning Mills Limited,-0.5994005994005938
219,BATAINDIA,Bata India Limited,-0.2369387513327805
220,BAYERCROP,Bayer Cropscience Limited,-0.4623184491034139
221,BBL,Bharat Bijlee Limited,2.115228432549062
222,BBOX,Black Box Limited,3.234122334192644
223,BBTC,Bombay Burmah Trading Corporation Limited,-1.8389537505637141
224,BBTCL,B&B Triplewall Containers Limited,1.4882182720132262
225,BCG,Brightcom Group Limited,-5.000000000000009
226,BCLIND,Bcl Industries Limited,2.8029592581014873
227,BCONCEPTS,Brand Concepts Limited,
228,BDL,Bharat Dynamics Limited,1.5181107954545372
229,BEARDSELL,Beardsell Limited,
230,BECTORFOOD,Mrs. Bectors Food Specialities Limited,-3.0094102301313663
231,BEDMUTHA,Bedmutha Industries Limited,0.07122507122506717
232,BEL,Bharat Electronics Limited,3.4909909909909955
233,BEML,BEML Limited,1.1533394142089721
234,BEPL,Bhansali Engineering Polymers Limited,-0.05370569280343412
235,BERGEPAINT,Berger Paints (I) Limited,0.17394934595045924
236,BESTAGRO,Best Agrolife Limited,
237,BFINVEST,BF Investment Limited,-3.324230153498463
238,BFUTILITIE,BF Utilities Limited,-2.400464138081089
239,BGLOBAL,Bharatiya Global Infomedia Limited,
240,BGRENERGY,BGR Energy Systems Limited,1.9794140934283566
241,BHAGCHEM,Bhagiradha Chemicals & Industries Limited,-0.21097919166013168
242,BHAGERIA,Bhageria Industries Limited,-0.30385900941962923
243,BHAGYANGR,Bhagyanagar India Limited,6.859756097560976
244,BHANDARI,Bhandari Hosiery Exports Limited,
245,BHARATFORG,Bharat Forge Limited,0.7894613911337457
246,BHARATGEAR,Bharat Gears Limited,0.6048387096774194
247,BHARATRAS,Bharat Rasayan Limited,0.32642385126979845
248,BHARATWIRE,Bharat Wire Ropes Limited,2.5510204081632653
249,BHARTIARTL,Bharti Airtel Limited,1.115133115366659
250,BHEL,Bharat Heavy Electricals Limited,12.288659793814439
251,BIGBLOC,Bigbloc Construction Limited,-1.921422426154284
252,BIKAJI,Bikaji Foods International Limited,-2.238057005218783
253,BIL,Bhartiya International Limited,
254,BINANIIND,Binani Industries Limited,
255,BINDALAGRO,Oswal Chemicals & Fertilizers Limited,
256,BIOCON,Biocon Limited,0.5590900327742389
257,BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,0.6256517205422255
258,BIRLACABLE,Birla Cable Limited,9.988366295496078
259,BIRLACORPN,Birla Corporation Limited,1.8923739504937576
260,BIRLAMONEY,Aditya Birla Money Limited,1.5884476534295946
261,BIRLATYRE,Birla Tyres Limited,
262,BKMINDST,Bkm Industries Limited,
263,BLAL,BEML Land Assets Limited,0.7550335570469766
264,BLBLIMITED,BLB Limited,1.793721973094164
265,BLISSGVS,Bliss GVS Pharma Limited,0.7227671657201888
266,BLKASHYAP,B. L. Kashyap and Sons Limited,1.9811320754716928
267,BLS,BLS International Services Limited,-0.6086956521739131
268,BLUECHIP,Blue Chip India Limited,
269,BLUECOAST,Blue Coast Hotels Limited,
270,BLUEDART,Blue Dart Express Limited,0.005571562743761662
271,BLUESTARCO,Blue Star Limited,0.6482544398676419
272,BODALCHEM,Bodal Chemicals Limited,3.0965391621129466
273,BOHRAIND,Bohra Industries Limited,
274,BOMDYEING,Bombay Dyeing & Mfg Company Limited,4.285172544558215
275,BOROLTD,Borosil Limited,-1.1121302453565747
276,BORORENEW,BOROSIL RENEWABLES LIMITED,1.3575176819529977
277,BOSCHLTD,Bosch Limited,2.2232870406512424
278,BPCL,Bharat Petroleum Corporation Limited,1.0717956247247034
279,BPL,BPL Limited,5.722460658082975
280,BRIGADE,Brigade Enterprises Limited,0.37112010796222095
281,BRITANNIA,Britannia Industries Limited,0.37155167589951016
282,BRNL,Bharat Road Network Limited,14.391691394658734
283,BROOKS,Brooks Laboratories Limited,
284,BSE,BSE Limited,5.965655139967075
285,BSHSL,Bombay Super Hybrid Seeds Limited,
286,BSL,BSL Limited,
287,BSOFT,BIRLASOFT LIMITED,3.659015106925649
288,BTML,Bodhi Tree Multimedia Limited,
289,BURNPUR,Burnpur Cement Limited,0.0
290,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,0.3546976820918877
291,BVCL,Barak Valley Cements Limited,
292,BYKE,The Byke Hospitality Ltd,1.0309278350515612
293,CALSOFT,California Software Company Limited,-1.0600706713780943
294,CAMLINFINE,Camlin Fine Sciences Limited,5.084745762711869
295,CAMPUS,Campus Activewear Limited,0.6461232604373719
296,CAMS,Computer Age Management Services Limited,-0.8145825001578612
297,CANBK,Canara Bank,2.4968789013732837
298,CANFINHOME,Can Fin Homes Limited,1.1512610634191758
299,CANTABIL,Cantabil Retail India Limited,-0.4869971754163826
300,CAPACITE,Capacit'e Infraprojects Limited,10.183397683397695
301,CAPLIPOINT,Caplin Point Laboratories Limited,3.7573348476244606
302,CAPTRUST,Capital Trust Limited,2.8888888888888826
303,CARBORUNIV,Carborundum Universal Limited,0.008800880088000796
304,CAREERP,Career Point Limited,
305,CARERATING,CARE Ratings Limited,-0.7812969529418835
306,CARTRADE,Cartrade Tech Limited,2.517952913371516
307,CARYSIL,CARYSIL LIMITED,4.409461152882202
308,CASTROLIND,Castrol India Limited,-1.2435233160621841
309,CCCL,Consolidated Construction Consortium Limited,
310,CCHHL,Country Club Hospitality & Holidays Limited,
311,CCL,CCL Products (India) Limited,-0.2887788778877888
312,CDSL,Central Depository Services (India) Limited,0.26351618428565154
313,CEATLTD,CEAT Limited,0.13093071767787817
314,CELEBRITY,Celebrity Fashions Limited,-1.7543859649122702
315,CENTENKA,Century Enka Limited,0.07007708479326197
316,CENTEXT,Century Extrusions Limited,6.0747663551401905
317,CENTRALBK,Central Bank of India,0.2869440459110514
318,CENTRUM,Centrum Capital Limited,-0.8316008316008286
319,CENTUM,Centum Electronics Limited,
320,CENTURYPLY,Century Plyboards (India) Limited,0.9416745747864707
321,CENTURYTEX,Century Textiles & Industries Limited,4.2343218279047115
322,CERA,Cera Sanitaryware Limited,0.4112672500841314
323,CEREBRAINT,Cerebra Integrated Technologies Limited,
324,CESC,CESC Limited,3.90625
325,CGCL,Capri Global Capital Limited,0.8190571464299055
326,CGPOWER,CG Power and Industrial Solutions Limited,-1.257715150809371
327,CHALET,Chalet Hotels Limited,-1.8958635703918802
328,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,1.3626453488372092
329,CHEMBOND,Chembond Chemicals Ltd,0.31664839848983345
330,CHEMCON,Chemcon Speciality Chemicals Limited,-0.30303030303031114
331,CHEMFAB,Chemfab Alkalis Limited,-0.4353741496598701
332,CHEMPLASTS,Chemplast Sanmar Limited,1.6735596806771051
333,CHENNPETRO,Chennai Petroleum Corporation Limited,-1.6918860955558124
334,CHEVIOT,Cheviot Company Limited,-0.09234385493621024
335,CHOICEIN,Choice International Limited,4.5223367697594465
336,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,0.6239693363640416
337,CHOLAHLDNG,Cholamandalam Financial Holdings Limited,-2.057717711614673
338,CIGNITITEC,Cigniti Technologies Limited,0.06847183317770987
339,CINELINE,Cineline India Limited,
340,CINEVISTA,Cinevista Limited,-1.0563380281690042
341,CIPLA,Cipla Limited,-0.9701017811704691
342,CLEAN,Clean Science and Technology Limited,-0.3949920648915471
343,CLEDUCATE,CL Educate Limited,0.8939974457215872
344,CLSEL,Chaman Lal Setia Exports Limited,-0.7848908511160139
345,CMICABLES,CMI Limited,
346,CMSINFO,CMS Info Systems Limited,-0.8166089965397894
347,COALINDIA,Coal India Limited,2.9776135622690694
348,COASTCORP,Coastal Corporation Limited,2.0352035203520398
349,COCHINSHIP,Cochin Shipyard Limited,0.3091531412167334
350,COFFEEDAY,Coffee Day Enterprises Limited,12.727272727272734
351,COFORGE,Coforge Limited,-0.2661690859698741
352,COLPAL,Colgate Palmolive (India) Limited,-0.13645374732884652
353,COMPINFO,Compuage Infocom Limited,0.3759398496240521
354,COMPUSOFT,Compucom Software Limited,7.764705882352935
355,CONCOR,Container Corporation of India Limited,2.171326591314697
356,CONFIPET,Confidence Petroleum India Limited,5.055555555555553
357,CONSOFINVT,Consolidated Finvest & Holdings Limited,
358,CONTROLPR,Control Print Limited,2.8187393971029655
359,CORALFINAC,Coral India Finance & Housing Limited,-1.2880562060890028
360,CORDSCABLE,Cords Cable Industries Limited,
361,COROMANDEL,Coromandel International Limited,1.8378477473761357
362,COSMOFIRST,COSMO FIRST LIMITED,-0.9402882635552535
363,COUNCODOS,Country Condo's Limited,-2.40963855421688
364,CRAFTSMAN,Craftsman Automation Limited,-0.4646103169923418
365,CREATIVE,Creative Newtech Limited,-1.3309596473380654
366,CREATIVEYE,Creative Eye Limited,3.030303030303033
367,CREDITACC,CREDITACCESS GRAMEEN LIMITED,-0.44858888771148386
368,CREST,Crest Ventures Limited,1.5037593984962383
369,CRISIL,CRISIL Limited,-1.0476874063440471
370,CROMPTON,Crompton Greaves Consumer Electricals Limited,0.9998333611064822
371,CROWN,Crown Lifters Limited,
372,CSBBANK,CSB Bank Limited,-0.9234029669997007
373,CSLFINANCE,CSL Finance Limited,-0.8810572687224705
374,CTE,Cambridge Technology Enterprises Limited,
375,CUB,City Union Bank Limited,1.7828200972447232
376,CUBEXTUB,Cubex Tubings Limited,
377,CUMMINSIND,Cummins India Limited,-0.10247401551749377
378,CUPID,Cupid Limited,2.2042716319824787
379,CYBERMEDIA,Cyber Media (India) Limited,1.64383561643836
380,CYBERTECH,Cybertech Systems And Software Limited,
381,CYIENT,Cyient Limited,4.4217790942681825
382,DAAWAT,LT Foods Limited,-0.4232164449818725
383,DABUR,Dabur India Limited,0.0451997830410414
384,DALBHARAT,Dalmia Bharat Limited,1.8464785017145868
385,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,0.85744908896034
386,DAMODARIND,Damodar Industries Limited,3.4663865546218453
387,DANGEE,Dangee Dums Limited,1.5999999999999945
388,DATAMATICS,Datamatics Global Services Limited,0.3820184790334206
389,DATAPATTNS,Data Patterns (India) Limited,4.1143242559649424
390,DBCORP,D.B.Corp Limited,0.46337157987643923
391,DBL,Dilip Buildcon Limited,-2.0544818140313494
392,DBOL,Dhampur Bio Organics Limited,1.0290556900726495
393,DBREALTY,D B Realty Limited,-0.6944444444444332
394,DBSTOCKBRO,DB (International) Stock Brokers Limited,-2.8813559322033946
395,DCAL,Dishman Carbogen Amcis Limited,1.0233450591621327
396,DCBBANK,DCB Bank Limited,0.5143591941705908
397,DCI,Dc Infotech And Communication Limited,
398,DCM,DCM  Limited,0.5148005148005038
399,DCMFINSERV,DCM Financial Services Limited,
400,DCMNVL,DCM Nouvelle Limited,3.3481481481481516
401,DCMSHRIRAM,DCM Shriram Limited,10.991309945284833
402,DCMSRIND,DCM Shriram Industries Limited,5.912294440093968
403,DCW,DCW Limited,0.18484288354898598
404,DCXINDIA,DCX Systems Limited,2.183014354066989
405,DECCANCE,Deccan Cements Limited,1.3669821240799334
406,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,-0.5108346378841596
407,DEEPAKNTR,Deepak Nitrite Limited,0.27252252252253073
408,DEEPENR,DEEP ENERGY RESOURCES LIMITED,
409,DEEPINDS,Deep Industries Limited,-0.6311074918566706
410,DELHIVERY,Delhivery Limited,0.14857142857142336
411,DELPHIFX,DELPHI WORLD MONEY LIMITED,1.0975932293044106
412,DELTACORP,Delta Corp Limited,0.9392265193370103
413,DELTAMAGNT,Delta Manufacturing Limited,2.133194588969835
414,DEN,Den Networks Limited,4.30622009569379
415,DENORA,De Nora India Limited,-0.6651817044518409
416,DEVIT,Dev Information Technology Limited,
417,DEVYANI,Devyani International Limited,0.7155635062611836
418,DGCONTENT,Digicontent Limited,-3.4567901234567864
419,DHAMPURSUG,Dhampur Sugar Mills Limited,1.5369458128078728
420,DHANBANK,Dhanlaxmi Bank Limited,-0.6263048016701402
421,DHANI,Dhani Services Limited,
422,DHANUKA,Dhanuka Agritech Limited,-0.20866266202971576
423,DHARMAJ,Dharmaj Crop Guard Limited,1.4729950900163693
424,DHARSUGAR,Dharani Sugars&Chemicals Limited,
425,DHRUV,Dhruv Consultancy Services Limited,-0.6323396567299032
426,DHUNINV,Dhunseri Investments Limited,-0.803779172248457
427,DIAMONDYD,Prataap Snacks Limited,0.8421843149876648
428,DICIND,DIC India Limited,2.7358592986646326
429,DIGISPICE,DiGiSPICE Technologies Limited,
430,DIGJAMLMTD,Digjam Limited,
431,DIL,Debock Industries Limited,-1.4778325123152742
432,DISHTV,Dish TV India Limited,-1.092896174863384
433,DIVGIITTS,Divgi Torqtransfer Systems Limited,2.2620734765071404
434,DIVISLAB,Divi's Laboratories Limited,-0.07794883215945345
435,DIXON,Dixon Technologies (India) Limited,1.0671782727299906
436,DJML,DJ Mediaprint & Logistics Limited,0.1953125000000074
437,DLF,DLF Limited,-0.16861733782980018
438,DLINKINDIA,D-Link (India) Limited,0.07665184730952017
439,DMART,Avenue Supermarts Limited,1.0926244489839827
440,DMCC,DMCC SPECIALITY CHEMICALS LIMITED,4.567022538552798
441,DNAMEDIA,Diligent Media Corporation Limited,1.6666666666666607
442,DODLA,Dodla Dairy Limited,-0.3169465237035569
443,DOLATALGO,Dolat Algotech Limited,0.7992007992008107
444,DOLLAR,Dollar Industries Limited,0.636353118130279
445,DONEAR,Donear Industries Limited,0.047778308647871144
446,DPABHUSHAN,D. P. Abhushan Limited,7.486865148861643
447,DPSCLTD,DPSC Limited,4.964539007092206
448,DPWIRES,D P Wires Limited,0.14065738821439822
449,DRCSYSTEMS,DRC Systems India Limited,1.8801410105758032
450,DREAMFOLKS,Dreamfolks Services Limited,0.5751685838952864
451,DREDGECORP,Dredging Corporation of India Limited,1.9213627810240528
452,DRREDDY,Dr. Reddy's Laboratories Limited,-0.5224818780816209
453,DSSL,Dynacons Systems & Solutions Limited,1.3594534300055772
454,DTIL,Dhunseri Tea & Industries Limited,0.7777515908555294
455,DUCON,Ducon Infratechnologies Limited,
456,DVL,Dhunseri Ventures Limited,0.8344653599844885
457,DWARKESH,Dwarikesh Sugar Industries Limited,0.7274762171236774
458,DYCL,Dynamic Cables Limited,
459,DYNAMATECH,Dynamatic Technologies Limited,0.6014372005832094
460,DYNPRO,Dynemic Products Limited,0.46290343320045124
461,E2E,E2E Networks Limited,
462,EASEMYTRIP,Easy Trip Planners Limited,-1.8050541516245486
463,EASTSILK,Eastern Silk Industries Limited,
464,ECLERX,eClerx Services Limited,0.04002216612278129
465,EDELWEISS,Edelweiss Financial Services Limited,-0.18365472910927716
466,EDUCOMP,Educomp Solutions Limited,
467,EICHERMOT,Eicher Motors Limited,1.9121261164059278
468,EIDPARRY,EID Parry India Limited,-0.1569530187297269
469,EIFFL,Euro India Fresh Foods Limited,0.7368421052631658
470,EIHAHOTELS,EIH Associated Hotels Limited,0.9298048431592836
471,EIHOTEL,EIH Limited,9.403254972875228
