,Index Name,ind_close_all_26052023.csv,ind_close_all_25052023.csv,ind_close_all_24052023.csv,ind_close_all_23052023.csv,ind_close_all_22052023.csv,ind_close_all_19052023.csv,ind_close_all_18052023.csv,ind_close_all_17052023.csv,ind_close_all_16052023.csv,ind_close_all_15052023.csv,ind_close_all_12052023.csv,ind_close_all_11052023.csv,ind_close_all_10052023.csv,ind_close_all_09052023.csv,ind_close_all_08052023.csv,ind_close_all_05052023.csv,ind_close_all_04052023.csv,ind_close_all_03052023.csv,ind_close_all_02052023.csv
37,Nifty Shariah 25,.92,.25,-.04,.63,1.72,.38,-.58,-.73,-.03,.11,-.31,.57,.15,.32,.52,-.08,.7,-.25,.64
38,India VIX,-4.95,-4.52,4.03,.28,2.17,-3.85,-2.37,-1.41,.91,2.49,-2.74,1.01,3.19,.34,2.77,4.79,-.91,-.48,8.68
39,Nifty Growth Sectors 15,1.36,.17,.51,.02,1.06,.32,-.88,-.4,-.35,.46,.39,.43,.23,-.07,.7,.37,.5,-.09,.36
40,Nifty50 TR 1x Inverse,-.96,-.16,.35,-.16,-.56,-.4,.3,.59,.43,-.4,-.07,.12,-.26,0,-1.02,1.06,-.91,.33,-.37
41,Nifty50 TR 2x Leverage,1.93,.37,-.7,.35,1.17,.81,-.59,-1.16,-.84,.86,.18,-.22,.52,0,2.11,-2.07,1.82,-.66,.84
42,Nifty50 PR 1x Inverse,-.95,-.18,.36,-.18,-.55,-.39,.32,.6,.62,-.4,-.08,.12,-.26,.02,-1.02,1.03,-.89,.34,-.39
43,Nifty50 PR 2x Leverage,1.93,.37,-.7,.35,1.17,.79,-.59,-1.16,-1.24,.86,.18,-.22,.52,0,2.11,-2.06,1.82,-.66,.84
44,NIFTY100 Quality 30,1.18,.43,.11,-.02,.9,.07,-.47,-.37,-.2,.6,.22,.59,.4,.2,.79,-.21,.45,.08,.53
45,Nifty Mahindra Group,.49,-.07,.68,-.26,1.21,1.29,-.88,-.08,-1.11,1.26,.98,.09,-.03,.39,1.48,-1.29,.72,0,1.58
46,Nifty 50 Futures TR Index,.85,.2,-.33,.22,.63,.29,-.25,-.55,-.46,.52,-.09,.06,.23,0,1.05,-.88,.82,-.33,.64
47,Nifty Tata Group,1.08,-.07,.11,.07,1.3,.6,-.62,-1.2,0,.03,-.23,.06,.16,.78,1.07,.15,.87,-.62,.37
48,Nifty Tata Group 25% Cap,1.13,.2,-.03,.16,.6,.46,-.88,-.98,-.02,.46,-.19,.14,.25,.54,1.52,.01,.54,-.17,.77
49,Nifty Private Bank,.78,.09,-.61,.22,-.26,.45,.32,-.46,-.58,.77,.62,.36,.52,.14,1.7,-2.82,.62,.06,.31
50,Nifty Smallcap 250,.46,.3,.04,.12,.4,-.04,-.41,.43,.04,.73,-.39,.71,.51,-.42,.74,-.55,.86,.14,.64
51,Nifty Smallcap 50,.97,.4,-.13,.12,.53,-.12,-.61,.09,-.17,.89,-.79,.46,.07,-.15,.81,-.87,.57,-.19,.57
52,Nifty MidSmallcap 400,.66,.31,.11,.42,.49,-.1,-.52,.1,.17,.62,-.33,.45,.23,-.1,.86,-.62,.72,.21,.74
53,Nifty Midcap 150,.76,.31,.15,.58,.54,-.13,-.57,-.07,.23,.56,-.3,.31,.08,.06,.93,-.65,.65,.25,.78
