,Index Name,ind_close_all_28032025.csv,ind_close_all_27032025.csv,ind_close_all_26032025.csv,ind_close_all_25032025.csv,ind_close_all_24032025.csv,ind_close_all_21032025.csv,ind_close_all_20032025.csv,ind_close_all_19032025.csv,ind_close_all_18032025.csv,ind_close_all_17032025.csv,ind_close_all_13032025.csv,ind_close_all_12032025.csv,ind_close_all_11032025.csv,ind_close_all_10032025.csv,ind_close_all_07032025.csv,ind_close_all_06032025.csv,ind_close_all_05032025.csv,ind_close_all_04032025.csv,ind_close_all_03032025.csv
35,Nifty50 Value 20,-.79,.34,-.81,-.05,1.41,.64,1.05,-.1,1.62,.33,-.24,-.8,-.2,-.28,-.52,.84,1.6,-.03,.46
36,Nifty Midcap Liquid 15,.53,0,-.83,-1.44,2.08,.9,.14,2.27,2.62,.75,-.56,-.83,.38,-1.63,-.82,-.2,3.24,-.58,1.04
37,Nifty Shariah 25,-.36,.72,-.75,-.04,1.05,.88,.92,.17,1.45,.48,-.34,-.92,.14,-.68,-.15,1.12,1.58,-.4,.22
38,India VIX,-4.38,-1.26,-1.21,-.47,8.95,-.22,-5.23,.66,-1.53,1.02,-3.01,-2.7,.63,3.82,-1.86,.4,-1.16,.49,-1.06
39,Nifty Growth Sectors 15,-1.13,-.2,-.67,.18,.6,.11,1.41,-.77,1.51,.28,-.39,-.84,-.44,-.04,-.47,.85,1.69,-.67,.25
40,Nifty50 TR 1x Inverse,.31,-.42,.79,-.03,-1.28,-.67,-1.21,-.33,-1.43,-.43,.35,.13,-.13,.46,-.03,-.91,-1.14,.19,.05
41,Nifty50 TR 2x Leverage,-.63,.88,-1.55,.07,2.58,1.36,2.45,.62,2.88,.93,-.67,-.26,.33,-.87,.06,1.84,2.29,-.35,-.1
42,Nifty50 PR 1x Inverse,.33,-.44,.79,-.05,-1.25,-.69,-1.22,-.29,-1.42,-.44,.36,.13,-.16,.47,-.02,-.91,-1.14,.18,.09
43,Nifty50 PR 2x Leverage,-.63,.88,-1.55,.07,2.59,1.36,2.45,.62,2.88,.93,-.67,-.26,.32,-.87,.05,1.84,2.29,-.35,-.1
44,NIFTY100 Quality 30,-.47,.51,-.35,-.23,1.18,.57,1.23,.03,1.53,.15,-.5,-.63,.16,-.57,-.03,1.03,1.64,-.7,.26
