,Index Name,ind_close_all_23042026.csv,ind_close_all_22042026.csv,ind_close_all_21042026.csv,ind_close_all_20042026.csv,ind_close_all_17042026.csv,ind_close_all_16042026.csv,ind_close_all_15042026.csv,ind_close_all_13042026.csv,ind_close_all_10042026.csv,ind_close_all_09042026.csv,ind_close_all_08042026.csv,ind_close_all_07042026.csv,ind_close_all_06042026.csv,ind_close_all_02042026.csv,ind_close_all_01042026.csv
43,Nifty50 PR 2x Leverage,-1.7,-1.63,1.72,.05,1.28,-.3,3.23,-1.77,2.3,-1.87,7.54,1.34,2.2,.28,3.08
44,NIFTY100 Quality 30,-.33,-.44,1.2,-.16,1.22,.56,1.76,-1.01,.78,.54,1.99,1.09,1.04,.41,2
45,Nifty Mahindra Group,,,,,,,,,,,,,,,
46,Nifty 50 Futures TR Index,-.91,-.81,1.05,-.1,.73,-.16,1.62,-.96,1.02,-.8,3.93,.42,1.34,-.13,1.71
47,Nifty Tata Group,,,,,,,,,,,,,,,
48,Nifty Tata Group 25% Cap,,,,,,,,,,,,,,,
49,Nifty Private Bank,-1.31,-.73,1.5,-.34,.78,-.56,1.23,-.29,1.98,-1.75,5.56,.49,2.16,.39,1.76
50,Nifty Smallcap 250,-.55,1.03,.82,-.36,1.48,.92,2.32,-.41,1.61,.13,3.91,.13,1.07,-.17,3.22
51,Nifty Smallcap 50,-.67,1.23,.91,-.52,1.64,.64,2.38,-.43,1.67,-.14,4.62,-.17,1.43,-.54,2.7
52,Nifty MidSmallcap 400,-.46,.49,.62,-.18,1.3,.73,2.24,-.52,1.6,.22,3.95,.11,1.32,-.27,2.57
53,Nifty Midcap 150,-.41,.22,.53,-.09,1.22,.63,2.2,-.58,1.6,.27,3.97,.1,1.44,-.32,2.26
54,Nifty Midcap Select,-.65,.15,.81,-.23,1.13,.97,2.13,-1.02,1.51,-.1,4.75,.3,1.52,-.53,2.48
55,NIFTY LargeMidcap 250,-.67,-.15,.68,-.02,1,.35,1.97,-.71,1.46,-.23,3.96,.37,1.31,-.09,2
56,NIFTY SME EMERGE,-.32,.54,.37,-.1,1.32,.63,2.6,-.17,1.32,-.21,4.03,1.74,2.42,2.44,5.8
57,Nifty Oil & Gas,-.76,.51,.07,.21,1.38,-.17,2.16,-1.41,.91,-.39,3.61,.5,-1.37,-.79,1.31
58,Nifty Financial Services 25/50,-1.38,-.87,1.01,.07,.61,-.2,1.6,-.51,2.11,-1.27,5.42,.34,2.27,.09,1.87
59,Nifty Healthcare Index,2.11,-.15,.25,-.16,.41,.08,1.9,-.28,.12,.71,.61,.21,.21,-.86,-1.02
60,Nifty500 Multicap 50:25:25,-.7,.06,.75,-.09,1.07,.43,2,-.67,1.46,-.26,3.94,.38,1.22,-.06,2.24
61,Nifty Microcap 250,-.22,1.29,1.06,-.56,1.18,1.18,2.54,-.04,2.11,-.07,4.19,.33,1.06,.67,4.62
62,Nifty Total Market,-.76,-.16,.78,-.04,.95,.3,1.9,-.72,1.43,-.44,3.96,.48,1.22,.04,2.08
63,Nifty India Digital,-.59,-1.9,.68,-.47,.44,1.15,2.63,-1.17,-.15,-.29,2.3,1.21,.85,1.56,2.24
64,Nifty Mobility,-1.8,-.05,.5,.28,.44,.32,2.35,-2.12,2.42,-.78,6.31,.1,.87,-.76,2.33
65,Nifty India Defence,.45,1.35,.75,-.61,1.48,1.64,2.54,.42,1.5,1.56,3.23,1.03,1.57,.04,5.32
66,Nifty Financial Services Ex-Bank,-1.03,-.46,.42,-.14,1.12,.54,2.53,-1.19,1.89,-.32,6.14,.08,2.72,-.3,2.54
67,Nifty Housing,-1.06,.46,.81,.38,.88,.51,1.91,-.03,1.67,-.75,4.93,.46,1.96,-.16,1.65
68,Nifty Transportation & Logistics,-1.92,-.25,.63,.34,.3,.3,2.16,-1.99,2.45,-.79,6.33,.03,1.04,-.76,2.52
69,Nifty MidSmall Financial Services,-.35,-.08,.6,-.55,1.48,.87,2.34,-.57,1.51,.19,5.65,-.22,2.65,-.62,3.27
70,Nifty MidSmall Healthcare,1.08,.5,.36,-.32,.97,-.17,1.87,-.4,1.11,.51,1.33,.14,.75,-.68,.77
71,Nifty MidSmall IT & Telecom,-.23,-2.25,.85,-1.49,.2,1.02,1.95,-.43,-.18,.36,2.32,.84,.84,2.09,2.96
72,Nifty MidSmall India Consumption,-1.03,.46,.93,.2,1.36,.46,2.43,-.9,1.55,-.22,3.39,-.01,1.5,.17,1.52
73,Nifty REITs & InvITs,-.36,-.56,.44,-.75,-.06,-.39,.13,-.11,.58,.46,1.64,.33,.43,.68,.06
74,Nifty Consumer Durables,-1.97,.29,-.02,-.21,1.2,.58,2.91,-.44,1.74,-.24,5.23,-.19,2.6,-.93,1.92
75,Nifty Non-Cyclical Consumer,-.75,.4,1.66,.16,1.63,.3,2.01,-1.06,1.35,-.69,2.91,.33,1.52,.16,2.25
76,Nifty India Manufacturing,-.66,.18,.09,-.02,.87,.59,2.03,-1.08,1.62,.47,3.74,.64,.58,-.51,1.59
77,NIFTY100 Alpha 30,-1.41,.34,-.01,.11,1.07,.57,1.87,-1.09,2.13,.18,4.78,.28,1.46,-.19,2.72
78,NIFTY500 Value 50,-.94,.5,.3,.06,.96,.36,1.94,-.38,.85,.42,3,.52,1.22,-.29,1.89
79,Nifty100 Low Volatility 30,-.18,-.85,.86,-.04,.84,-.09,1.62,-.91,1.01,-.44,3.08,.63,1.37,.1,.92
80,NIFTY Alpha Low-Volatility 30,-.62,-.37,.63,.24,.9,-.38,1.41,-.99,1.67,-.5,3.62,.28,1.32,-.37,.84
81,NIFTY Quality Low-Volatility 30,-.21,-.49,1.3,-.02,1.49,-.08,1.46,-1.26,.85,.01,2.22,.73,1.07,.17,1.08
82,NIFTY Alpha Quality Low-Volatility 30,-.07,-.04,.89,.19,1.69,.03,1.33,-1.33,1.46,.27,2.62,.37,1.01,-.06,1.23
83,NIFTY Alpha Quality Value Low-Volatility 30,-.2,-.8,.9,-.02,1.31,-.16,1.63,-1.32,.98,-.06,2.54,.65,.9,.17,1.25
84,NIFTY200 Quality 30,-.59,-.75,.76,-.15,1.72,.53,2.01,-1.16,.82,.44,1.95,1.02,1.18,.45,2.37
85,NIFTY Midcap150 Quality 50,-.71,-.05,.25,-.05,1.97,.31,2.31,-1.11,1.85,.4,3.19,.36,1.03,-.18,2.51
86,Nifty200 Momentum 30,-1.3,-.22,.41,.26,.84,-.01,1.76,-1.66,2.26,-.26,5.73,.23,2.21,-.53,2.58
87,Nifty100 ESG Sector Leaders,-1.11,-.6,.94,.12,.78,.04,1.7,-.82,1.27,-.79,3.88,.75,1.16,.21,1.57
88,Nifty200 Alpha 30,-.57,.29,.11,.01,.96,.27,1.68,-.74,2.21,.32,5.18,.03,2.25,-.41,2.75
89,Nifty Midcap150 Momentum 50,-.42,-.05,.53,-.05,1.15,-.04,1.67,-1.14,2.12,.22,5.26,-.19,1.88,-.5,2.44
90,Nifty Smallcap250 Quality 50,-.31,.81,.6,-.62,1.79,.89,2.55,-.22,1.32,.06,3.67,.08,.75,.27,3.55
91,NIFTY100 ESG,-1.11,-.68,.83,.15,.8,.29,1.81,-.83,1.24,-.53,3.8,.89,1.45,.38,1.81
92,NIFTY100 Enhanced ESG,-1.1,-.67,.84,.16,.8,.28,1.81,-.84,1.24,-.54,3.8,.87,1.45,.38,1.8
93,NIFTY50 Equal Weight,-.43,-.44,.7,.09,.68,.14,1.92,-.84,1.06,-.34,3.33,.61,1.43,0,1.52
94,Nifty 50 Futures Index,-.93,-.83,1.04,-.15,.71,-.17,1.59,-1.01,1,-.82,3.92,.41,1.28,-.15,1.67
95,Nifty 50 Arbitrage,.04,.02,-.1,.14,-.04,.02,.04,.11,.1,-.07,-.08,.18,-.08,.2,-.06
96,Nifty Aditya Birla Group,,,,,,,,,,,,,,,
97,Nifty 8-13 yr G-Sec,-.27,-.15,.08,.06,-.08,-.08,.34,.01,.32,-.29,.92,.01,.53,-.6,.02
98,Nifty 4-8 yr G-Sec Index,-.14,-.12,.07,.12,.05,-.1,.28,-.07,.07,-.12,.92,.21,.34,-.31,.02
99,Nifty 11-15 yr G-Sec Index,-.35,-.15,.15,.12,-.08,-.1,.49,-.13,.26,-.22,1.27,.16,.84,-.72,.02
100,Nifty 15 yr and above G-Sec Index,-.37,-.03,0,.15,-.02,.06,.49,-.15,.77,-.35,1.58,.35,.89,-.62,.02
101,Nifty Composite G-sec Index,-.25,-.14,.08,.08,-.05,-.05,.38,-.06,.35,-.27,1.05,.12,.62,-.55,.02
102,Nifty 10 yr Benchmark G-Sec,-.23,-.18,.07,.06,-.07,-.06,.44,-.1,.32,-.33,.94,.02,.56,-.67,.02
103,Nifty 10 yr Benchmark G-Sec (Clean Price),-.25,-.2,.05,.04,-.09,-.08,.42,-.12,.31,-.35,.92,.01,.54,-.71,0
104,Nifty 1D Rate Index,.01,.01,.01,.04,.01,.01,.03,.04,.01,.01,.01,.01,.05,.05,.03
105,Nifty50 USD,,-1.13,.46,-.16,.95,.05,1.63,-1.56,1.09,-1.02,4.24,.75,1.18,2.02,1.56
