,Index Name,ind_close_all_30062025.csv,ind_close_all_27062025.csv,ind_close_all_26062025.csv,ind_close_all_25062025.csv,ind_close_all_24062025.csv,ind_close_all_23062025.csv,ind_close_all_20062025.csv,ind_close_all_19062025.csv,ind_close_all_18062025.csv,ind_close_all_17062025.csv,ind_close_all_16062025.csv,ind_close_all_13062025.csv,ind_close_all_12062025.csv,ind_close_all_11062025.csv,ind_close_all_10062025.csv,ind_close_all_09062025.csv,ind_close_all_06062025.csv,ind_close_all_05062025.csv,ind_close_all_04062025.csv,ind_close_all_03062025.csv,ind_close_all_02062025.csv
33,Nifty100 Liquid 15,-.31,.45,1.43,.8,.2,.09,1.67,-.2,.17,-.68,.72,-.74,-1.27,-.13,-.29,.94,1.34,.65,.7,-.92,-.19
34,Nifty CPSE,.24,.41,.94,-.5,-1.22,.79,1.65,-.7,-.73,-.55,1.34,.22,-1.51,-.26,.32,.93,.61,.91,.72,-.99,.29
35,Nifty50 Value 20,-.24,.26,.52,.85,.03,-.96,.78,-.3,-.43,-.11,.81,-.62,-1.07,.57,.62,.42,.79,.46,.01,-.71,-.17
36,Nifty Midcap Liquid 15,.82,-.01,.18,.05,.72,.86,2.03,-1.7,-.54,-.31,.81,-.57,-1.85,-.83,-.04,1.12,2.04,1.42,1.1,-.73,.64
37,Nifty Shariah 25,-.02,.4,.42,.69,.06,-.54,.79,-.56,-.66,-.31,1.07,-.26,-.99,.41,.75,.54,.68,.36,.24,-.7,.05
38,India VIX,3.21,-1.61,-2.87,-4.98,-2.88,2.74,-4.09,-.14,-.89,-2.93,-1.61,7.6,2.54,-2.48,-4.61,.43,-3,-4.21,-4.89,-3.51,6.72
39,Nifty Growth Sectors 15,-.1,.18,.05,1.05,.13,-.92,1.07,0,-.13,-.33,.88,-.3,-1,.57,.41,.4,.78,.16,.39,-.43,.08
40,Nifty50 TR 1x Inverse,.52,-.49,-1.2,-.78,-.3,.6,-1.27,.09,.18,.39,-.88,.68,1.02,-.12,0,-.36,-1,-.53,-.32,.68,.18
41,Nifty50 TR 2x Leverage,-.99,.99,2.4,1.59,.57,-1.13,2.56,-.17,-.35,-.76,1.8,-1.37,-2.03,.28,.01,.76,2.02,1.05,.7,-1.35,-.32
42,Nifty50 PR 1x Inverse,.53,-.33,-1.19,-.79,-.27,.59,-1.26,.07,.2,.39,-.9,.71,1.01,-.12,0,-.34,-1.02,-.51,-.29,.7,.19
43,Nifty50 PR 2x Leverage,-.99,.68,2.4,1.59,.57,-1.16,2.56,-.17,-.35,-.76,1.8,-1.38,-2.03,.28,-.01,.76,2.02,1.05,.62,-1.42,-.32
44,NIFTY100 Quality 30,-.12,.25,.44,.52,.19,-.49,.79,-.42,-.35,-.14,.86,-.29,-.98,-.05,.53,.63,.5,.36,.24,-.43,.09
45,Nifty Mahindra Group,,,,,,,,,,,,,,,,,,,,,
46,Nifty 50 Futures TR Index,-.48,.54,1.1,.71,.33,-.4,1.26,-.08,-.15,-.49,1.14,-.83,-1.07,.22,-.07,.39,.96,.55,.24,-.59,-.13
47,Nifty Tata Group,,,,,,,,,,,,,,,,,,,,,
48,Nifty Tata Group 25% Cap,,,,,,,,,,,,,,,,,,,,,
49,Nifty Private Bank,-.88,.31,1.03,-.03,.73,-.17,1.03,-.3,.39,-.35,.86,-.91,-.79,-.26,-.17,1.03,1.79,-.1,.08,-1.17,.34
50,Nifty Smallcap 250,.88,.81,.26,1.6,.78,.77,.62,-1.93,-.2,-.69,.5,-.38,-1.44,-.09,.17,1.33,.65,.66,.53,.1,.72
51,Nifty Smallcap 50,.73,.52,.33,1.46,.77,.74,1.19,-2.05,-.07,-.82,1.08,-.66,-1.93,-.58,.23,1.87,1.15,.96,.73,.1,1.42
52,Nifty MidSmallcap 400,.75,.55,.43,.92,.73,.53,1.03,-1.7,-.38,-.64,.66,-.37,-1.5,-.24,.08,1.12,.87,.66,.71,-.2,.61
53,Nifty Midcap 150,.68,.4,.52,.55,.71,.4,1.25,-1.57,-.48,-.62,.75,-.36,-1.54,-.32,.03,1.01,.99,.66,.8,-.36,.55
54,Nifty Midcap Select,.7,.27,.63,.56,.88,.38,2.02,-1.67,-.74,-.52,.89,-.34,-1.52,-.56,.07,1.19,1.5,1.01,1.05,-.65,.46
55,NIFTY LargeMidcap 250,.18,.4,.83,.64,.55,-.01,1.27,-.96,-.34,-.53,.82,-.53,-1.35,-.12,.03,.79,1.02,.59,.56,-.51,.26
56,NIFTY SME EMERGE,.7,.34,-.16,.37,.56,-.22,.98,-1.01,-.53,-.08,.35,-.17,-.59,.18,.59,-.04,.55,.74,.45,.73,-.46
57,Nifty Oil & Gas,-.29,1.19,1.86,.24,-.17,.1,.91,-.64,-.48,-.73,1.11,-.73,-1.69,1.47,-.08,1.04,.57,.26,.67,-.77,-.21
58,Nifty Financial Services 25/50,-.38,.48,1.53,.32,.87,-.2,1.49,-.68,-.31,-.48,.84,-.77,-1.06,-.28,-.46,.94,2.09,.48,-.1,-.79,-.11
59,Nifty Healthcare Index,.36,.71,.38,.94,.28,-.21,1.07,-.65,-.59,-1.79,.47,.04,.05,.25,.4,.78,.52,1.07,.21,-.32,.12
60,Nifty500 Multicap 50:25:25,.23,.5,.76,.92,.57,.08,1.11,-1.05,-.27,-.55,.75,-.53,-1.32,-.06,.06,.87,.94,.59,.49,-.39,.3
61,Nifty Microcap 250,.87,.51,.03,1.89,.5,.26,.29,-1.82,-.28,-1,.31,-.35,-1.49,.44,.75,1.38,-.08,.54,.5,-.28,.09
62,Nifty Total Market,.02,.44,.91,.84,.49,-.16,1.18,-.75,-.25,-.51,.8,-.6,-1.26,.01,.07,.74,.96,.55,.43,-.53,.14
63,Nifty India Digital,.07,-.11,.57,1.26,.04,-.49,1.47,-.97,-.38,.04,1.23,-.21,-1.46,.43,.55,.6,.81,1.28,1.35,-.6,-.12
64,Nifty Mobility,.03,.52,1.13,.75,.94,-.33,1.06,-.19,-.03,-.86,.53,-1,-1.73,.21,-.24,.54,1.11,.6,.62,-.53,.17
65,Nifty India Defence,.93,.86,.37,-2,-2.42,2.14,1.89,-1.51,-.46,.38,.83,1.51,-1.72,-2.05,1.07,-.21,-1.7,2.32,.86,1.11,.12
66,Nifty Financial Services Ex-Bank,.22,.17,1.59,.44,.9,.73,1.86,-1.56,-.58,-.68,.95,-.57,-1.9,-.81,-.59,1.93,2.77,.83,.25,-.48,.43
67,Nifty Housing,-.44,.47,1.22,.53,.81,-.07,1.14,-.76,-.33,-.59,.95,-.7,-1.49,-.09,.24,.54,1.56,.38,.25,-.65,.06
68,Nifty Transportation & Logistics,.04,.26,.84,.99,.91,-.45,1.19,.01,.14,-.83,.36,-.85,-1.7,.1,-.24,.44,1.26,.57,.66,-.44,.33
69,Nifty MidSmall Financial Services,.88,.05,.66,.28,.86,1.06,1.86,-1.74,-.27,-.48,.86,-.64,-1.87,-1.04,-.76,2.11,2.38,.97,.79,-.37,2.12
70,Nifty MidSmall Healthcare,.74,.66,.81,1.48,.34,-.01,1.02,-1.43,-.67,-1.74,.62,.23,-.12,.59,.28,.6,.61,.79,.39,-.19,.32
71,Nifty MidSmall IT & Telecom,.62,.37,-.06,1.07,.71,-.56,1.87,-2.23,-.28,-.01,1.68,-.43,-1.34,-.18,1.4,1.67,.4,.84,.86,-.62,-.38
72,Nifty MidSmall India Consumption,.31,0,.62,1.24,.63,.53,1.37,-1.55,-.53,-.69,.72,.11,-1.07,-.51,.21,.52,1.29,.18,.51,.03,.65
73,Nifty REITs & InvITs,-.84,.28,-.46,1.31,-.53,.5,-.4,.12,.22,-.58,-.05,-.27,0,.42,-.09,.95,.62,.81,.36,.07,.6
74,Nifty Consumer Durables,.68,-.36,.87,1.43,.6,.82,.73,-.91,.79,-.73,.67,-.7,-1.92,-.04,.43,.18,1.32,.02,.23,-.71,-.48
75,Nifty Non-Cyclical Consumer,.17,.13,.96,1.15,.26,.11,1.43,-.3,.22,-.56,.97,-.91,-1.6,-.4,-.22,.42,.66,.8,.56,-.62,.38
76,Nifty India Manufacturing,.07,.63,.76,.33,.52,.09,1.01,-.61,-.22,-.74,.61,-.34,-1.34,.03,.18,.67,.79,.45,.5,-.4,-.19
