SYMBOL,NAME OF COMPANY,sec_bhavdata_full_02122024.csv,sec_bhavdata_full_03122024.csv,sec_bhavdata_full_04122024.csv,sec_bhavdata_full_05122024.csv,sec_bhavdata_full_06122024.csv,sec_bhavdata_full_09122024.csv,sec_bhavdata_full_10122024.csv,sec_bhavdata_full_11122024.csv,sec_bhavdata_full_12122024.csv,sec_bhavdata_full_13122024.csv,sec_bhavdata_full_16122024.csv,sec_bhavdata_full_17122024.csv,sec_bhavdata_full_18122024.csv,sec_bhavdata_full_19122024.csv,sec_bhavdata_full_20122024.csv,sec_bhavdata_full_23122024.csv,sec_bhavdata_full_24122024.csv,sec_bhavdata_full_25122024.csv,sec_bhavdata_full_26122024.csv,sec_bhavdata_full_27122024.csv,sec_bhavdata_full_30122024.csv,sec_bhavdata_full_31122024.csv
20MICRONS,20 Microns Limited,,,,,,,,,,,,,,,,,,,,,,
360ONE,360 ONE WAM LIMITED,2.6501053764405142,1.0571378647562588,-2.4466153713149437,-0.8020205600850921,0.11613883057132997,1.601748984964067,5.252063938169699,1.059746328437902,-0.9743208653290361,-1.05895105478196,4.70251137704367,0.7606245975531083,-0.8826936134520874,-1.2451644100580308,1.9708654670094332,-1.3445378151260468,0.29609799626834293,0.29609799626834293,1.609576576212245,-0.4258706467661619,1.602845950915337,-1.2707030174279152
3IINFOLTD,3i Infotech Limited,-0.7324729682595076,0.9486999297259296,-0.3132613992342494,0.7681564245810015,0.17325017325017572,6.2953995157385,-2.4080702896192707,1.1337112370790259,8.704253214638975,-0.8492569002123177,-1.3459773631079772,-1.6744186046511602,-1.5767896562598547,-2.755527074655557,-4.118616144975288,-1.7869415807560245,-0.13995801259621815,-0.13995801259621815,-0.31534688156972623,-0.45694200351493497,-1.165254237288142,0.2500893176134344
3MINDIA,3M India Limited,-1.733430918614498,-1.8498501720772442,-0.322023652581017,0.8972566173280412,0.36638937023229773,-0.8495578604011135,0.4809468581030092,1.085663676069035,-0.4493070612851013,0.40955349454935275,-0.34127370879243274,-1.1570329281283718,-0.7311287040294063,0.6727643690528438,-0.9527406562145964,-0.4462279137465782,1.0351622666973186,1.0351622666973186,-0.05033248477927006,-1.750580244881092,0.25693257983966594,-0.3967005525296396
5PAISA,5Paisa Capital Limited,-0.3356045967659875,1.7142857142857095,-0.4514446227929374,1.9852867076489014,-0.5039525691699627,0.7845863541563192,0.30547891210090883,-0.5992730130661188,-1.551690057323575,-0.8131713683365146,0.05060728744939271,-1.062215477996965,-0.28629856850715285,-1.2305168170631664,-1.7026578073089795,-0.7287705956907454,0.24470688371104038,0.24470688371104038,-0.30779027807260567,-0.44714148834237544,-0.6416426050689766,0.7641803896243701
63MOONS,63 moons technologies limited,3.4989819772264603,2.477231329690346,3.817987913259868,4.999315162306534,3.411166188364202,4.995269631031223,4.997897519072509,4.994564906459177,-4.996730601569314,-2.1623171780900514,4.994723883221951,4.997208263539922,4.498803509704861,4.997201160246312,-4.996849706780406,-2.5762677277828794,-0.41367754097502696,-0.41367754097502696,-0.546850352297816,-4.129216453420754,-4.996415375282629,4.997968305566838
AAATECH,AAA Technologies Limited,-1.8453048202121243,1.43195994026179,0.8314567815693816,-1.6234323999312836,2.3050729066620104,-1.3911410770675048,0.14713519127573782,-1.581540057039148,-1.2820512820512766,1.0140544387119734,-0.6516379006692578,-0.3545470661230203,-0.8628357943426427,-2.0995962314939463,-3.9226468701310613,-1.526280644853567,1.5305628208853999,1.5305628208853999,0.18128041217440868,0.36190476190475757,-1.0058834693490246,-0.6710122699386395
AADHARHFC,Aadhar Housing Finance Limited,0.13864818024263956,0.4845967462789814,1.1712022046159198,-1.4527295426171907,-0.921340550500979,-0.8485412065558473,-1.0082063305978926,-0.8763619137849334,4.1099163679808814,0.7000229515721853,-0.3874643874643849,-1.6245280860313516,0.8838237004302852,-2.051873198847257,-0.14122631517006537,0.3182086034178015,-0.5991541353383485,-0.5991541353383485,0.7445928377260317,-0.3871421867667708,2.2847721116476243,-2.6827864133563564
AAKASH,Aakash Exploration Services Limited,2.6556776556776645,-0.8028545941124142,-3.6870503597122157,0.3734827264238949,1.4883720930232571,-0.1833180568285937,1.836547291092739,-0.5410279531109152,-1.7225747960108748,-0.46125461254613204,-1.3901760889712567,-1.0338345864661767,-0.28490028490027886,0.1904761904761864,-1.6159695817490487,0.1932367149758413,-1.1571841851494622,-1.1571841851494622,-0.9756097560975575,-0.2955665024630654,-0.19762845849801955,0.9900990099009866
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,,,,,,,,,,,,,,,,,,,,,,
AARON,Aaron Industries Limited,2.5337837837837838,-4.493035794518496,1.2074643249176622,1.4874496436318598,0.04580152671755031,4.883259575766825,6.867452349774488,-5.105513955071477,-1.549497847919649,2.9146021568055955,-1.005380911922971,-1.516235159490777,5.185185185185192,-0.7180336923501858,-3.254520166898467,12.967222541690617,0.2545176889793841,0.2545176889793841,-2.8814419903528727,0.09149130832570014,-0.9271350221989957,-6.445235270858059
AARTIDRUGS,Aarti Drugs Limited,-0.759548611111111,1.071506669582326,-0.6707053223712605,-0.860379002396002,0.0,0.1318246731846694,-2.413603949533736,2.0348510399100643,-1.6527104451300134,-0.25767421017253733,-0.2695720543636951,-1.531704020723057,-1.0293949445270503,-0.1733502831387958,-0.8451030331095108,-1.0974897840046676,12.359815842285435,12.359815842285435,-4.874973733977725,-0.5191075767616448,2.375929832352612,-0.14098253985468692
