,SYMBOL,NAME OF COMPANY,cm26JUN2024bhav.csv,cm25JUN2024bhav.csv,cm24JUN2024bhav.csv,cm21JUN2024bhav.csv,cm20JUN2024bhav.csv,cm19JUN2024bhav.csv,cm18JUN2024bhav.csv,cm14JUN2024bhav.csv,cm13JUN2024bhav.csv,cm12JUN2024bhav.csv,cm11JUN2024bhav.csv,cm10JUN2024bhav.csv,cm07JUN2024bhav.csv,cm06JUN2024bhav.csv,cm05JUN2024bhav.csv,cm04JUN2024bhav.csv,cm03JUN2024bhav.csv
30,ACCURACY,Accuracy Shipping Limited,12.51,13.03,12.41,11.82,11.26,10.73,11.3,11.9,11.34,10.31,9.4,9.22,9.0,8.65,8.3,8.45,8.95
31,ACE,Action Construction Equipment Limited,1504.0,1495.0,1477.0,1490.35,1513.0,1523.05,1482.2,1476.0,1456.0,1448.0,1436.0,1470.1,1465.0,1403.0,1355.0,1333.0,1453.0
32,ACEINTEG,Ace Integrated Solutions Limited,33.82,33.92,33.85,33.82,34.25,34.48,34.0,34.46,34.5,34.4,34.45,34.17,34.4,33.95,33.4,33.75,33.3
33,ACI,Archean Chemical Industries Limited,689.25,692.0,684.9,693.15,689.4,670.0,656.0,670.0,662.5,621.0,623.0,612.7,614.9,609.4,607.1,600.0,616.4
34,ACL,Andhra Cements Limited,98.69,96.0,96.9,97.5,97.0,97.0,99.88,100.71,100.4,102.2,106.05,96.41,85.3,82.65,79.95,78.4,85.9
35,ADANIENT,Adani Enterprises Limited,3169.0,3169.05,3193.95,3192.8,3261.95,3264.25,3310.95,3269.0,3222.25,3209.0,3215.0,3212.3,3222.5,3181.6,3093.0,2950.0,3660.1
36,ADANIGREEN,Adani Green Energy Limited,1770.05,1794.0,1806.15,1781.95,1808.9,1790.95,1812.5,1805.0,1803.0,1826.5,1854.8,1871.2,1865.0,1860.55,1827.0,1641.95,2042.05
37,ADANIPORTS,Adani Ports and Special Economic Zone Limited,1472.0,1454.5,1460.25,1475.95,1470.75,1452.0,1444.0,1429.7,1404.0,1394.9,1406.0,1383.9,1378.0,1357.0,1340.0,1245.0,1590.0
38,ADANIPOWER,Adani Power Limited,719.6,724.9,738.0,734.0,741.5,740.15,748.0,746.0,753.0,760.3,763.0,770.0,770.0,750.0,723.0,721.0,878.0
39,ADANITRANS,Adani Transmission Limited,,,,,,,,,,,,,,,,,
40,ADFFOODS,ADF Foods Limited,242.5,237.35,242.99,244.0,227.25,226.5,223.7,227.87,229.4,223.9,227.2,224.5,222.0,217.0,212.0,208.05,214.0
41,ADL,Archidply Decor Limited,98.0,94.05,93.06,92.65,91.3,90.2,90.32,94.99,93.0,93.61,96.0,86.99,85.0,82.9,77.2,76.65,84.0
42,ADORWELD,Ador Welding Limited,1340.4,1354.9,1329.7,1337.0,1351.15,1349.0,1348.0,1375.0,1402.6,1423.0,1419.7,1249.45,1247.0,1253.0,1179.9,1213.45,1268.0
43,ADROITINFO,Adroit Infotech Limited,18.46,18.7,19.0,18.85,18.86,19.1,18.89,19.11,19.05,19.29,19.17,18.9,19.0,18.25,19.05,18.25,18.75
44,ADSL,Allied Digital Services Limited,160.85,165.0,163.05,155.9,160.6,161.46,147.5,150.3,149.49,148.5,149.0,147.75,146.25,139.5,135.45,130.9,144.2
45,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,71.98,72.5,73.66,74.2,71.8,70.52,72.16,71.04,71.0,71.79,71.13,70.0,70.1,68.1,66.8,67.5,69.0
46,ADVENZYMES,Advanced Enzyme Technologies Limited,375.25,380.1,388.0,388.0,390.0,380.7,382.0,392.25,381.85,362.5,362.0,358.5,363.0,360.0,353.2,344.0,359.4
47,AEGISCHEM,Aegis Logistics Limited,,,,,,,,,,,,,,789.95,706.0,693.9,720.0
48,AETHER,Aether Industries Limited,914.0,881.0,875.05,865.0,868.5,880.0,883.0,855.0,862.9,824.7,828.3,823.0,813.75,796.0,790.0,805.0,822.0
49,AFFLE,Affle (India) Limited,1364.0,1296.0,1319.7,1257.0,1240.0,1238.5,1235.0,1255.3,1251.45,1261.5,1260.1,1206.0,1201.0,1155.35,1106.0,1096.95,1154.5
50,AGARIND,Agarwal Industrial Corporation Limited,1193.9,1182.95,1195.0,1158.0,1158.9,1170.0,1205.4,1132.6,1080.5,1080.5,1073.0,1082.8,923.45,912.0,875.0,848.6,909.0
51,AGI,AGI Greenpac Limited,710.0,703.0,707.6,701.05,708.1,697.4,690.0,693.95,707.7,712.0,719.0,714.7,697.0,663.0,641.3,660.0,666.0
52,AGRITECH,Agri-Tech (India) Limited,198.0,193.7,199.6,201.02,206.0,197.0,194.0,197.68,197.25,192.26,196.5,195.4,188.2,186.5,182.4,181.7,195.0
53,AGROPHOS,Agro Phos India Limited,46.2,46.53,46.9,48.49,49.5,47.22,46.1,45.5,45.9,45.4,45.05,45.37,44.8,43.2,41.9,39.05,43.9
54,AGSTRA,AGS Transact Technologies Limited,85.0,87.15,87.12,89.65,87.5,90.0,87.85,80.55,80.47,78.79,74.4,70.48,71.45,71.85,68.5,66.6,70.2
55,AHL,Abans Holdings Limited,463.0,476.0,479.0,490.0,481.1,485.3,480.0,450.0,425.9,410.5,375.0,385.15,384.0,400.75,395.0,385.25,398.0
56,AHLADA,Ahlada Engineers Limited,,,,,,,,,,,,,,,,,
57,AHLEAST,Asian Hotels (East) Limited,142.55,143.59,142.5,143.9,143.85,141.12,143.6,144.25,142.0,143.01,141.8,143.5,142.5,140.0,138.9,134.0,143.95
58,AHLUCONT,Ahluwalia Contracts (India) Limited,1240.0,1254.95,1205.0,1198.2,1218.0,1202.3,1196.0,1211.1,1193.0,1210.0,1189.0,1200.25,1165.1,1154.0,1114.0,1091.6,1226.0
59,AIAENG,AIA Engineering Limited,4215.0,4212.0,4297.0,4235.0,4219.1,4250.0,4119.0,3996.0,3815.0,3834.0,3826.0,3779.95,3739.0,3662.0,3668.9,3685.0,3685.8
60,AIRAN,Airan Limited,29.79,29.15,29.85,29.91,29.95,30.35,29.74,27.83,27.8,27.9,27.15,27.29,26.95,26.45,25.75,25.55,27.3
61,AIROLAM,Airo Lam limited,143.72,142.0,141.75,143.98,144.72,144.55,145.32,143.7,148.05,148.87,148.1,145.39,144.25,142.65,136.6,137.25,147.0
62,AJANTPHARM,Ajanta Pharma Limited,2326.5,2339.0,2343.8,2345.0,2345.0,2370.0,2406.0,2369.0,2420.0,2401.0,2381.1,2416.1,2419.0,2299.55,2325.0,2300.0,2299.9
63,AJMERA,Ajmera Realty & Infra India Limited,692.0,703.0,718.95,704.65,703.0,689.1,713.45,705.0,706.1,698.0,709.1,707.05,701.0,661.0,652.7,630.0,672.2
64,AJOONI,Ajooni Biotech Limited,5.01,5.07,5.09,5.05,5.05,5.03,5.27,5.62,5.69,5.5,5.49,5.49,5.6,5.6,5.8,5.85,6.05
65,AJRINFRA,AJR INFRA AND TOLLING LIMITED,,,,,,,,,,,,,,,,,
66,AKASH,Akash Infra-Projects Limited,33.74,33.87,33.8,33.95,33.68,33.85,33.5,34.0,33.87,34.1,34.1,33.94,34.75,34.1,33.8,32.9,35.7
67,AKG,Akg Exim Limited,22.95,22.0,22.5,22.86,23.0,23.1,23.1,23.23,23.35,22.8,22.76,22.8,23.25,22.75,20.9,20.9,21.0
68,AKI,AKI India Limited,24.93,24.63,25.46,26.79,27.45,26.65,27.3,28.4,27.2,25.91,24.68,23.7,23.35,22.25,21.3,20.3,21.65
69,AKSHAR,Akshar Spintex Limited,,,,,,,,,,,,,,,,,
70,AKSHARCHEM,AksharChem India Limited,322.6,320.15,320.0,306.95,279.95,266.0,263.8,273.9,270.4,269.85,269.3,265.85,260.0,259.0,252.85,244.9,256.25
71,AKSHOPTFBR,Aksh Optifibre Limited,,,,,,,,,,,,,,,,,
72,AKZOINDIA,Akzo Nobel India Limited,2886.1,2895.0,2934.0,2909.0,2875.05,2780.0,2799.0,2850.0,2817.0,2809.0,2732.5,2700.0,2667.0,2659.9,2629.0,2549.0,2605.0
73,ALANKIT,Alankit Limited,19.12,19.25,19.7,20.0,20.15,20.77,20.68,20.93,20.85,20.79,20.98,21.19,21.6,19.85,18.85,19.8,21.1
74,ALBERTDAVD,Albert David Limited,1277.0,1329.0,1357.0,1332.1,1313.0,1308.0,1295.0,1275.3,1301.0,1280.0,1194.0,1190.0,1182.0,1083.9,1067.25,1070.0,1165.0
75,ALEMBICLTD,Alembic Limited,109.29,111.85,115.0,111.15,102.91,101.11,102.0,103.0,103.65,104.35,102.91,100.5,100.5,97.45,94.9,93.75,99.0
76,ALICON,Alicon Castalloy Limited,1290.0,1278.0,1281.95,1238.05,1227.05,1262.0,1295.05,1266.15,1244.95,1239.0,1130.0,1099.95,1102.0,1079.0,1059.75,998.0,1061.95
77,ALKALI,Alkali Metals Limited,146.6,131.9,133.0,129.0,119.9,120.25,119.2,122.25,125.15,124.89,125.55,122.0,114.75,111.95,104.9,102.65,110.5
78,ALKEM,Alkem Laboratories Limited,5000.0,5085.0,5009.0,5104.75,5155.0,5189.3,5227.0,5095.1,5113.7,5090.0,5068.7,5012.5,4950.0,4841.1,4821.55,4729.8,4824.0
79,ALKYLAMINE,Alkyl Amines Chemicals Limited,2085.0,2106.0,2106.0,2109.45,2120.0,2004.0,1994.8,2015.0,2023.15,2013.5,2015.45,2000.0,1969.0,1975.0,1935.95,1860.0,1886.3
80,ALLCARGO,Allcargo Logistics Limited,60.0,60.02,60.0,60.9,62.56,62.99,64.59,64.8,65.21,64.95,64.99,65.44,65.95,66.2,65.1,63.9,69.1
