,Index Name,ind_close_all_15012024.csv,ind_close_all_12012024.csv,ind_close_all_11012024.csv,ind_close_all_10012024.csv,ind_close_all_09012024.csv,ind_close_all_08012024.csv,ind_close_all_05012024.csv,ind_close_all_04012024.csv,ind_close_all_03012024.csv,ind_close_all_02012024.csv,ind_close_all_01012024.csv
58,Nifty Financial Services 25/50,.5,.24,.44,-.01,-.43,-.84,.05,1.54,-.18,-.52,.1
59,Nifty Healthcare Index,.98,-.47,.11,.41,1.07,-1.02,-.65,.71,.59,1.91,.22
60,Nifty500 Multicap 50:25:25,.6,.67,.45,.27,.24,-.82,.34,1,-.12,-.21,.34
61,Nifty Microcap 250,.12,.15,.97,.48,.22,-.27,.4,1.32,.67,.31,1.23
62,Nifty Total Market,.69,.8,.36,.31,.22,-.86,.26,.91,-.23,-.24,.24
63,Nifty India Digital,.99,2.58,.11,.67,.7,-.42,1.35,.43,-.97,-.65,.33
64,Nifty Mobility,.1,.06,1.11,.51,1.02,-.16,.74,.45,.2,-.46,.23
65,Nifty India Defence,.85,-.62,.92,1.57,.92,-.91,.84,1.21,.41,-1.28,.49
66,Nifty Financial Services Ex-Bank,-.21,-.02,.74,-.43,-.21,-.3,.06,2.23,.14,.13,.28
67,Nifty Housing,.35,.43,.01,.12,.31,-.93,-.1,1.27,-.07,-.9,0
68,Nifty Transportation & Logistics,-.03,-.03,.85,.55,1.08,-.26,.68,.45,.07,-.69,.14
69,Nifty MidSmall Financial Services,.65,.07,1.38,-.14,-.47,-.58,.15,1.93,.47,-.66,1.05
70,Nifty MidSmall Healthcare,.6,-.67,.82,.35,.67,-1.27,-.08,1.13,.9,1.4,.37
71,Nifty MidSmall IT & Telecom,.55,2.77,.07,.77,.08,-1.11,1.13,.74,-.8,-1.03,-.13
72,Nifty MidSmall India Consumption,-.01,.1,.34,.32,.53,-1.16,-.23,2.61,.58,-.28,.44
73,Nifty REITs & InvITs,-.77,.16,1.3,1.01,.54,-.17,.11,.03,.4,.3,.76
74,Nifty Consumer Durables,.35,.67,1.18,.66,.14,-.65,.2,.6,.34,0,-.05
75,Nifty Non-Cyclical Consumer,.32,.54,.09,.18,.15,-1.22,-.07,.89,.02,.12,-.04
76,Nifty India Manufacturing,.42,0,.43,.41,.48,-.79,.09,.22,-.24,-.09,-.04
77,NIFTY100 Alpha 30,.16,.39,.87,-.22,.97,-.49,.37,1.21,.72,-.42,.04
78,NIFTY500 Value 50,.98,.86,.81,-.4,.23,-1.08,-.15,.83,-.25,.14,.82
79,Nifty100 Low Volatility 30,.94,.58,.53,.1,.25,-1.07,.01,.37,-.33,-.21,.1
80,NIFTY Alpha Low-Volatility 30,.59,.62,.66,-.39,.24,-.65,.11,.71,.24,.12,-.02
81,NIFTY Quality Low-Volatility 30,1.19,.79,.26,.19,.08,-1.27,-.07,.26,-.5,.03,.2
82,NIFTY Alpha Quality Low-Volatility 30,1.1,.61,-.09,-.08,-.39,-1.12,.13,.57,-.08,.15,.37
83,NIFTY Alpha Quality Value Low-Volatility 30,1.46,1.15,.29,-.26,.04,-.87,.12,.83,-.34,.02,.62
84,NIFTY200 Quality 30,.98,1.18,.48,.08,.19,-1.19,.16,.46,-.6,-.13,.26
85,NIFTY Midcap150 Quality 50,.58,.62,.16,.51,-.1,-1.03,.69,.68,-.54,-.14,.36
86,Nifty200 Momentum 30,.91,.23,-.02,-.1,.3,-.37,.14,1.15,.41,-.12,.3
87,Nifty100 ESG Sector Leaders,.77,1.11,.22,.44,.25,-.82,.26,.77,-.61,-.42,.01
88,Nifty200 Alpha 30,1.25,.4,-.48,-.05,-.21,-.49,.05,1.58,.47,-.31,.41
89,Nifty Midcap150 Momentum 50,.98,.52,-.3,.13,-.04,-.43,.23,1.82,.25,.08,.54
90,Nifty Smallcap250 Quality 50,.52,.75,.73,-.2,.31,-1.09,.03,.7,-.04,-.13,.79
91,NIFTY100 ESG,.79,1.19,.25,.19,.26,-.93,.19,.82,-.48,-.43,.11
92,NIFTY100 Enhanced ESG,.79,1.19,.25,.2,.27,-.92,.19,.82,-.48,-.43,.12
93,NIFTY50 Equal Weight,.62,.87,.22,.12,.43,-.85,.12,.54,-.59,-.17,.15
94,Nifty 50 Futures Index,.85,1.24,-.14,.43,.17,-.98,.04,.86,-.72,-.6,.01
95,Nifty 50 Arbitrage,.07,-.06,.18,-.05,-.01,.07,.14,-.13,.03,.17,.04
96,Nifty Aditya Birla Group,.67,-.13,.95,-.41,-.88,-.79,.12,.38,-1.53,-1.31,.35
97,Nifty 8-13 yr G-Sec,.2,-.05,.12,.09,.1,.23,-.08,-.01,-.03,-.04,-.14
98,Nifty 4-8 yr G-Sec Index,.12,.01,.04,.07,.04,.14,-.06,0,.01,-.01,0
99,Nifty 11-15 yr G-Sec Index,.26,-.06,.15,.18,.11,.33,-.08,-.04,-.04,-.06,-.22
100,Nifty 15 yr and above G-Sec Index,.45,-.05,.12,.21,.11,.49,-.07,-.07,-.03,-.1,-.32
101,Nifty Composite G-sec Index,.22,-.03,.09,.1,.08,.23,-.07,-.01,-.01,-.03,-.11
102,Nifty 10 yr Benchmark G-Sec,.22,-.07,.11,.09,.11,.23,-.08,-.01,-.04,-.05,-.11
103,Nifty 10 yr Benchmark G-Sec (Clean Price),.2,-.09,.09,.08,.1,.22,-.1,-.03,-.06,-.07,-.13
104,Nifty 1D Rate Index,.06,.02,.02,.02,.02,.06,.02,.02,.02,.02,.06
105,Nifty50 USD,,1.28,.14,.44,.17,-.88,.32,.73,-.65,-.48,
