,Index Name,ind_close_all_29042024.csv,ind_close_all_26042024.csv,ind_close_all_25042024.csv,ind_close_all_24042024.csv,ind_close_all_23042024.csv,ind_close_all_22042024.csv,ind_close_all_19042024.csv,ind_close_all_18042024.csv,ind_close_all_16042024.csv,ind_close_all_15042024.csv,ind_close_all_12042024.csv,ind_close_all_10042024.csv,ind_close_all_09042024.csv,ind_close_all_08042024.csv,ind_close_all_05042024.csv,ind_close_all_04042024.csv,ind_close_all_03042024.csv,ind_close_all_02042024.csv,ind_close_all_01042024.csv
37,Nifty Shariah 25,.03,.03,.73,-.05,.56,1.2,-.15,-1.02,-.59,-.85,-.83,.56,-.3,.34,-.2,.12,.05,.22,.84
38,India VIX,11.99,1.82,4.43,.78,-19.72,-5.63,3.2,3.37,1.18,8.11,3.83,-2.18,-2.2,2.4,1.05,-1.34,-2.4,-3.56,-5.84
39,Nifty Growth Sectors 15,-.18,-.42,.69,-.41,.46,1.08,.26,-.9,-.74,-.97,-1.44,.61,-.25,.4,-.16,.41,-.08,-.41,.08
40,Nifty50 TR 1x Inverse,-.96,.69,-.74,-.14,-.11,-.79,-.68,.71,.58,1.17,1.07,-.47,.11,-.64,.03,-.33,.11,.06,-.55
41,Nifty50 TR 2x Leverage,1.94,-1.35,1.48,.29,.26,1.66,1.36,-1.41,-1.14,-2.25,-2.1,.96,-.23,1.3,-.03,.7,-.18,-.1,1.14
42,Nifty50 PR 1x Inverse,-.95,.67,-.74,-.12,-.14,-.8,-.68,.73,.57,1.16,1.06,-.47,.12,-.63,.02,-.32,.09,.05,-.53
43,Nifty50 PR 2x Leverage,1.94,-1.35,1.48,.29,.26,1.66,1.36,-1.41,-1.14,-2.25,-2.1,.96,-.23,1.3,-.03,.7,-.18,-.1,1.14
44,NIFTY100 Quality 30,-.26,.48,.62,.3,.59,.9,0,-.93,-.35,-.94,-.45,.54,-.5,.32,.15,.18,-.06,.48,.58
45,Nifty Mahindra Group,,.55,1.19,-.6,-1.1,.46,1.75,-.43,-1.15,-1.5,-.46,-.04,-.02,1.79,.16,.89,.98,1.69,.35
46,Nifty 50 Futures TR Index,.92,-.41,.68,.17,.03,1.08,.35,-.62,-.68,-1.02,-.89,.36,-.04,.74,-.05,.33,-.13,-.09,.59
