,Index Name,ind_close_all_22062023.csv,ind_close_all_21062023.csv,ind_close_all_20062023.csv,ind_close_all_19062023.csv,ind_close_all_16062023.csv,ind_close_all_15062023.csv,ind_close_all_14062023.csv,ind_close_all_13062023.csv,ind_close_all_12062023.csv,ind_close_all_09062023.csv,ind_close_all_08062023.csv,ind_close_all_07062023.csv,ind_close_all_06062023.csv,ind_close_all_05062023.csv,ind_close_all_02062023.csv,ind_close_all_01062023.csv
43,Nifty50 PR 2x Leverage,-.93,.41,.63,-.8,1.46,-.74,.41,1.21,.36,-.78,-1,1.35,.04,.59,.48,-.52
44,NIFTY100 Quality 30,-.84,-.06,.48,-.2,.32,.08,.09,.7,.63,-.69,-.66,.92,-.06,-.19,.23,.32
45,Nifty Mahindra Group,-.26,-.19,.14,.98,.74,.59,.06,.02,.98,-.75,-1.75,.22,.08,1.54,1.13,.53
46,Nifty 50 Futures TR Index,-.33,.19,.15,-.25,.84,-.37,.24,.52,.33,-.4,-.45,.69,-.11,.38,.37,-.3
47,Nifty Tata Group,-.75,.42,.66,.43,-.36,-.68,.62,.73,.71,-.51,-.96,1.48,-.77,.02,.1,.93
48,Nifty Tata Group 25% Cap,-.83,.07,.74,.07,.26,-.43,1.03,1.15,.36,-.51,-.99,1.58,-.19,.29,.53,.75
49,Nifty Private Bank,-.42,.07,.38,-.89,1.29,-1.2,-.37,.45,-.03,.23,-.76,.12,.22,.68,.21,-.71
50,Nifty Smallcap 250,-.73,.07,.4,.31,.8,.31,.29,.73,.65,-.06,-.67,1.12,.54,.28,.48,.83
51,Nifty Smallcap 50,-.62,-.39,.36,.17,1.02,.26,-.42,.04,1.16,-.16,-1.35,1.32,.44,.62,.54,1.04
52,Nifty MidSmallcap 400,-.8,.51,.44,.12,.74,.22,.28,1.02,.61,-.11,-.58,1.12,.26,.29,.46,.41
53,Nifty Midcap 150,-.83,.73,.46,.02,.7,.17,.28,1.18,.59,-.13,-.54,1.12,.11,.3,.45,.19
54,Nifty Midcap Select,-1.21,.45,.75,.13,.92,-.04,.06,1.35,.74,-.16,-.97,.81,.04,-.22,.68,.19
55,NIFTY LargeMidcap 250,-.7,.47,.4,-.16,.74,-.05,.24,.92,.42,-.23,-.53,.92,.09,.3,.37,.01
56,NIFTY SME EMERGE,-.03,1.63,1.91,.05,0,-.38,.37,.55,.73,.36,-.19,-.13,-.22,-.07,.63,-.49
57,Nifty Oil & Gas,-.79,.42,.06,-.54,.14,.14,.91,.72,.85,-.48,-.39,1.06,.01,.25,-.67,-.13
58,Nifty Financial Services 25/50,-.63,1.02,.89,.37,1.42,-.73,-.37,.51,.24,-.31,-.5,.56,.3,.37,.23,-.4
59,Nifty Healthcare Index,-.68,-.06,-.26,.21,.63,1.6,.1,1.08,-.02,-.17,-1.13,.9,.62,-.07,.76,.98
60,Nifty500 Multicap 50:25:25,-.68,.29,.38,-.09,.76,-.01,.25,.81,.43,-.21,-.56,.92,.2,.3,.38,.17
61,Nifty Microcap 250,-.43,.22,.78,.34,.65,-.05,.47,.83,1.06,.13,-.66,1.21,.74,.58,.86,.63
62,Nifty Total Market,-.61,.25,.37,-.23,.76,-.16,.23,.75,.35,-.26,-.54,.82,.14,.31,.34,-.02
63,Nifty India Digital,-1.05,.31,.46,.29,.58,.13,-.41,1.21,1.14,.41,-.61,1.53,-.68,-.32,1.12,.39
64,Nifty Mobility,-.62,.31,.56,-.61,.6,.18,-.03,-.07,.38,-.27,-.57,.86,.85,.76,.75,.15
65,Nifty India Defence,-.71,-.77,.37,1.4,3.15,.57,.13,-.35,-.13,1.85,-.17,.25,2.26,3.47,1.49,.11
66,Nifty Financial Services Ex-Bank,-1.06,1.08,.6,1.19,1.58,-.16,-.4,.76,.52,-.3,-.48,.66,.43,.16,.06,.11
67,Nifty Housing,-.58,.14,.29,-.51,.53,-.27,.67,.82,.17,-.18,-.13,.84,.59,.46,.5,.13
68,Nifty Transportation & Logistics,-.59,.19,.55,-.59,.69,.27,.05,-.12,.29,-.2,-.69,.8,.95,1.01,.94,.19
69,Nifty MidSmall Financial Services,-1.56,1.63,1.34,.42,1.43,0,-.42,.72,.92,-.23,-.46,.89,.01,-.16,.43,.48
70,Nifty MidSmall Healthcare,-.86,.43,-.14,.33,.75,1.52,.42,1.36,-.08,.04,-.41,1.53,.73,-.08,.32,.16
71,Nifty MidSmall IT & Telecom,-1.27,.25,.8,-.14,-.1,.06,-.3,1.51,1.26,.57,-.74,1.51,-1.5,-.21,1.22,1.5
72,Nifty MidSmall India Consumption,-.95,.2,-.44,-.11,.78,.28,.58,1.8,.45,-.12,-.96,1.77,.37,.24,.52,-.01
73,Nifty REITs & InvITs,-.09,.16,-.34,-.3,-.25,-.08,.13,-.68,.27,-.18,-.41,-.09,.3,-.11,-.52,.07
74,Nifty Consumer Durables,-.71,.14,.34,-.26,.55,.48,.46,1.44,.38,-.7,-.06,.71,-.31,.63,.48,.36
75,Nifty Non-Cyclical Consumer,-1.01,-.11,.08,-.51,.95,.57,.31,1.39,.3,-.4,-.8,1.2,-.11,-.29,.73,.12
76,Nifty India Manufacturing,-.51,-.21,.36,-.23,.68,.22,.57,.95,.29,-.36,-.44,.92,.4,.83,.67,.2
77,NIFTY100 Alpha 30,-.76,-.04,.28,-.35,.92,-.05,.21,.69,.15,.13,-.62,.74,.62,.71,.74,-.61
78,NIFTY500 Value 50,-.95,.85,.81,-.15,.5,-.2,.55,.39,1.15,-.23,-.45,1.01,.12,.18,.88,.01
79,Nifty100 Low Volatility 30,-.79,.22,.6,-.38,.54,-.01,.28,.69,.51,-.57,-.47,1.05,.08,-.06,.2,.23
80,NIFTY Alpha Low-Volatility 30,-.84,-.09,.45,-.38,.59,.08,.34,.81,.31,-.43,-.45,1.07,.22,.34,.46,.17
81,NIFTY Quality Low-Volatility 30,-.83,.04,.36,-.27,.19,.16,.21,.92,.54,-.77,-.54,.98,-.23,-.16,.06,.5
82,NIFTY Alpha Quality Low-Volatility 30,-.93,-.18,.43,-.3,.51,.06,.23,.9,.4,-.3,-.44,.99,.2,.26,.29,.36
83,NIFTY Alpha Quality Value Low-Volatility 30,-1.03,.04,.61,-.2,.52,-.07,.31,.85,.52,.04,-.45,.95,.29,.29,.61,.2
84,NIFTY200 Quality 30,-.72,-.07,.54,-.15,.29,.21,.11,.95,.83,-1.17,-.93,1.05,-.46,-.25,.05,.3
85,NIFTY Midcap150 Quality 50,-.31,.19,.7,.13,.47,.13,.46,1,.44,-.89,-.86,1.01,-.45,.69,.41,.18
86,Nifty200 Momentum 30,-.91,-.32,.29,-.28,1.31,-.43,.19,.77,.33,.15,-.79,.67,.73,.5,.82,-.28
87,Nifty100 ESG Sector Leaders,-.53,.13,.33,-.43,.59,-.27,.2,.65,.34,-.39,-.62,.69,.03,.39,.22,-.05
88,Nifty200 Alpha 30,-1.6,-.12,.62,.25,1.6,-.27,.25,1.11,.5,.48,-.8,.79,.63,.56,1.11,-.26
89,Nifty Midcap150 Momentum 50,-.99,.23,.42,-.23,1.18,-.13,.36,1.11,.37,.15,-.84,.93,.21,.2,.5,-.09
90,Nifty Smallcap250 Quality 50,-.41,.09,.43,.32,.99,.13,.48,.43,.37,-.19,-.29,.69,.12,-.05,.59,1.23
91,NIFTY100 ESG,-.71,.16,.51,-.16,.64,-.24,.03,.6,.52,-.5,-.75,.82,.05,.09,.3,.16
92,NIFTY100 Enhanced ESG,-.7,.16,.51,-.16,.64,-.24,.02,.6,.52,-.5,-.74,.82,.05,.08,.3,.18
93,NIFTY50 Equal Weight,-.66,.04,.42,-.42,.65,-.01,.36,.53,.37,-.42,-.65,.97,.3,.23,.47,.01
94,Nifty 50 Futures Index,-.35,.17,.13,-.31,.82,-.39,.22,.5,.28,-.42,-.47,.67,-.13,.33,.36,-.32
95,Nifty 50 Arbitrage,-.06,.03,.13,-.01,-.05,.04,0,.08,-.03,.04,-.01,.01,.11,.02,0,.05
96,Nifty Aditya Birla Group,-1.44,.1,-.08,-.63,.37,-.45,1.15,1.04,.85,.19,-1.57,1.19,1.53,.33,.79,-.27
97,Nifty 8-13 yr G-Sec,-.1,-.02,-.02,-.1,.04,-.14,-.04,.1,.16,-.09,-.23,0,.13,-.07,0,.08
98,Nifty 4-8 yr G-Sec Index,-.12,0,0,-.05,.05,-.09,-.07,.08,.11,-.01,-.2,-.05,.11,-.06,.05,.09
99,Nifty 11-15 yr G-Sec Index,-.22,0,-.03,-.06,-.14,-.09,-.04,.13,.14,-.19,-.17,0,.13,-.04,-.04,.01
100,Nifty 15 yr and above G-Sec Index,-.3,-.03,.02,.01,-.42,-.22,-.08,.05,.2,-.38,-.38,.16,.09,-.1,-.15,-.14
101,Nifty Composite G-sec Index,-.14,-.02,-.01,-.07,-.03,-.12,-.04,.1,.14,-.1,-.24,0,.13,-.07,-.01,.06
102,Nifty 10 yr Benchmark G-Sec,-.11,-.03,-.02,-.11,.03,-.15,-.04,.11,.18,-.11,-.24,-.01,.15,-.07,-.01,.08
103,Nifty 10 yr Benchmark G-Sec (Clean Price),-.13,-.05,-.04,-.13,.01,-.17,-.06,.1,.16,-.13,-.27,-.03,.14,-.1,-.03,.06
104,Nifty 1D Rate Index,.02,.02,.02,.05,.02,.02,.02,.02,.05,.02,.02,.02,.02,.05,.02,.02
105,Nifty50 USD,,.3,.12,-.38,1.04,-.46,.55,.68,.24,-.25,-.52,.76,.11,-.12,.37,.13
