,SYMBOL,cm19MAY2023bhav.csv,cm18MAY2023bhav.csv,cm17MAY2023bhav.csv,cm16MAY2023bhav.csv,cm15MAY2023bhav.csv,cm12MAY2023bhav.csv,cm11MAY2023bhav.csv,cm10MAY2023bhav.csv,cm09MAY2023bhav.csv,cm08MAY2023bhav.csv,cm05MAY2023bhav.csv,cm04MAY2023bhav.csv,cm03MAY2023bhav.csv,cm02MAY2023bhav.csv
0,20MICRONS,0.6626506024096351,-0.9546539379474906,1.9464720194647134,-0.06079027355622755,-3.8573933372296874,2.7627627627627596,0.6042296072507553,0.36385688295936586,-2.2525192649673875,-0.7647058823529479,-0.23474178403756202,0.2942907592701589,0.5920663114268798,1.0771992818671523
1,21STCENMGM,1.36986301369863,0.0,-1.6172506738544514,-1.5915119363395265,0.8021390374331664,1.3550135501355014,-1.0723860589812295,-0.7978723404255433,1.0752688172042972,-0.2680965147452931,1.6348773841961695,-0.5420054200541891,-1.861702127659582,1.0752688172042972
2,360ONE,0.27349577324714636,-0.899347049402497,0.7947348814106657,-1.8285992929416068,0.2689157804669272,1.5264333581533964,-0.7635467980295623,1.1585897595614743,-1.2304663467454164,-1.8241121043730262,-1.511005353955984,0.7672940894377146,-0.29882859191967487,-0.36917946885792813
3,3IINFOLTD,0.3129890453834049,-0.9302325581395371,0.6240249609984488,-1.5360983102918588,-0.610687022900772,0.3062787136294071,2.0312499999999956,-3.1770045385779038,0.0,-8.066759388038957,-0.9641873278236759,3.566333808844508,4.315476190476178,2.28310502283105
4,3MINDIA,2.347908155294523,0.21704861073875262,0.05794177924182108,0.28321235115748744,-1.1157408195576952,-0.4478566858605277,-0.2864494213975152,-1.0797222436991913,0.5961577673933622,1.7021877024314311,-0.6051861563666793,2.2319013740292215,2.7970075926753015,-0.7016081106252416
5,3PLAND,-1.0893246187363834,0.879120879120876,-0.2192982456140382,-0.8695652173913012,-1.2875536480686725,7.373271889400929,-2.0316027088036086,-1.1160714285714286,-2.3965141612200465,-1.92307692307692,-0.847457627118656,0.0,-1.871101871101868,0.6276150627615152
6,4THDIM,,,,,,,,,,,,,,
7,5PAISA,0.15976993129892955,0.7890499194846985,0.08058017727639001,0.1452550032278853,-1.1959815021527667,-0.22275258552107835,0.06368412673140858,0.15946420028703556,-0.9007585335018856,1.1185682326621924,1.3605442176870712,0.6685145931844159,-0.3898002273834807,-0.032472804026616627
8,63MOONS,-1.0447761194029852,-1.499558953249051,-0.6136762127410772,-1.2409812409812442,-0.9717062017719285,-0.5117998294000601,-0.7618510158013512,3.323615160349848,-0.8956948858711421,1.110137306456328,-1.6944284893739165,1.7533606078316772,0.9141846063108127,-0.4988262910798088
9,A2ZINFRA,0.7299270072992805,2.2388059701492455,1.5151515151515234,0.0,-0.7518796992481309,0.7575757575757683,0.7633587786259515,1.5503875968992191,0.7812499999999972,-3.0303030303030196,0.0,0.0,2.325581395348829,-0.7692307692307665
10,AAATECH,-1.6313213703099512,-2.1548284118116543,-1.4162077104641992,5.477178423236509,5.609114811568804,-0.8688097306689836,-0.5185825410544586,-3.098827470686769,4.645048203330422,6.04089219330855,-1.3748854262144823,-4.298245614035093,-4.602510460251046,2.575107296137339
11,AAKASH,-0.7692307692307665,-0.7633587786259515,-0.7575757575757549,1.538461538461533,-1.5151515151515098,0.7633587786259515,0.0,0.0,0.0,0.7692307692307665,0.7751937984496096,-0.7692307692307665,0.0,1.5624999999999944
12,AAREYDRUGS,-3.2815198618307404,3.024911032028462,-1.7482517482517481,-3.050847457627114,0.3401360544217735,4.070796460176986,0.7130124777183575,-0.5319148936170163,0.7142857142857117,-0.5328596802841868,-1.7452006980802792,3.0575539568345245,-1.24333925399644,2.925045703839112
13,AARON,-5.301256120928247,-0.402883799830372,-8.8695652173913,9.292502639915522,9.988385598141695,0.6546644844517211,3.3591106814886365,-5.654354765161881,-0.09111617312072375,0.7805325987144116,-0.2747252747252721,-1.086956521739133,-0.1582636219760318,-0.11291779584462511
14,AARTIDRUGS,-1.5956307560505436,0.18238386439222526,1.6466739367502752,-0.1198126565733605,-0.6815231501514447,2.6312867769512525,-0.14412416851440737,3.085714285714286,-1.1746103456065031,-0.6842400448682022,-1.6980924026904816,-1.3917581820158822,0.4477937964176521,8.779850302958296
15,AARTIIND,-0.19166750731362628,-1.4416384967190297,-0.5635195254572462,0.17827077349707382,0.4676616915422931,-1.2187930017692135,0.28585510103499034,-8.964465183058156,0.38735249076661404,1.9375573921028382,-1.403349932095971,0.09969186151893321,-0.7912245998921016,-1.0938194753223613
16,AARTIPHARM,-0.7041261794113505,-1.6345754259592677,-1.5277588323557558,-3.7673930165397653,-6.790652147314328,7.130685542010745,-1.0762448132780171,-4.0318566450970605,-0.7901234567901207,2.376137512639023,0.738477209065453,0.5762581636573185,1.061213925197351,6.0090547400192165
17,AARTISURF,-1.5062161300605565,-0.015936254980083307,-2.6528079429103353,0.5616224648985995,-0.896722325293747,-0.1774828304653277,2.216437923962781,-0.4397675514371082,0.11006289308176816,-0.4227336777830038,0.24327081534961442,-0.8789670192906002,-3.4762369547263443,-2.8802683389237274
18,AARVEEDEN,0.7211538461538393,0.24096385542169016,-0.7177033492822898,-2.3364485981308416,-0.23310023310023645,-0.9237875288683571,1.1682242990654208,0.0,-0.23310023310023645,-0.23255813953488702,-1.8264840182648339,1.3888888888888755,-3.999999999999994,0.896860986547082
19,AARVI,1.8210609659540755,-1.520467836257312,0.0,-0.6199147617202723,1.454402515723277,-0.43052837573385294,0.7889546351084813,-0.07883326763893915,2.051488334674173,-1.6224772457459415,-0.8630835621812543,0.23594180102241222,0.11811023622047691,-0.1179709005112117
20,AAVAS,-0.2935700988113926,-1.2375362421328053,-0.3593573844419487,-0.5012794896063284,-2.391706015191956,0.08218615163345289,-2.442120736311107,0.4530505403047184,0.8733920108327752,2.6978167153386146,2.772616835786762,-2.873403664630751,2.9768073473180046,0.8614475201845476
21,ABAN,0.5221932114882581,-0.5194805194805269,-0.259067357512957,1.0471204188481638,-0.7792207792207718,-0.9009009009009046,-0.639386189258312,-0.25510204081633014,-1.8773466833541925,1.2674271229404308,-0.12658227848100545,-0.12642225031604845,0.7643312101910755,-0.6329113924050633
22,ABB,-0.07055805003207184,-0.5460716017249762,0.21480629075566016,1.4278488892347245,-2.209230066834926,2.1266950744084334,1.1794152721173126,0.22064328023008983,0.11702519328880957,2.2520402812697475,2.0162672994362683,5.552177438035673,0.3326409366239071,0.7080267411752739
23,ABBOTINDIA,-0.3438154936327304,-1.15458037755415,0.10049919317548796,-0.15922366685509362,-0.006594628204289594,-0.032962272324876155,-0.7227338600345872,-2.4547067165846577,-2.411531204386065,-0.7929079767601963,0.28934557425244367,0.08064784145166437,0.8373603933895959,0.3704492706499615
24,ABCAPITAL,-0.5461165048543724,0.15192950470981462,-0.30293850348379275,-0.3922751961375844,1.5007656967840666,-0.42695943885330206,-4.0667056758338305,0.0,-1.9506597819850864,2.1388807500732527,-1.5575425439861486,2.3922031896042424,0.8038106579339226,0.4485645933014354
25,ABFRL,-1.471347444501804,-0.6921302230197501,-1.564471360080744,-2.437223042836036,2.214393558127834,-0.37603409375783403,0.25131942699170645,-2.7377169396235748,-0.6797766448166921,-3.8515406162464987,-4.7788397421649265,0.08898776418241985,0.2676778942672292,0.6737031214911295
26,ABMINTLLTD,,,,,,,,,,,,,,
27,ABSLAMC,-1.5384615384615352,-1.047486033519553,-0.9955752212389443,-0.37195205951232013,2.6297186483811714,-1.2840195394277802,-0.3338433718180522,-0.937026319415746,2.442123094297017,-0.028224668360153186,0.6963194543129141,0.04264998578334777,3.624042427813793,0.36965843560550055
28,ACC,0.9693713685071043,-2.5993231521770066,-1.4213624894869588,-0.9111617312072943,0.10567296996663465,0.6634381210984469,1.9986865773919993,-0.4632524299437199,-0.4160416607703923,0.11333692233587396,-0.09341561456150504,1.3019041064464354,-1.1648669330839316,0.07374422100576804
29,ACCELYA,-0.5123191239734027,-0.0703454744411514,1.672825525489743,-0.655271779891855,0.11460638634208388,-0.8114146838618564,0.03921414846476609,-0.6506155524388448,-0.5424674519528828,-0.09290802105913737,-10.482725162005753,2.2645120136083223,0.5200911940723983,-0.05696382796925248
30,ACCURACY,-4.1841004184100425,0.4201680672268818,-0.8333333333333304,-7.335907335907331,-0.7662835249042255,4.400000000000006,-3.8461538461538463,-1.5151515151515098,-0.7518796992481309,-0.37453183520598454,-2.197802197802203,-3.1914893617021227,-5.369127516778528,-0.33444816053510995
31,ACE,1.3790084272737122,1.8163583686204667,-1.0256975846476308,-0.80953943769828,3.218157181571816,0.6134969325153349,1.440590065690907,-1.3192312066416365,-1.863839285714291,0.7194244604316521,0.3723344240099366,0.7846258812826902,5.380467345715995,-0.02396070444471612
32,ACEINTEG,,,,,,,,,,,,,,
33,ACI,0.8874357776739842,-1.126812598134298,0.46395100677368467,2.103268593083851,-3.8005833029529748,1.2083756111059991,-0.7688787185354774,0.20177932679079572,-1.061705989110712,0.36429872495446264,1.7043349388662552,-0.9359515507432599,0.027535566773745253,-1.1073795044022914
34,ACL,,,,,,,,,,,,,,
35,ADANIENT,3.494708994708992,-0.5001316135825217,0.5478654421300536,-1.4039299600741038,-2.4762050185779048,-1.005215025319328,4.888618767011073,-0.2083223458678244,0.45562913907284286,-1.7080664479508387,0.4735120994113776,3.928765633496466,-4.211266505195714,-0.26494194654407316
36,ADANIGREEN,4.229853000987751,-1.6963673749143273,0.14299605330892867,0.6273742373661715,-3.003573023671279,-1.9648623501723967,1.241203524131427,-0.0885788628688429,-1.5425705875940234,-2.4719578969751743,-0.5287927661149595,0.3715301735576668,-3.3447904375929842,2.4868559411146136
37,ADANIPORTS,3.4814647717873486,-2.8702892199824683,-0.34934497816593557,-1.01577696131402,-0.8500000000000065,-1.241534988713312,2.575976845151947,0.0724112961622013,0.7882061012990771,0.17546424915924047,0.6105185730047779,1.5082505786604976,-1.7388114453411623,0.0293556436224931
38,ADANIPOWER,4.910019995556535,-3.9684232984851646,-0.7832345469940704,0.14839940640237198,-2.0759809009757113,-0.7418091901916387,1.8681780016792684,-0.8739076154806587,0.6702974444910024,-0.4794663331248721,0.71383581776191,2.805957263112454,-1.8224200042381788,4.936624416277516
39,ADANITRANS,4.756519425226184,-4.860759493670884,-2.7213397364856573,-3.390435403283369,-4.995479204339957,-3.5377487053693155,2.9865828327625916,-1.2145075421472986,-4.99973657868394,-5.000000000000004,-1.240670258514157,1.8629474850208951,-2.827927002299534,-0.7285443683520326
40,ADFFOODS,0.3383890265272771,0.5040689906474057,-1.8771229366545499,0.10737934737218603,0.3171753441053234,-1.6827488820898981,2.428735008738622,0.2779960113615706,-4.5622332448956,14.276298444503025,-1.672067401166556,1.0015055311906758,0.4537085744345142,1.8688458704534707
41,ADL,,,,,,,,,,,,,,
42,ADORWELD,-1.0281569965870268,0.8128682637305962,-1.051153289641683,3.7760014132402944,-4.136325148179501,8.527844146296632,5.7428821300165325,-2.6257273974547006,-2.3469623469623553,-1.5017064846416381,0.3104030675126755,1.9214664557550818,2.3036649214659732,0.45421945971790584
43,ADROITINFO,0.2386634844868769,-4.772727272727276,0.0,-0.9009009009008978,-2.631578947368427,-3.9999999999999973,-0.21008403361344835,-0.6263048016701402,1.2684989429175506,-2.474226804123717,-0.2057613168724309,-0.2053388090349105,-1.217038539553741,-0.8048289738430697
44,ADSL,2.244258872651363,-2.095043433827284,4.540598290598291,-3.305785123966945,0.9911319770474731,7.636159460976977,4.274004683840739,0.8264462809917389,0.2960331557134399,-0.5885815185403178,-0.8751458576429404,1.0613207547169878,-0.4110393423370623,2.9625151148730384
45,ADVANIHOTR,-0.6310958118187164,5.000000000000006,-1.072705601907039,1.6969696969697037,0.9791921664626647,0.3069367710251688,-1.0328068043742338,-0.42347247428918144,-1.6071428571428503,-0.05948839976204302,0.3582089552238772,0.419664268585125,-1.3017751479289872,1.684717208182919
46,ADVENZYMES,-1.0253642741500149,-1.9403774916210974,2.9043383554184063,-3.232039346565954,-1.7940313955494378,4.9990943669625105,2.639895891429642,-2.6249094858797974,-0.05427899402932299,0.4726413379385608,-0.03634381246591528,-0.054486015256096657,3.4184823441021877,3.098373353989156
47,AEGISCHEM,0.3805381897254782,-0.3251151449471811,0.3807451726951412,0.9194455880334749,-3.5217794253938712,-2.5419354838709736,-2.097018696311271,0.1391524351676183,-0.5034612964128383,0.7865026005327979,0.4715778740759536,-0.012743723716072733,-0.4440497335701598,0.5741993109608269
48,AETHER,0.19649582446373762,-0.22328722361399284,0.3168706293706269,-0.68905648092886,-0.4536862003780767,0.7070981778623878,-1.0388631714931615,-0.3005259203606384,-3.6753683122253764,-2.4654633457698947,0.7722792399146451,2.2866645878806775,1.348361950911205,0.1794005909666454
49,AFFLE,0.4280070237050019,1.0871976924783746,-0.8415378692041117,-1.3403516388105081,0.16306120230459833,-0.610447841823778,-1.2008966695132366,-0.8362443103630879,0.46259371510607994,1.2326407578856762,0.6610316428261838,-0.15148236312487456,-1.1550802139037384,0.3595770944024068
50,AGARIND,0.2688172043010685,2.026512265732145,5.726943213854201,-0.12871048185985914,-0.5997121381736766,-1.4732529740802054,-1.0523854069223575,2.2151394422310724,-1.761252446183953,2.1999999999999997,-1.08411806599668,0.4291504410712939,-1.3794184497217756,2.186448822681418
51,AGI,-1.8333606154853381,6.4100330952795606,0.34958923265163433,3.8105606967882415,-3.493564486472276,-1.0483451741466068,4.34861224120786,0.16299918500407087,3.273169363134761,7.77061076395887,19.990325311404046,2.74602385685885,-2.5783803413630393,-0.15711868503746126
52,AGRITECH,0.0,0.8767657087189394,-0.19445794846863262,-1.1057692307692362,0.14443909484834444,-1.2363290537327736,0.6220095693779959,-0.4287756074321132,0.7681228996639434,-2.8451492537313405,-1.152604887044721,-1.2295081967213062,0.6416131989000943,3.0217186024551355
53,AGROPHOS,-3.3557046979865772,-0.930851063829791,1.0752688172042972,-0.4016064257028074,-0.6648936170212766,-0.3973509933774797,1.4784946236559062,-0.7999999999999924,-1.9607843137254901,0.39370078740157105,-2.056555269922872,3.5952063914780332,-1.3140604467805521,0.9283819628647063
54,AGSTRA,-0.09354536950421752,0.5644402634054643,0.1885014137606059,-1.4856081708449476,1.1267605633802844,-1.9337016574585582,2.35626767200754,0.9514747859181731,0.7670182166826435,0.3849855630413777,-1.141769743101797,-0.4734848484848485,1.8322082931533188,-0.3842459173871196
55,AHL,-1.0169491525423728,-1.4202172096908938,14.021718422556685,0.5748227629814141,0.4619826756496587,0.9129759129759218,1.0005885815185336,1.4732231734023447,-0.2581413820492477,3.048905258850017,-0.8319805194805241,0.40749796251018744,-0.9085402786190186,-2.7488709994109564
56,AHLADA,-2.6202953787517864,-0.1902044698050431,-0.6143667296786309,-0.04723665564477767,-0.5636449037106703,-1.7082179132040576,-1.1861313868613115,-0.4089050431622016,1.4753342554172377,-3.9415411868910564,-2.2087483759203095,-0.7735281478298165,9.76415094339622,-1.1655011655011656
57,AHLEAST,-0.43103448275862066,-1.5697921086126383,0.12744265080712955,2.2589052997393644,-0.8186126669539017,-0.5143591941706032,-1.185938161795842,1.635815755488585,0.3022452504317863,0.3466204506065784,-2.286198137171879,1.2864493996569468,-1.3536379018612594,0.896286811779767
58,AHLUCONT,-2.8183144837650573,-1.323013230132285,0.5156504432784348,-3.6520526453412243,0.7021855525322567,-1.71670117322292,2.150158618258732,-0.6826535970593345,0.7406101216716507,2.2170151405912164,-1.7705382436260624,2.653580516175919,4.332985683132649,2.46769649276208
59,AIAENG,-1.0925134813362376,1.967365301531773,0.6233495607810698,1.120799273387826,0.335362519593184,0.8065849670200553,0.48927292197481637,0.3724912436759781,-1.5058591610995509,-0.2948241974230148,-1.9293580110299926,-0.8301178802789575,1.7029089861751219,2.1645977011494217
60,AIRAN,1.5723270440251462,4.262295081967215,-0.6514657980456003,0.6557377049180304,-0.6514657980456003,-0.647249190938509,0.0,0.6514657980456003,-1.9169329073482473,-0.6349206349206327,1.2861736334405098,-0.6389776357827454,0.0,1.6233766233766231
